Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,803","6,825","5,624","6,980","7,236","4,815","6,193","5,327","6,043","5,473","4,049"
Market Cap Growth,-1.65%,21.36%,-19.43%,-3.54%,50.30%,-22.26%,16.25%,-11.85%,10.41%,35.19%,-2.75%
Last Close Price,107.56,104.12,81.87,96.60,96.03,60.94,75.21,61.60,76.03,66.94,46.83
PE Ratio,12.81,13.16,10.68,13.52,11.79,11.13,12.45,12.06,18.25,23.82,14.20
PS Ratio,3.23,3.36,2.79,3.83,3.67,2.79,3.51,3.34,3.91,4.04,3.05
PB Ratio,1.13,1.23,1.09,1.49,1.35,0.91,1.27,1.20,1.72,1.66,1.24
P/FCF Ratio,4.98,5.42,-,1.42,-,-,-,-,-,-,132.61
P/OCF Ratio,4.48,4.77,84.98,1.36,-,-,-,-,28.12,-,13.68
Debt / Equity Ratio,0.75,0.89,1.86,1.64,0.52,0.80,1.82,1.75,1.71,1.93,2.10
Debt / FCF Ratio,3.31,3.93,-,1.57,-,-,-,-,-,-,224.69
Return on Equity (ROE),9.22%,9.79%,10.80%,10.35%,11.56%,8.57%,10.76%,11.21%,9.84%,7.07%,8.85%
Return on Assets (ROA),1.07%,1.05%,1.09%,1.06%,1.27%,0.98%,1.25%,1.27%,1.03%,0.72%,0.97%
Earnings Yield,7.81%,7.67%,9.44%,7.45%,8.54%,9.04%,8.09%,8.37%,5.54%,4.25%,7.13%
FCF Yield,20.07%,18.44%,-1.77%,70.30%,-53.85%,-11.58%,-13.86%,-16.84%,-0.59%,-5.33%,0.75%
Dividend Yield,2.34%,2.15%,2.66%,2.21%,2.19%,3.38%,2.69%,3.17%,2.34%,2.60%,3.63%
Payout Ratio,27.87%,27.31%,27.02%,27.64%,23.31%,33.20%,28.66%,28.54%,34.68%,48.76%,39.95%
Buyback Yield / Dilution,1.23%,2.90%,2.32%,2.01%,1.79%,1.35%,-6.21%,-2.86%,0.52%,3.76%,1.24%
Total Shareholder Return,3.57%,5.05%,4.99%,4.23%,3.98%,4.74%,-3.52%,0.30%,2.86%,6.36%,4.88%
