Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"1,642","1,766","1,635",982.68,774.82,895.9,"1,131",899.71,705.19,593.69,543.29
Interest Income on Investments,902.81,870.63,707.5,409.42,405.11,373.1,401.06,328.72,267.57,235.43,223.54
Total Interest Income,"2,545","2,636","2,342","1,392","1,180","1,269","1,532","1,228",972.75,829.12,766.83
Interest Paid on Deposits,979.07,"1,026",626.6,121.75,33.48,90,175.54,95.52,53.8,40.49,44.17
Interest Paid on Borrowings,270.39,399.98,443.69,58.97,28.41,70.56,243.54,148.04,77.25,41.4,19.3
Total Interest Expense,"1,249","1,426","1,070",180.72,61.9,160.56,419.08,243.56,131.05,81.89,63.47
Net Interest Income,"1,295","1,211","1,272","1,211","1,118","1,108","1,113",984.87,841.7,747.23,703.35
Net Interest Income Growth (YoY),8.43%,-4.83%,5.02%,8.35%,0.86%,-0.40%,13.00%,17.01%,12.64%,6.24%,5.74%
Trust Income,249.41,230.86,207.32,196.33,178.27,167.45,177.03,184.7,162.89,135.39,126.15
Mortgage Banking Activities,76.71,74.11,55.7,49.37,105.9,182.36,107.54,97.79,104.72,133.91,126
Gain (Loss) on Sale of Assets,-,-,31,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,66.96,19.22,-22.43,-21.33,1.47,63.16,21.38,-28.37,1.7,1.12,6.56
Other Non-Interest Income,298.24,396.71,409.85,308.26,365.92,332.55,276.8,250.51,313.71,292.01,290.3
Total Non-Interest Income,814.85,839.64,789.95,643.26,755.78,842.32,695.23,616.78,695.09,674.02,658.48
Non-Interest Income Growth (YoY),-2.35%,6.29%,22.80%,-14.89%,-10.27%,21.16%,12.72%,-11.27%,3.13%,2.36%,5.87%
Revenues Before Loan Losses,"2,110","2,050","2,062","1,855","1,874","1,951","1,808","1,602","1,537","1,421","1,362"
Provision for Loan Losses,2,18,46,30,-100,222.59,44,8,-7,65,34
Revenue,"2,108","2,032","2,016","1,825","1,974","1,728","1,764","1,594","1,544","1,356","1,328"
Revenue Growth (YoY),5.14%,0.81%,10.50%,-7.56%,14.21%,-2.04%,10.70%,3.23%,13.83%,2.14%,3.16%
Salaries and Employee Benefits,843.96,788.36,750.26,659.35,682.14,670.25,643.81,578.9,549.81,542.65,502.94
Occupancy Expenses,89.19,83.12,80.61,79.31,72.79,70.72,67.28,69.48,58.98,54.22,50.82
Federal Deposit Insurance,27.19,31.11,30.78,17.99,15.88,19.99,20.91,23.32,19.65,32.49,20.38
Amortization of Goodwill & Intangibles,10.82,11.61,13.88,15.69,18.31,20.44,20.62,9.62,6.78,6.86,4.36
"Selling, General & Administrative",371.14,354.64,340.97,313.66,282.07,278.73,291.78,254.32,293.71,267.06,241.41
Other Non-Interest Expense,79.06,77.79,69.9,75.97,97.52,95.17,85.86,72.63,84.91,108.95,74.05
Total Non-Interest Expense,"1,421","1,360","1,289","1,164","1,178","1,164","1,133","1,028","1,026","1,018",896.19
EBT Excluding Unusual Items,686.6,672.17,727.02,660.16,796.1,563.86,630.87,565.49,518.28,338.66,431.64
Other Unusual Items,0.94,-5.52,-43.77,-,-,-,-,-,-,-,-
Pretax Income,687.54,666.64,683.25,660.16,796.1,563.86,630.87,565.49,518.28,338.66,431.64
Income Tax Expense,150.68,143.09,152.12,139.86,179.78,128.79,130.18,119.06,182.59,106.38,139.38
Earnings From Continuing Operations,536.87,523.55,531.13,520.29,616.33,435.07,500.69,446.42,335.69,232.28,292.26
Minority Interest in Earnings,-0.02,0.02,-0.39,-0.02,1.8,-0.04,0.07,-0.78,-1.04,0.39,-3.69
Net Income,536.84,523.57,530.75,520.27,618.12,435.03,500.76,445.65,334.64,232.67,288.57
Preferred Dividends & Other Adjustments,5.63,4.99,4.25,3.8,4.3,2.61,3.23,3.74,3.56,2.88,3.38
Net Income to Common,531.21,518.58,526.49,516.47,613.82,432.42,497.53,441.91,331.08,229.79,285.18
Net Income Growth,14.22%,-1.35%,2.01%,-15.83%,42.09%,-13.13%,12.37%,33.17%,43.83%,-19.37%,-1.32%
Basic Shares Outstanding,63,64,66,67,69,70,71,67,65,65,68
Diluted Shares Outstanding,63,64,66,67,69,70,71,67,65,65,68
Shares Change (YoY),-1.23%,-2.90%,-2.32%,-2.01%,-1.79%,-1.35%,6.21%,2.86%,-0.52%,-3.76%,-1.24%
EPS (Basic),8.40,8.14,8.02,7.68,8.95,6.19,7.03,6.63,5.11,3.53,4.22
EPS (Diluted),8.40,8.14,8.02,7.68,8.95,6.19,7.03,6.63,5.11,3.53,4.21
EPS Growth,15.51%,1.44%,4.42%,-14.18%,44.57%,-11.93%,6.02%,29.76%,44.84%,-16.27%,-0.15%
Dividend Per Share,2.340,2.240,2.180,2.140,2.100,2.060,2.020,1.950,1.780,1.740,1.700
Dividend Growth,5.41%,2.75%,1.87%,1.91%,1.94%,1.98%,3.59%,9.55%,2.30%,2.35%,3.66%
Effective Tax Rate,21.92%,21.46%,22.26%,21.19%,22.58%,22.84%,20.64%,21.05%,35.23%,31.41%,32.29%
