Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,649.06,412.26,306.13,258.49
Revenue Growth (YoY),-,34.67%,18.43%,-
Cost of Revenue,258.46,231.83,214.87,178.46
Gross Profit,390.6,180.43,91.26,80.02
"Selling, General & Admin",376.51,326.05,296.04,294.51
Research & Development,94.43,111.5,114.77,101.27
Operating Expenses,470.95,437.55,410.81,395.78
Operating Income,-80.34,-257.12,-319.55,-315.76
Interest Expense,-58.76,-50.03,-31.61,-26.68
Interest & Investment Income,10.45,7.12,11.26,0.95
Other Non Operating Income (Expenses),-58.34,18.14,9.4,20.66
EBT Excluding Unusual Items,-186.99,-281.89,-330.5,-320.83
Other Unusual Items,-,-,-10.92,-
Pretax Income,-186.99,-281.89,-341.42,-320.83
Net Income,-186.99,-281.89,-341.42,-320.83
Preferred Dividends & Other Adjustments,96.37,96.37,121.11,79
Net Income to Common,-283.36,-378.26,-462.53,-399.83
Shares Outstanding (Basic),105,35,35,33
Shares Outstanding (Diluted),105,35,35,33
Shares Change (YoY),195.29%,1.59%,4.73%,-
EPS (Basic),-2.69,-10.66,-13.24,-11.98
EPS (Diluted),-6.48,-10.66,-13.24,-11.98
Free Cash Flow,-14.01,-253.64,-298.42,-327.96
Free Cash Flow Per Share,-0.13,-7.15,-8.54,-9.83
Gross Margin,60.18%,43.77%,29.81%,30.96%
Operating Margin,-12.38%,-62.37%,-104.38%,-122.16%
Profit Margin,-43.66%,-91.75%,-151.09%,-154.68%
Free Cash Flow Margin,-2.16%,-61.52%,-97.48%,-126.88%
EBITDA,-52.95,-208.21,-270.55,-267.5
EBITDA Margin,-8.16%,-50.50%,-88.38%,-103.49%
D&A For EBITDA,27.39,48.91,49,48.25
EBIT,-80.34,-257.12,-319.55,-315.76
EBIT Margin,-12.38%,-62.37%,-104.38%,-122.16%
Revenue as Reported,649.06,412.26,306.13,258.49
Advertising Expenses,-,1.2,0.6,1
