Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,851","2,733","3,092","2,303","3,358","1,774","1,668","1,407","2,309",954,-
Market Cap Growth,4.34%,-11.62%,34.28%,-31.42%,89.27%,6.36%,18.55%,-39.06%,141.91%,-,-
Enterprise Value,"9,138","6,137","6,315","5,060","6,158","4,931","4,917","4,291","5,194","3,694",-
Last Close Price,57.36,44.61,49.62,36.41,47.74,20.44,19.38,16.16,26.48,17.89,-
PE Ratio,18.29,17.74,17.57,11.21,13.88,-,-,8.93,65.18,26.95,-
Forward PE,27.65,24.02,27.76,18.56,27.42,25.52,19.35,11.94,28.35,16.04,-
PS Ratio,1.70,1.41,1.79,1.38,2.08,1.50,0.90,0.84,1.41,0.65,-
PB Ratio,15.46,8.91,12.68,71.41,67.11,2.93,2.13,1.72,3.66,1.51,-
P/TBV Ratio,-,-,-,-,-,31.62,8.49,6.81,41.94,195.85,-
P/FCF Ratio,20.13,11.26,-,11.17,6.27,11.67,-,-,59.10,5.26,-
P/OCF Ratio,9.73,4.98,6.26,4.25,5.51,8.34,5.27,4.07,7.96,2.76,-
PEG Ratio,-,-,-,-,-,-,-,0.22,2.84,1.91,-
EV/Sales Ratio,4.58,3.17,3.66,3.04,3.81,4.17,2.65,2.55,3.16,2.50,-
EV/EBITDA Ratio,11.48,8.05,8.73,7.01,8.57,13.83,10.04,8.65,10.36,7.51,-
EV/EBIT Ratio,15.16,10.67,10.69,8.52,10.99,39.41,18.37,13.58,16.06,11.03,-
EV/FCF Ratio,31.44,25.29,-,24.55,11.49,32.44,-,-,132.96,20.37,-
Debt / Equity Ratio,10.33,11.22,13.79,93.64,57.53,4.84,3.90,3.50,4.14,3.83,3.77
Debt / EBITDA Ratio,4.09,4.32,4.47,4.03,3.85,7.69,5.75,5.75,5.22,4.93,4.89
Debt / FCF Ratio,11.76,14.18,-,14.65,5.37,19.26,-,-,67.01,13.36,9.94
Asset Turnover,0.49,0.49,0.47,0.51,0.47,0.30,0.46,0.44,0.46,0.46,0.46
Inventory Turnover,39.36,40.80,37.98,40.44,44.53,32.51,58.17,52.37,56.25,53.23,51.37
Quick Ratio,0.53,0.70,0.61,0.55,1.52,0.78,0.67,0.52,1.16,0.75,0.59
Current Ratio,0.75,0.91,0.81,0.75,1.85,1.12,1.02,0.79,1.39,1.01,0.82
Return on Equity (ROE),125.75%,105.79%,244.65%,948.88%,108.40%,-25.16%,-0.84%,30.30%,10.04%,25.84%,23.55%
Return on Assets (ROA),9.31%,8.99%,10.11%,11.44%,10.18%,1.99%,4.12%,5.18%,5.66%,6.48%,6.44%
Return on Capital (ROIC),10.12%,9.78%,11.09%,12.41%,10.85%,2.12%,4.46%,5.71%,6.41%,7.23%,6.87%
Return on Capital Employed (ROCE),16.10%,15.50%,16.40%,19.40%,19.10%,3.50%,7.00%,8.60%,9.60%,10.20%,11.40%
Earnings Yield,3.25%,5.64%,5.69%,8.92%,7.20%,-8.48%,-0.20%,11.20%,1.53%,9.63%,-
FCF Yield,4.97%,8.88%,-6.77%,8.95%,15.96%,8.57%,-2.25%,-16.63%,1.69%,19.00%,-
Dividend Yield,3.56%,2.24%,2.02%,2.75%,-,0.49%,2.06%,2.48%,1.51%,1.12%,-
Payout Ratio,64.07%,38.43%,33.29%,28.39%,-,-,-,17.58%,76.17%,102.80%,153.46%
Buyback Yield / Dilution,0.47%,-0.43%,1.38%,10.12%,-65.08%,-1.40%,40.47%,-0.80%,-238.14%,-246.73%,-
Total Shareholder Return,4.03%,1.81%,3.40%,12.87%,-65.08%,-0.92%,42.54%,1.68%,-236.63%,-245.62%,-
