Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"1,881","1,838","1,629","1,574","1,541","1,126","1,750","1,580","1,549","1,402","1,282"
Other Revenue,114.85,100.86,95.21,90.16,76.75,56.28,106.77,100.91,92.97,73.72,69.73
Revenue,"1,995","1,939","1,724","1,664","1,618","1,182","1,857","1,681","1,642","1,476","1,352"
Revenue Growth (YoY),4.69%,12.47%,3.62%,2.84%,36.83%,-36.31%,10.44%,2.37%,11.27%,9.14%,4.69%
Cost of Revenue,655.35,645.96,540.36,504.17,552.49,501.3,950.27,719.56,689.83,593.11,521.15
Gross Profit,"1,340","1,293","1,184","1,160","1,065",681.15,906.26,961.47,952.31,882.65,830.98
"Selling, General & Admin",436.71,432.28,374.49,353.04,347.09,324.64,416.36,390.76,381.29,327.36,327.86
Other Operating Expenses,107.03,98.27,86.03,84.54,-,-,-,74.5,69.43,63.63,61.09
Operating Expenses,737.19,717.66,593.06,565.96,504.88,556.04,638.57,645.51,628.93,547.65,526.81
Operating Income,602.86,575.4,590.66,593.66,560.53,125.11,267.7,315.95,323.38,335,304.17
Interest Expense,-208.4,-228.8,-181.02,-129.89,-103.21,-150.06,-176.15,-130.68,-117.33,-140.1,-144.49
Earnings From Equity Investments,2.43,2.45,3.1,3.47,3.29,1.1,1.93,2.19,1.63,1.91,0.81
Other Non Operating Income (Expenses),6.29,0.27,-,-,-2.59,-0.33,0.02,90.55,139.3,-0.74,-
EBT Excluding Unusual Items,403.18,349.31,412.74,467.24,458.02,-24.18,93.49,278.01,346.98,196.07,160.49
Gain (Loss) on Sale of Assets,-1.2,-1.2,38.6,79,-158.99,-,-,-,-,-,-1.67
Asset Writedown,-,-,-,-80.02,-,-,-,-,-1.83,-,-6.3
Other Unusual Items,2.97,-19.91,-70.58,-31.34,-13.49,-36.28,-101.97,-34.65,-146.83,-31.86,-9.1
Pretax Income,404.96,328.21,380.76,434.88,285.54,-60.46,-8.47,243.36,198.32,164.21,143.42
Income Tax Expense,46.15,36.91,42.98,44.53,-69.29,114.08,-1.73,23.88,134.79,8.24,-
Earnings From Continuing Operations,358.81,291.29,337.78,390.35,354.83,-174.54,-6.74,219.48,63.53,155.96,143.42
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-0.17
Net Income to Company,358.81,291.29,337.78,390.35,354.83,-174.54,-6.74,219.48,63.53,155.96,143.25
Minority Interest in Earnings,-168.81,-137.24,-161.77,-184.9,-112.98,24.15,3.39,-61.94,-28.11,-64.01,-5.59
Net Income,190,154.05,176,205.46,241.85,-150.4,-3.35,157.54,35.42,91.95,137.66
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,56.53,122.54
Net Income to Common,190,154.05,176,205.46,241.85,-150.4,-3.35,157.54,35.42,35.42,15.12
Net Income Growth,16.02%,-12.47%,-14.34%,-15.05%,-,-,-,344.74%,-61.48%,-33.20%,36.92%
Shares Outstanding (Basic),59,59,58,59,69,71,70,69,67,34,10
Shares Outstanding (Diluted),103,104,103,105,116,71,70,117,116,34,10
Shares Change (YoY),-0.47%,0.43%,-1.38%,-10.12%,65.08%,1.40%,-40.47%,0.80%,238.14%,246.73%,-
EPS (Basic),3.22,2.61,3.04,3.48,3.50,-2.13,-0.05,2.28,0.53,1.04,1.53
EPS (Diluted),3.14,2.53,2.94,3.36,2.84,-2.13,-0.05,1.77,0.42,1.03,1.53
EPS Growth,15.51%,-13.98%,-12.36%,18.13%,-,-,-,315.88%,-58.77%,-32.63%,36.53%
Free Cash Flow,290.65,242.69,-209.36,206.14,535.78,152.01,-37.44,-233.98,39.06,181.35,217.69
Free Cash Flow Per Share,2.82,2.34,-2.03,1.97,4.60,2.15,-0.54,-2.00,0.34,5.29,22.02
Dividend Per Share,1.000,1.000,1.000,1.000,-,0.100,0.400,0.400,0.400,0.200,-
Dividend Growth,-,-,-,-,-,-75.00%,-,-,100.00%,-,-
Gross Margin,67.16%,66.69%,68.66%,69.70%,65.85%,57.60%,48.81%,57.19%,57.99%,59.81%,61.46%
Operating Margin,30.21%,29.68%,34.26%,35.68%,34.64%,10.58%,14.42%,18.80%,19.69%,22.70%,22.50%
Profit Margin,9.52%,7.95%,10.21%,12.35%,14.95%,-12.72%,-0.18%,9.37%,2.16%,2.40%,1.12%
Free Cash Flow Margin,14.57%,12.52%,-12.14%,12.39%,33.12%,12.86%,-2.02%,-13.92%,2.38%,12.29%,16.10%
EBITDA,796.32,762.51,723.2,722.03,718.32,356.5,489.91,496.21,501.6,491.66,442.03
EBITDA Margin,39.91%,39.32%,41.95%,43.40%,44.40%,30.15%,26.39%,29.52%,30.55%,33.32%,32.69%
D&A For EBITDA,193.46,187.11,132.54,128.37,157.79,231.39,222.21,180.26,178.22,156.67,137.87
EBIT,602.86,575.4,590.66,593.66,560.53,125.11,267.7,315.95,323.38,335,304.17
EBIT Margin,30.21%,29.68%,34.26%,35.68%,34.64%,10.58%,14.42%,18.80%,19.69%,22.70%,22.50%
Effective Tax Rate,11.40%,11.25%,11.29%,10.24%,-,-,-,9.81%,67.96%,5.02%,-
Revenue as Reported,"1,995","1,939","1,724","1,664","1,618","1,182","1,857","1,681","1,642","1,476","1,352"
Advertising Expenses,-,10.99,10.32,11.31,14.28,10.21,31.68,24.3,22.09,21.14,116.54
