Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"1,889","3,695","1,258","1,661",-,-,-
Market Cap Growth,14.18%,193.59%,-24.23%,-,-,-,-
Enterprise Value,"1,645","3,565",993,"1,306",-,-,-
Last Close Price,5.25,13.01,4.49,5.95,10.83,-,-
PS Ratio,12.19,38.69,15.54,42.17,-,-,-
PB Ratio,5.89,-58.54,5.00,4.89,-,-,-
P/TBV Ratio,7.18,-,5.78,4.95,-,-,-
EV/Sales Ratio,15.85,37.33,12.27,33.15,-,-,-
Debt / Equity Ratio,0.01,-0.03,0.01,0.00,0.03,-1.25,0.19
Debt / FCF Ratio,-,-,-,-,-,8.30,0.09
Asset Turnover,0.36,0.39,0.24,0.19,0.32,1.76,-
Quick Ratio,5.94,0.57,6.70,21.51,6.69,0.84,1.37
Current Ratio,6.04,0.63,7.09,22.09,6.80,0.84,1.39
Return on Equity (ROE),-122.08%,-358.99%,-39.38%,-5.90%,-57.30%,-1148.32%,-
Return on Assets (ROA),-24.11%,-32.97%,-25.71%,-10.20%,-16.20%,-29.06%,-
Return on Capital (ROIC),-29.80%,-83.91%,-28.63%,-11.06%,-19.43%,-200.97%,-
Return on Capital Employed (ROCE),-35.30%,604.50%,-52.00%,-9.80%,-15.60%,384.20%,-41.30%
Earnings Yield,-14.95%,-9.16%,-9.25%,-0.69%,-,-,-
FCF Yield,-2.88%,-2.43%,-8.54%,-2.46%,-,-,-
Buyback Yield / Dilution,-18.54%,-1.32%,16.91%,-14.66%,-2168.47%,-,-
