Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,269.76,114.02,218.34,337.17,46.85,1.45,1.89
Short-Term Investments,-,-,1.14,1.1,-,-,-
Cash & Short-Term Investments,269.76,114.02,219.47,338.27,46.85,1.45,1.89
Cash Growth,104.38%,-48.05%,-35.12%,622.07%,3139.69%,-23.38%,-
Accounts Receivable,12.58,9.78,5.44,4.75,1.34,1.05,0.39
Other Receivables,-,-,-,-,-,-,0.03
Receivables,12.58,9.78,5.44,4.75,1.34,1.05,0.42
Prepaid Expenses,4.75,12.33,13.09,9.34,0.78,0.01,0.03
Total Current Assets,287.08,136.13,238,352.36,48.97,2.5,2.34
"Property, Plant & Equipment",18.92,18.82,22.16,10.2,2.8,0.05,0.1
Goodwill,10.66,10.66,10.66,0.66,0.66,-,-
Other Intangible Assets,25.18,29.31,23.26,3.21,3.29,0.12,0.05
Other Long-Term Assets,25.34,0.4,1.63,0.55,0.08,-,-
Total Assets,367.17,195.31,295.71,366.98,55.8,2.68,2.49
Accounts Payable,30.27,17.97,24.44,14.32,6.74,2.52,1.65
Accrued Expenses,0.27,0.25,0.28,-,0.12,0.05,-
Short-Term Debt,-,-,-,-,-,0.34,-
Current Portion of Leases,1.33,1,0.98,0.58,0.32,0.06,0.04
Current Income Taxes Payable,-,-,-,0,0,0,-
Current Unearned Revenue,15.64,12.81,7,1.04,0.03,0.02,-
Other Current Liabilities,-,184.7,0.86,-,-,-,-
Total Current Liabilities,47.51,216.74,33.56,15.95,7.2,2.99,1.69
Long-Term Debt,-,-,-,-,-,0.02,-
Long-Term Leases,0.92,0.8,1.63,0.84,1.2,0,0.06
Other Long-Term Liabilities,16.51,40.89,8.9,10.56,0.25,-,0.18
Total Liabilities,64.94,258.43,44.09,27.35,8.64,3.02,1.93
Common Stock,0.77,0.77,0.77,0.77,43.35,0.6,0.6
Additional Paid-In Capital,834.16,419.68,396.06,367.65,4.39,3.02,1.92
Retained Earnings,-532.7,-483.57,-145.2,-28.78,-17.38,-3.97,-1.96
Total Common Equity,302.23,-63.12,251.62,339.63,30.37,-0.34,0.56
Shareholders' Equity,302.23,-63.12,251.62,339.63,47.16,-0.34,0.56
Total Liabilities & Equity,367.17,195.31,295.71,366.98,55.8,2.68,2.49
Total Debt,2.25,1.8,2.61,1.42,1.51,0.42,0.1
Net Cash (Debt),267.51,112.22,216.87,336.85,45.34,1.02,1.78
Net Cash Growth,105.92%,-48.25%,-35.62%,642.99%,4340.20%,-42.74%,-
Net Cash Per Share,1.11,0.55,1.08,1.39,0.21,0.11,-
Filing Date Shares Outstanding,339.07,338.51,280.28,279.13,8.25,7.54,-
Total Common Shares Outstanding,339.07,283.96,280.28,279.13,8.25,7.54,-
Working Capital,239.57,-80.61,204.45,336.41,41.77,-0.49,0.65
Book Value Per Share,0.89,-0.22,0.90,1.22,3.68,-0.05,-
Tangible Book Value,266.4,-103.08,217.71,335.76,26.42,-0.46,0.51
Tangible Book Value Per Share,0.79,-0.36,0.78,1.20,3.20,-0.06,-
Machinery,28.34,24.7,22.09,8.97,1.32,-,-
Leasehold Improvements,2.17,1.94,1.91,0.92,0.02,-,-
