Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,103.78,95.49,80.96,39.38,9.47,4.56,3.36
Revenue Growth (YoY),21.17%,17.94%,105.57%,316.05%,107.71%,35.62%,-
Cost of Revenue,116.32,138.47,146.16,43.75,7.81,2.71,1.79
Gross Profit,-12.54,-42.98,-65.19,-4.36,1.66,1.84,1.57
"Selling, General & Admin",66.4,53.98,50.55,22.22,6.05,1.32,1.26
Research & Development,18.5,18.92,15.72,6.34,1.62,0.58,0.58
Operating Expenses,100.17,86.52,71.12,30.12,9.24,3.05,1.9
Operating Income,-112.71,-129.5,-136.32,-34.48,-7.58,-1.2,-0.33
Interest Expense,-,-,-,-,-,-0,-
Interest & Investment Income,9.42,8.08,13.59,3.02,0.02,-,0.02
Currency Exchange Gain (Loss),-0.21,-0.21,-0.13,-,-0.01,-0.06,-0.08
Other Non Operating Income (Expenses),-176.81,-217.39,2.37,20.96,-6.15,-,-
EBT Excluding Unusual Items,-280.31,-339.02,-120.48,-10.5,-13.72,-1.27,-0.4
Merger & Restructuring Charges,-7.62,-,-1.15,-1.12,-,-,-
Legal Settlements,-,-,-,-,0.18,-,-
Other Unusual Items,-,-1.35,1.92,-,-,0.01,-
Pretax Income,-287.93,-340.37,-119.71,-11.62,-13.54,-1.26,-0.4
Income Tax Expense,-2.04,-2.01,-3.29,-0.22,-0.13,-0,-0.03
Net Income,-285.89,-338.36,-116.42,-11.4,-13.41,-1.26,-0.36
Net Income to Common,-285.89,-338.36,-116.42,-11.4,-13.41,-1.26,-0.36
Shares Outstanding (Basic),241,204,201,242,211,9,-
Shares Outstanding (Diluted),241,204,201,242,211,9,-
Shares Change (YoY),18.54%,1.32%,-16.91%,14.66%,2168.47%,-,-
EPS (Basic),-1.19,-1.66,-0.58,-0.05,-0.06,-0.13,-
EPS (Diluted),-1.19,-1.66,-0.58,-0.05,-0.06,-0.13,-
Free Cash Flow,-55.16,-89.68,-107.48,-40.83,-6.65,0.05,1.13
Free Cash Flow Per Share,-0.23,-0.44,-0.53,-0.17,-0.03,0.01,-
Gross Margin,-12.08%,-45.02%,-80.52%,-11.07%,17.54%,40.46%,46.66%
Operating Margin,-108.60%,-135.62%,-168.37%,-87.56%,-80.07%,-26.38%,-9.91%
Profit Margin,-275.47%,-354.35%,-143.79%,-28.96%,-141.70%,-27.57%,-10.77%
Free Cash Flow Margin,-53.15%,-93.92%,-132.76%,-103.67%,-70.25%,1.12%,33.48%
EBITDA,-97.44,-115.88,-131.47,-32.93,-7.5,-1.16,-0.29
EBITDA Margin,-93.88%,-121.36%,-162.38%,-83.61%,-79.22%,-25.39%,-8.65%
D&A For EBITDA,15.27,13.61,4.85,1.56,0.08,0.05,0.04
EBIT,-112.71,-129.5,-136.32,-34.48,-7.58,-1.2,-0.33
EBIT Margin,-108.60%,-135.62%,-168.37%,-87.56%,-80.07%,-26.38%,-9.91%
