Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,836,866,"1,005","1,038","1,070","1,776",206,230.75,134.6,61.03,78.28
Short-Term Investments,-,-,-,-,-,10,14,16.96,17.63,-,-
Cash & Short-Term Investments,836,866,"1,005","1,038","1,070","1,786",220,247.71,152.23,61.03,78.28
Cash Growth,4.24%,-13.83%,-3.18%,-2.99%,-40.09%,711.82%,-11.19%,62.72%,149.43%,-22.04%,-10.65%
Accounts Receivable,282,470,608,611,472,342,54,60.17,45.8,14.69,9.98
Other Receivables,144,-,-,-,-,44,4,16.06,5.05,-,-
Receivables,426,470,608,611,472,386,58,76.23,50.85,14.69,9.98
Inventory,41,45,46,59,42,44,18,20.6,16.87,11.06,11.74
Prepaid Expenses,342,271,264,263,290,243,52,48,27.82,12.49,10.8
Restricted Cash,87,95,122,131,319,"2,021",4,8.88,3.27,2.41,5.27
Other Current Assets,-,-,-,-,"3,771","1,583",253,171.78,-,0.07,0.11
Total Current Assets,"1,732","1,747","2,045","2,102","5,964","6,063",605,573.2,251.03,101.75,116.18
"Property, Plant & Equipment","14,496","15,416","15,378","15,237","15,263","15,192","2,803","2,883","1,503",612.34,625.42
Long-Term Investments,114,131,157,94,158,173,136,8.59,-,-,1.29
Goodwill,"10,601","10,601","10,990","11,004","11,076","9,864",910,"1,008",747.11,66.83,66.83
Other Intangible Assets,"4,036","4,133","4,523","4,714","4,920","4,283","1,111","1,362",996.82,487.5,492.03
Long-Term Deferred Tax Assets,69,62,47,-,-,-,-,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,-,-,-,9.53,8.62,-,-
Other Long-Term Assets,852,500,226,376,650,810,76,67.22,40.09,25.63,23.27
Total Assets,"31,900","32,590","33,366","33,527","38,031","36,385","5,641","5,911","3,546","1,294","1,325"
Accounts Payable,253,296,408,314,254,167,62,58.52,34.78,21.58,17.01
Accrued Expenses,"1,858",845,"1,017","1,025","1,176",742,256,221.26,149.71,59.29,66.92
Current Portion of Long-Term Debt,114,109,65,108,70,67,246,0.46,0.62,4.55,4.52
Current Portion of Leases,-,21,23,50,49,53,20,-,-,-,-
Current Income Taxes Payable,-,205,202,195,183,172,-,47.48,0.17,-,-
Current Unearned Revenue,-,592,749,747,614,251,32,45.92,33.73,7.69,9.6
Other Current Liabilities,-,204,226,229,"2,951","1,061",72,28.53,4.74,8.94,7.67
Total Current Liabilities,"2,225","2,272","2,690","2,668","5,297","2,513",688,402.18,223.75,102.04,105.71
Long-Term Debt,"11,681","12,033","12,224","12,659","13,750","14,163","2,325","4,221","2,189",795.88,861.71
Long-Term Leases,"13,939","13,615","13,487","13,320","13,150","12,811","1,148",-,0.92,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,142,-,-,-,-
Long-Term Deferred Tax Liabilities,80,130,102,987,"1,111","1,166",197,200.01,162.97,90.39,78.8
Other Long-Term Liabilities,-,164,143,142,182,698,24,59.01,28.58,7.29,8.12
Total Liabilities,"27,925","28,214","28,646","29,776","33,490","31,351","4,524","4,882","2,605",995.59,"1,054"
Common Stock,-,-,-,-,-,-,-,0,-,-,-
Additional Paid-In Capital,"6,738","6,862","7,001","6,953","6,877","6,382",760,748.08,746.55,173.88,170.9
Retained Earnings,"-3,053","-2,801","-2,523","-3,309","-2,410","-1,391",366,290.21,194.97,124.56,99.76
Treasury Stock,-,-,-23,-23,-23,-9,-9,-9.13,-,-,-
Comprehensive Income & Other,97,96,97,92,36,34,-,0,0.08,0.01,0.01
Total Common Equity,"3,782","4,157","4,552","3,713","4,480","5,016","1,117","1,029",941.6,298.45,270.67
Minority Interest,193,219,168,38,61,18,-,-,-,-,-
Shareholders' Equity,"3,975","4,376","4,720","3,751","4,541","5,034","1,117","1,029",941.6,298.45,270.67
