Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,117","7,101","10,113","8,926","19,994","15,469","4,625","2,806","2,547",798,515
Market Cap Growth,-51.62%,-29.78%,13.29%,-55.36%,29.26%,234.47%,64.80%,10.19%,218.96%,55.04%,173.77%
Enterprise Value,"29,063","32,784","35,302","33,528","45,966","42,268","8,566","5,593","4,619","1,544","1,257"
Last Close Price,20.61,33.42,46.88,41.60,93.53,74.27,59.64,36.21,33.15,16.95,11.00
PE Ratio,-,-,12.87,-,-,-,57.10,29.54,34.71,32.55,4.51
Forward PE,324.84,44.75,35.89,85.47,-,-,30.64,15.89,22.22,18.20,-
PS Ratio,0.38,0.63,0.88,0.83,2.09,4.26,1.83,1.37,1.72,0.89,0.72
PB Ratio,1.12,1.62,2.14,2.38,4.40,3.07,4.14,2.73,2.71,2.68,1.90
P/FCF Ratio,10.96,-,18.56,388.09,30.67,-,32.57,15.95,54.51,15.30,25.81
P/OCF Ratio,3.19,6.61,5.59,9.15,17.06,-,14.78,8.69,19.61,8.37,9.08
PEG Ratio,-,0.32,0.32,0.32,0.32,0.32,1.27,0.80,4.44,3.64,-
EV/Sales Ratio,2.56,2.92,3.06,3.10,4.80,11.65,3.39,2.72,3.12,1.72,1.75
EV/EBITDA Ratio,8.38,9.11,9.25,10.94,16.23,61.71,12.79,11.23,14.80,9.52,9.78
EV/EBIT Ratio,14.18,14.41,13.82,18.02,26.94,414.39,19.12,16.40,22.39,15.65,17.57
EV/FCF Ratio,76.48,-,64.77,1457.74,70.50,-,60.32,31.78,98.87,29.59,62.99
Debt / Equity Ratio,6.47,5.89,5.47,6.97,5.95,5.38,3.35,4.10,2.33,2.68,3.20
Debt / EBITDA Ratio,6.97,6.72,6.34,7.83,8.82,34.38,5.09,8.48,7.02,4.94,6.74
Debt / FCF Ratio,67.72,-,47.34,1136.39,41.44,-,26.33,23.99,46.87,15.33,43.41
Asset Turnover,0.35,0.34,0.35,0.30,0.26,0.17,0.44,0.44,0.61,0.69,0.58
Inventory Turnover,134.67,119.10,102.76,106.95,108.07,59.55,66.80,60.38,58.28,47.97,47.09
Quick Ratio,0.57,0.59,0.60,0.62,0.29,0.86,0.40,0.81,0.91,0.74,0.84
Current Ratio,0.78,0.77,0.76,0.79,1.13,2.41,0.88,1.43,1.12,1.00,1.10
Return on Equity (ROE),-4.26%,-4.64%,19.55%,-12.64%,-20.59%,-56.51%,7.55%,9.64%,11.83%,8.62%,54.08%
Return on Assets (ROA),3.95%,4.31%,4.77%,3.25%,2.87%,0.30%,4.85%,4.51%,5.33%,4.71%,3.58%
Return on Capital (ROIC),4.24%,4.69%,5.29%,3.79%,3.35%,0.34%,5.54%,5.08%,6.09%,5.52%,4.33%
Return on Capital Employed (ROCE),6.90%,7.50%,8.30%,6.00%,5.20%,0.30%,9.00%,6.20%,6.20%,8.30%,5.90%
Earnings Yield,-5.79%,-3.91%,7.77%,-10.07%,-5.10%,-11.36%,1.75%,3.38%,2.88%,3.07%,22.17%
FCF Yield,9.12%,-3.11%,5.39%,0.26%,3.26%,-4.82%,3.07%,6.27%,1.84%,6.54%,3.87%
Buyback Yield / Dilution,2.78%,0.46%,-0.94%,-1.42%,-62.31%,-64.56%,-1.28%,-14.53%,-42.77%,-1.47%,-57.21%
