Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Revenue,751.85,647.04,508.69,324.52,222.56,110.64
Revenue Growth (YoY),26.12%,27.20%,56.75%,45.82%,101.16%,-
Cost of Revenue,203.54,178.72,150.46,106.47,69.37,32.81
Gross Profit,548.32,468.32,358.23,218.05,153.18,77.83
"Selling, General & Admin",424.98,352.72,266.51,177.79,133.67,61.17
Operating Expenses,424.98,352.72,266.51,177.79,133.67,61.17
Operating Income,123.34,115.6,91.72,40.27,19.51,16.66
Interest Expense,-,-,-,-,-0.88,-1.25
Interest & Investment Income,9.59,11.08,5.36,0.1,-,-
Currency Exchange Gain (Loss),0.02,0.02,-1.55,1.15,-,-
Other Non Operating Income (Expenses),-0.1,-0.1,-0.08,-0,-,-
EBT Excluding Unusual Items,132.85,126.6,95.45,41.51,18.64,15.41
Gain (Loss) on Sale of Investments,1.3,1.3,0.55,-,-,-
Other Unusual Items,-,-,-17.4,-12.6,-,-
Pretax Income,134.16,127.91,78.6,28.91,18.64,15.41
Income Tax Expense,24.02,26.42,20.07,7.18,4.72,3.7
Net Income,110.13,101.49,58.53,21.73,13.92,11.71
Net Income to Common,110.13,101.49,58.53,21.73,13.92,11.71
Net Income Growth,25.98%,73.39%,169.39%,56.09%,18.84%,-
Shares Outstanding (Basic),57,57,55,53,53,26
Shares Outstanding (Diluted),61,62,59,56,53,26
Shares Change (YoY),-0.21%,5.24%,4.16%,5.39%,104.62%,-
EPS (Basic),1.94,1.77,1.06,0.41,0.26,0.45
EPS (Diluted),1.80,1.64,1.00,0.39,0.26,0.45
EPS Growth,25.95%,64.75%,158.63%,48.11%,-41.92%,-
Free Cash Flow,129.99,134.49,85.35,36.69,7.85,21.88
Free Cash Flow Per Share,2.12,2.18,1.45,0.65,0.15,0.84
Gross Margin,72.93%,72.38%,70.42%,67.19%,68.83%,70.34%
Operating Margin,16.40%,17.87%,18.03%,12.41%,8.77%,15.06%
Profit Margin,14.65%,15.68%,11.51%,6.69%,6.25%,10.59%
Free Cash Flow Margin,17.29%,20.79%,16.78%,11.30%,3.53%,19.78%
EBITDA,133.87,125.43,100.32,44.67,23.52,20.92
EBITDA Margin,17.81%,19.38%,19.72%,13.77%,10.57%,18.91%
D&A For EBITDA,10.54,9.83,8.61,4.41,4.01,4.26
EBIT,123.34,115.6,91.72,40.27,19.51,16.66
EBIT Margin,16.40%,17.87%,18.03%,12.41%,8.77%,15.06%
Effective Tax Rate,17.91%,20.65%,25.53%,24.85%,25.30%,23.99%
Advertising Expenses,-,164.37,125.63,92.05,63.77,31.17
