Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Market Capitalization,"2,101","2,400","2,643",-,-,-
Market Cap Growth,-4.18%,-9.19%,-,-,-,-
Enterprise Value,"1,332","2,175","2,492",-,-,-
Last Close Price,37.20,42.02,46.53,-,-,-
PE Ratio,20.37,23.65,45.16,-,-,-
Forward PE,20.24,24.76,30.26,-,-,-
PS Ratio,2.81,3.71,5.20,-,-,-
PB Ratio,6.02,8.50,9.34,-,-,-
P/TBV Ratio,8.51,13.27,14.51,-,-,-
P/FCF Ratio,16.34,17.85,30.97,-,-,-
P/OCF Ratio,15.89,17.42,30.22,-,-,-
PEG Ratio,1.13,1.06,-,-,-,-
EV/Sales Ratio,1.77,3.36,4.90,-,-,-
EV/EBITDA Ratio,9.95,17.34,24.84,-,-,-
EV/EBIT Ratio,10.80,18.82,27.17,-,-,-
EV/FCF Ratio,10.25,16.17,29.19,-,-,-
Debt / Equity Ratio,0.07,0.08,0.04,0.17,0.07,0.11
Debt / EBITDA Ratio,0.17,0.18,0.12,0.37,0.19,0.26
Debt / FCF Ratio,0.18,0.17,0.15,0.45,0.56,0.25
Asset Turnover,0.93,1.53,1.64,1.81,1.98,-
Inventory Turnover,2.23,1.94,1.95,1.75,2.07,-
Quick Ratio,5.45,0.88,1.15,0.74,0.61,1.67
Current Ratio,6.32,1.79,2.05,1.61,1.67,2.43
Return on Equity (ROE),30.36%,35.90%,30.66%,25.97%,23.01%,-
Return on Assets (ROA),9.54%,17.13%,18.45%,14.01%,10.85%,-
Return on Capital (ROIC),20.16%,24.06%,27.90%,26.73%,18.63%,-
Return on Capital Employed (ROCE),12.70%,36.80%,31.00%,32.00%,22.30%,30.10%
Earnings Yield,5.18%,4.23%,2.21%,-,-,-
FCF Yield,6.12%,5.60%,3.23%,-,-,-
Buyback Yield / Dilution,0.21%,-5.24%,-4.16%,-5.39%,-104.62%,-
