Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '10Dec 31, 2010","Dec '09Dec 31, 2009","Dec '08Dec 31, 2008"
Interest Income on Loans,948.48,808.04,652.1,476.04,367.59,372.15,402.09,369.15,168.82,194.12,233.68
Interest Income on Investments,150.34,138.73,144.36,129.14,67.57,41.18,42.93,46.02,92.15,93.7,122.23
Total Interest Income,"1,099",946.77,796.46,605.18,435.16,413.33,445.02,415.17,260.97,287.82,355.91
Interest Paid on Deposits,326.15,337.37,226.08,28.62,5.17,11.32,27.3,17.38,20.14,50.83,83.95
Interest Paid on Borrowings,2.3,1.8,19.98,8.51,0.17,0.76,6.45,7.74,3.18,4.04,25.9
Total Interest Expense,328.45,339.17,246.05,37.13,5.33,12.08,33.75,25.12,23.32,54.87,109.85
Net Interest Income,770.37,607.6,550.41,568.05,429.83,401.25,411.26,390.04,237.65,232.95,246.06
Net Interest Income Growth (YoY),37.15%,10.39%,-3.11%,32.16%,7.12%,-2.44%,5.44%,64.13%,2.02%,-5.33%,-
Trust Income,69.23,46.13,24.26,23.59,24.59,21.1,19.65,19.13,12.67,12.02,13.09
Income From Trading Activities,-,-,-,-,-,-0,1.3,2.16,4.76,4.68,-23.08
Gain (Loss) on Sale of Assets,-,-,-,1.4,1.4,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-277.3,-16.8,-333.17,-3.16,1.34,-10.49,2.02,0.05,8.71,-28.55,-50.41
Other Non-Interest Income,60.33,63.51,45.77,24.27,42.41,128.36,131.5,131.97,85.47,82.46,71.54
Total Non-Interest Income,-114.67,123.92,-237.75,76.75,97.61,167.59,182.3,180.6,141.43,103.87,40.72
Non-Interest Income Growth (YoY),-,-,-,-21.37%,-41.76%,-8.07%,0.94%,27.70%,36.16%,155.09%,-
Revenues Before Loan Losses,655.7,731.51,312.66,644.8,527.43,568.85,593.56,570.64,379.07,336.82,286.78
Provision for Loan Losses,28.12,67.38,20.05,17.93,-9.69,38.8,6.3,15.1,28,57,40
Revenue,627.58,664.13,292.6,626.88,537.12,530.05,587.26,555.54,351.07,279.82,246.78
Revenue Growth (YoY),3.01%,126.97%,-53.32%,16.71%,1.33%,-9.74%,5.71%,58.24%,25.46%,13.39%,-
Salaries and Employee Benefits,295.31,261,229.86,212.67,218.22,259.48,252.24,239.35,160.79,145.36,125.44
Occupancy Expenses,25.41,25.62,20.79,22.18,22.69,17.41,19.56,20.48,25.29,25.6,26.49
Federal Deposit Insurance,14.45,13.87,21.87,6.25,4.23,3.73,1.88,4.18,8.12,11.94,1.38
Amortization of Goodwill & Intangibles,30.77,14.57,1.8,1.2,0.22,2.86,3.54,3.89,5.16,5.81,4.8
"Selling, General & Administrative",144.91,133.91,113.23,113.73,100.18,89.32,88.42,86.17,26.69,27.19,27.9
Other Non-Interest Expense,24.82,22.74,25.56,32.62,15.6,26.08,34.15,30.61,40.5,38.25,37.9
Total Non-Interest Expense,535.67,471.7,413.11,388.65,361.13,494.14,412.68,397.93,266.55,254.14,223.91
EBT Excluding Unusual Items,91.91,192.43,-120.5,238.23,176,35.9,174.58,157.61,84.53,25.68,22.87
Pretax Income,82.53,155.77,-126,238.23,176,35.9,174.58,157.61,84.53,25.13,22.87
Income Tax Expense,33.04,36.21,-63.31,51.72,30.46,13.16,39.48,34.88,24.09,-2.05,15.01
Earnings From Continuing Operations,49.48,119.56,-62.69,186.51,145.53,22.74,135.1,122.73,60.44,27.18,7.87
Earnings From Discontinued Operations,-,-,294.87,13.25,9.13,-,-,-,-,-,-
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-0,0.06,0
Net Income,49.48,119.56,232.18,199.76,154.67,22.74,135.1,122.73,60.44,27.24,7.87
Net Income to Common,49.48,119.56,232.18,199.76,154.67,22.74,135.1,122.73,60.44,27.24,7.87
Net Income Growth,-86.89%,-48.50%,16.23%,29.16%,580.21%,-83.17%,10.08%,103.07%,121.88%,246.23%,-
Basic Shares Outstanding,200,181,162,166,172,172,-,-,-,-,-
Diluted Shares Outstanding,200,182,162,166,172,172,-,-,-,-,-
Shares Change (YoY),16.20%,12.18%,-1.96%,-3.83%,0.26%,-,-,-,-,-,-
EPS (Basic),0.25,0.66,1.43,1.21,0.90,0.13,-,-,-,-,-
EPS (Diluted),0.24,0.66,1.43,1.21,0.90,0.13,-,-,-,-,-
EPS Growth,-88.89%,-53.71%,18.12%,34.37%,590.93%,-,-,-,-,-,-
Dividend Per Share,0.500,0.450,0.410,0.400,0.300,-,-,-,-,-,-
Dividend Growth,13.64%,9.76%,2.50%,33.33%,-,-,-,-,-,-,-
Effective Tax Rate,40.04%,23.24%,-,21.71%,17.31%,36.66%,22.61%,22.13%,28.50%,-,65.61%
