Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,731","1,594","1,453","1,422","1,371","1,294","1,258","1,010","1,024","1,006","1,046"
Revenue Growth (YoY),7.01%,9.76%,2.16%,3.74%,5.89%,2.86%,24.61%,-1.41%,1.84%,-3.85%,2.94%
Cost of Revenue,871.4,791.78,719.21,696.07,638.87,622.46,617.45,430.35,452.29,444.91,472.3
Gross Profit,859.82,802.51,733.37,725.83,731.73,671.86,640.84,579.43,571.91,560.79,573.68
"Selling, General & Admin",251.48,231.43,221.63,249.01,250.34,256.04,258.98,225.3,211.82,226.7,214.63
Research & Development,161.2,146.68,140.76,146.31,144.31,139.29,146.57,143.63,136.92,169.9,145.92
Operating Expenses,509.15,484.67,484.76,522,521.83,527.12,517.09,453.52,438.17,486.12,443.53
Operating Income,350.67,317.84,248.61,203.84,209.9,144.74,123.76,125.91,133.74,74.67,130.15
Interest Expense,-60.66,-72.47,-78.49,-53.19,-45.06,-56.63,-64.03,-41.53,-39.01,-40.18,-41.37
Interest & Investment Income,15.77,15.93,14.22,12.55,11.52,11.63,11.97,11.14,0.56,0.53,0.39
Currency Exchange Gain (Loss),-4.41,-1.18,-8.01,4.99,-1.29,-1.12,0.52,-3.72,-2.62,4.11,1.95
Other Non Operating Income (Expenses),-,-,-0.5,-,-,-,-,-,-,-,-
EBT Excluding Unusual Items,300.36,260.11,175.83,168.18,175.07,98.63,72.21,91.8,92.67,39.12,91.11
Merger & Restructuring Charges,-6.3,-8.7,-21,-,-,-,-,-,-2.4,-5,-2.2
Gain (Loss) on Sale of Investments,25.93,-,-,-,-,-,-,-,-,-,24.47
Gain (Loss) on Sale of Assets,-,-,-,38.45,-,-,-,-,-,151.46,-
Legal Settlements,-,-,-,-,-,-,-,-,-46.7,-,-
Other Unusual Items,-2.09,-1,-7.2,-,-,-,-,-,-,-,-
Pretax Income,317.89,250.41,147.63,206.64,175.07,98.63,72.21,91.8,43.57,185.58,113.37
Income Tax Expense,57.01,47.29,26.12,64.46,47.27,25.97,5.15,22.88,38.44,56.05,27.94
Net Income,260.88,203.12,121.51,142.18,127.79,72.66,67.06,68.92,5.14,129.54,85.44
Net Income to Common,260.88,203.12,121.51,142.18,127.79,72.66,67.06,68.92,5.14,129.54,85.44
Net Income Growth,14.83%,67.16%,-14.54%,11.26%,75.88%,8.35%,-2.70%,1242.18%,-96.04%,51.62%,26.46%
Shares Outstanding (Basic),104,105,108,114,117,116,116,116,118,118,117
Shares Outstanding (Diluted),106,106,109,114,119,118,119,118,119,119,119
Shares Change (YoY),-1.79%,-2.17%,-4.71%,-3.72%,0.48%,-0.41%,0.80%,-1.52%,0.50%,-0.06%,1.84%
EPS (Basic),2.50,1.93,1.12,1.25,1.09,0.62,0.58,0.59,0.04,1.10,0.73
EPS (Diluted),2.47,1.91,1.12,1.24,1.08,0.62,0.57,0.59,0.04,1.09,0.72
EPS Growth,16.89%,70.55%,-9.68%,14.82%,74.19%,8.77%,-3.39%,1375.00%,-96.33%,51.39%,24.14%
Free Cash Flow,312.87,343.35,159.59,130.28,199.89,297.09,109.51,165.67,120.48,59.02,160.71
Free Cash Flow Per Share,2.96,3.22,1.47,1.14,1.69,2.52,0.92,1.41,1.01,0.50,1.35
Gross Margin,49.66%,50.34%,50.49%,51.05%,53.39%,51.91%,50.93%,57.38%,55.84%,55.76%,54.85%
Operating Margin,20.26%,19.94%,17.11%,14.34%,15.31%,11.18%,9.84%,12.47%,13.06%,7.42%,12.44%
Profit Margin,15.07%,12.74%,8.37%,10.00%,9.32%,5.61%,5.33%,6.83%,0.50%,12.88%,8.17%
Free Cash Flow Margin,18.07%,21.54%,10.99%,9.16%,14.58%,22.95%,8.70%,16.41%,11.76%,5.87%,15.37%
EBITDA,384.85,361.1,306.18,262.46,267.79,206.56,179.73,168.76,177.96,118.52,174.78
EBITDA Margin,22.23%,22.65%,21.08%,18.46%,19.54%,15.96%,14.28%,16.71%,17.38%,11.79%,16.71%
D&A For EBITDA,34.18,43.26,57.57,58.63,57.89,61.82,55.97,42.85,44.22,43.85,44.63
EBIT,350.67,317.84,248.61,203.84,209.9,144.74,123.76,125.91,133.74,74.67,130.15
EBIT Margin,20.26%,19.94%,17.11%,14.34%,15.31%,11.18%,9.84%,12.47%,13.06%,7.42%,12.44%
Effective Tax Rate,17.94%,18.89%,17.69%,31.19%,27.00%,26.33%,7.13%,24.92%,88.22%,30.20%,24.64%
Revenue as Reported,"1,731","1,594","1,453","1,422","1,371","1,294","1,258","1,010","1,024","1,006","1,046"
