Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,056","2,052","2,330","1,957","2,277","1,715",945,253,258,89,58
Market Cap Growth,170.07%,-11.95%,19.08%,-14.05%,32.73%,81.49%,274.05%,-2.09%,190.66%,53.31%,-9.11%
Enterprise Value,"9,273","5,489","4,763","3,861","3,905","2,780","1,627",722,620,358,344
Last Close Price,37.81,17.25,19.14,19.60,19.60,-,-,-,-,-,-
PE Ratio,39.06,46.41,32.85,79.07,202.96,-,-,364.98,803.04,150.99,14.47
PS Ratio,11.05,5.43,9.11,10.18,22.22,24.39,16.95,12.01,23.95,10.23,1.45
PB Ratio,2.58,1.42,1.62,1.86,3.01,3.35,2.43,1.53,1.95,1.09,0.91
P/TBV Ratio,3.74,2.31,2.65,3.73,7.97,6.24,3.95,3.76,4.38,2.80,1.90
P/OCF Ratio,25.54,10.63,15.57,21.65,43.76,44.19,32.30,13.99,22.97,10.18,-
EV/Sales Ratio,20.26,14.52,18.63,20.09,38.11,39.53,29.18,34.29,57.53,41.21,8.63
EV/EBITDA Ratio,27.41,20.58,27.26,31.94,62.75,62.83,48.97,90.21,-,-,35.16
EV/EBIT Ratio,45.19,33.10,41.56,49.12,93.58,97.96,69.38,151.52,-,-,35.59
Debt / Equity Ratio,2.31,2.17,1.89,2.06,2.40,2.31,2.08,3.56,3.07,3.79,5.17
Debt / EBITDA Ratio,13.05,11.39,15.00,17.88,29.24,26.79,23.53,73.64,-,-,33.68
Asset Turnover,0.07,0.07,0.06,0.06,0.04,0.04,0.05,0.03,0.02,0.02,0.10
Quick Ratio,0.65,0.77,0.84,0.79,1.82,0.56,2.21,1.19,1.71,2.33,1.24
Current Ratio,0.88,1.20,1.14,1.10,2.06,0.84,2.69,1.54,1.98,2.47,1.50
Return on Equity (ROE),8.61%,4.62%,7.89%,4.22%,3.41%,-8.83%,1.23%,4.11%,2.81%,-0.17%,9.04%
Return on Assets (ROA),1.98%,2.04%,1.75%,1.54%,1.12%,1.11%,1.35%,0.44%,-0.03%,-0.15%,1.46%
Return on Capital (ROIC),2.28%,2.38%,1.95%,1.70%,1.22%,1.19%,1.46%,0.47%,-0.03%,-0.16%,1.64%
Return on Capital Employed (ROCE),3.20%,3.30%,2.80%,2.50%,1.60%,1.90%,2.00%,0.70%,0.00%,-0.30%,2.50%
Earnings Yield,2.43%,2.15%,3.04%,1.26%,0.49%,-2.56%,-0.53%,0.27%,0.13%,0.66%,6.91%
FCF Yield,-23.46%,-34.42%,-24.95%,-28.91%,-19.36%,-17.67%,-13.46%,-62.06%,-22.77%,-14.66%,-86.51%
Buyback Yield / Dilution,-3.25%,0.44%,-23.89%,-1.91%,-25.30%,-25.29%,-16.83%,-9.14%,-37.72%,10.52%,0.63%
