Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,679.83,387.43,403.81,193.87,265.93,99.34,197.78,61.28,33,39.78,24.76
Short-Term Investments,1.41,-,5.31,4.05,-,-,-,-,12.02,10.68,10.06
Trading Asset Securities,-,0.98,0.81,33.9,39.36,32.51,20.86,10.89,19.95,16.29,13.34
Cash & Short-Term Investments,681.24,388.4,409.92,231.82,305.3,131.85,218.65,72.17,64.97,66.75,48.16
Cash Growth,282.35%,-5.25%,76.83%,-24.07%,131.55%,-39.70%,202.95%,11.09%,-2.67%,38.61%,-23.18%
Accounts Receivable,86.63,50.69,51.17,47.44,34.69,26.52,28.68,14.87,2.58,1.92,5.18
Other Receivables,72.93,19.33,28.26,26.7,25.2,25.03,4.41,12.94,1.19,1.01,1.36
Receivables,159.56,70.02,79.43,88.03,59.88,51.55,33.09,27.81,3.77,2.93,6.54
Prepaid Expenses,-,80.33,32.43,10.26,2.95,2.66,1.29,1.5,1.07,0.48,0.92
Restricted Cash,301.86,87.54,142.7,92.1,35.18,87.77,53.81,28.24,10.04,3.14,10.54
Other Current Assets,0.55,81.66,0.17,1.49,10,-,-,-,-,0.63,-
Total Current Assets,"1,143",707.95,664.65,423.7,413.31,273.82,306.84,129.73,79.85,73.94,66.16
"Property, Plant & Equipment","5,465","3,910","3,069","2,317","1,594","1,019",569.17,331.68,119.22,30.14,49.47
Long-Term Investments,185.17,123.36,116.67,132.06,36.14,86.3,7.88,1.02,288.86,270.18,277.98
Goodwill,-,148.8,148.13,148.13,148.13,-,-,-,-,-,-
Other Intangible Assets,302.83,142.64,139.83,131.59,98.93,90.58,56.07,39.43,36.16,18.04,16
Long-Term Accounts Receivable,-,-,91.35,99.15,270.25,271.17,268.03,258.56,-,-,-
Long-Term Deferred Tax Assets,6.3,10.74,9.13,4.68,21.86,13.8,2.56,1.52,0.45,0.09,0.9
Long-Term Deferred Charges,482.95,357.63,271.92,212.09,192.57,41.17,31.97,25.49,31.45,11.29,6.65
Other Long-Term Assets,119.26,121.85,82.82,45.27,27.7,21.23,29,21.83,17.13,11.62,11.37
Total Assets,"7,776","5,547","4,634","3,533","2,835","1,817","1,291",813.03,573.12,415.3,428.53
Accounts Payable,130.01,161.99,105.57,34.64,27.42,7.96,34.74,34.5,8.53,1.62,1.11
Accrued Expenses,-,49.55,50.47,41.41,40.3,73.33,15.34,8.52,9.26,7.96,15.35
Short-Term Debt,-,90,-,0.57,3.16,7.28,-,15.48,0.01,0.02,0.21
Current Portion of Long-Term Debt,776.94,167.8,351.05,180.89,76.58,223.79,43.75,25.68,19.13,18.88,23.02
Current Portion of Leases,11.39,10.24,8.11,5.85,5.69,5.61,3.52,-,-,-,-
Other Current Liabilities,375.11,112.46,68.08,122,47.93,7.85,16.76,0.18,3.37,1.48,4.31
Total Current Liabilities,"1,293",592.04,583.29,385.35,201.07,325.81,114.1,84.35,40.31,29.96,44
Long-Term Debt,"3,506","2,650","2,228","1,880","1,634",874.31,723.81,547.83,387.49,290.31,306.7
Long-Term Leases,225.67,211.94,119.48,93.77,99.96,74.13,37.08,-,-,-,-
Pension & Post-Retirement Benefits,1.5,1.22,4.78,12.24,6.91,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,68,41.79,44.94,14.13,12.41,8.5,13.41,10.93,9.83,7.92,11.21
Other Long-Term Liabilities,722.72,609.32,217.6,97.97,123.28,21.85,14.5,4.5,3.09,5.56,2.8
Total Liabilities,"5,817","4,106","3,198","2,483","2,078","1,305",902.9,647.61,440.71,333.74,364.71
