Period Ending,"Nov '25Nov 13, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019"
Market Capitalization,"6,428","8,426",44,300,450,-,-,-
Market Cap Growth,7998.38%,19171.44%,-85.42%,-33.42%,-,-,-,-
Enterprise Value,"6,424","8,418",39,284,452,-,-,-
Last Close Price,13.00,17.04,0.09,0.61,0.91,-,-,-
PB Ratio,1322.63,1733.67,5.32,25.01,26.36,-,-,-
P/TBV Ratio,1322.63,1733.67,5.32,24.92,26.39,-,-,-
Debt / Equity Ratio,0.11,0.11,0.01,0.04,0.05,-0.92,-1.16,-1.13
Quick Ratio,7.38,7.38,41.13,19.06,28.42,0.01,0.12,0.12
Current Ratio,7.39,7.39,41.92,19.15,28.46,0.02,0.12,0.12
Return on Equity (ROE),-54.81%,-54.81%,-43.18%,-41.71%,-116.10%,-,-,-
Return on Assets (ROA),-33.20%,-33.20%,-28.11%,-25.59%,-51.87%,-202.15%,-134.09%,-
Return on Capital (ROIC),-34.38%,-34.38%,-28.52%,-25.88%,-54.30%,-1670.73%,-153.32%,-
Earnings Yield,-0.06%,-0.04%,-9.84%,-1.96%,-1.65%,-,-,-
FCF Yield,-0.05%,-0.04%,-9.16%,-1.66%,-1.34%,-,-,-
Buyback Yield / Dilution,-,-,-,-1.62%,-28.06%,-,-,-
