Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,850","2,108","1,510","1,901","1,698",919,928,746,855,"1,060",562
Market Cap Growth,-2.12%,39.59%,-20.59%,11.95%,84.87%,-1.00%,24.37%,-12.71%,-19.36%,88.61%,14.58%
Last Close Price,64.97,70.69,49.70,61.24,59.09,36.71,36.11,28.05,31.37,38.24,20.05
PE Ratio,14.19,18.40,14.01,20.45,22.75,15.60,14.04,13.44,22.47,25.84,15.11
PS Ratio,5.04,6.15,4.65,6.11,7.16,5.52,5.40,4.79,6.17,7.98,4.43
PB Ratio,1.84,2.24,1.76,2.50,2.51,2.08,2.28,2.04,2.56,3.38,1.96
P/FCF Ratio,15.14,15.84,15.26,21.05,17.41,12.82,17.40,12.68,16.80,18.62,14.15
P/OCF Ratio,13.92,14.75,14.15,17.48,16.63,11.91,15.88,11.32,15.92,16.76,13.02
Debt / Equity Ratio,0.42,0.56,0.49,0.32,0.16,0.26,0.36,0.29,0.90,0.58,0.46
Debt / FCF Ratio,3.61,3.98,4.24,2.71,1.10,1.60,2.72,1.79,5.89,3.19,3.29
Return on Equity (ROE),13.69%,12.74%,13.31%,12.99%,13.37%,13.90%,17.10%,15.86%,11.75%,13.67%,13.61%
Return on Assets (ROA),1.52%,1.34%,1.38%,1.32%,1.33%,1.41%,1.88%,1.70%,1.21%,1.40%,1.38%
Earnings Yield,7.31%,5.44%,7.14%,4.89%,4.40%,6.41%,7.12%,7.44%,4.45%,3.87%,6.62%
FCF Yield,6.60%,6.31%,6.55%,4.75%,5.74%,7.80%,5.75%,7.89%,5.95%,5.37%,7.07%
Dividend Yield,1.97%,1.73%,2.37%,1.86%,1.86%,2.94%,2.88%,3.42%,2.55%,1.88%,3.19%
Payout Ratio,27.51%,31.29%,32.09%,35.82%,37.78%,41.59%,35.63%,39.21%,47.52%,39.23%,38.25%
Buyback Yield / Dilution,-0.43%,-0.27%,-1.46%,-14.97%,-10.49%,0.42%,0.34%,0.17%,-0.84%,-1.48%,-1.42%
Total Shareholder Return,1.58%,1.46%,0.92%,-13.11%,-8.63%,3.37%,3.22%,3.59%,1.71%,0.40%,1.77%
