Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,756.29,291.02,265.96,167.37,960.99,317.95,238.72,189.94,131.15,41.64,100.15
Investment Securities,408.03,763.81,748.37,651.15,344.76,158.95,283.13,295.26,416.23,406.48,402.06
Trading Asset Securities,0.62,12.44,5.13,10.73,3.15,8.37,2.7,-,-,-,-
Mortgage-Backed Securities,726.4,781.9,897.7,980.65,846.62,437.59,193.86,146.28,161.51,168.84,169.63
Total Investments,"1,135","1,558","1,651","1,643","1,195",604.9,479.68,441.53,577.74,575.32,571.69
Gross Loans,"6,929","6,520","5,771","5,206","4,169","3,532","2,845","2,548","2,410","2,306","2,034"
Allowance for Loan Losses,-92.16,-86.94,-79.37,-73.53,-53.9,-51.92,-26.79,-25.53,-24.89,-24.01,-22.44
Other Adjustments to Gross Loans,-,-,-,-,-,-,-,-,-,-0.46,-0.52
Net Loans,"6,837","6,433","5,692","5,132","4,115","3,480","2,818","2,523","2,385","2,281","2,011"
"Property, Plant & Equipment",116.21,112.74,101.17,101.61,76.89,58.02,58.62,44.76,41.66,42.38,39.56
Goodwill,194.07,194.07,194.07,194.07,135.83,12.51,12.51,0.68,0.68,0.68,0.68
Other Intangible Assets,13.07,15.82,20.3,24.99,5.6,1.96,2.29,1.06,1.23,1.41,1.6
Loans Held for Sale,6.05,6.29,6.06,2.61,8.61,22.55,8.75,1.68,2.96,3.21,6.8
Accrued Interest Receivable,28.51,27.7,26.83,22.16,13.75,13.09,8.53,8.36,8.37,6.88,6.61
Other Receivables,5.16,4.52,4.21,3.35,2.87,2.19,2.17,1.94,2.22,2.1,1.92
Restricted Cash,-,-,-,-,0.2,-,11,9,8.1,6.34,3.68
Other Current Assets,8.21,8.69,8.38,8.37,4.47,2.94,2.81,3.07,2.86,-,-
Long-Term Deferred Tax Assets,46.16,51.65,47.24,54.15,24.34,22.32,14.47,10.19,9.21,12.9,12.37
Other Real Estate Owned & Foreclosed,0.19,0.01,0.01,0.68,7.21,0.28,0.49,1.02,2.64,5.03,4.54
Other Long-Term Assets,140.37,137.71,136.77,131.07,85.95,58.96,54.64,56.69,58.52,53.88,50.29
Total Assets,"9,307","8,863","8,170","7,496","6,646","4,609","3,724","3,303","3,240","3,039","2,817"
Interest Bearing Deposits,"5,486","5,345","4,843","4,343","3,942","2,729","2,242","2,028","1,904","1,800","1,749"
Institutional Deposits,569.26,365.02,279.47,97.64,89.75,73.07,81.41,55.18,-,40.43,38.99
Non-Interest Bearing Deposits,"1,589","1,456","1,549","1,950","1,756","1,187",810.48,711.02,674.7,680.16,583.77
Total Deposits,"7,644","7,166","6,671","6,391","5,788","3,989","3,134","2,794","2,578","2,521","2,372"
Short-Term Borrowings,379.88,469.49,365.89,192.13,85.84,59.44,42.78,46.34,231.83,114.97,87
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,30
Current Portion of Leases,0.99,3.96,3.37,3.45,2.63,2.09,1.96,-,-,-,-
Accrued Interest Payable,1.89,1.91,2.09,0.66,0.3,0.39,0.64,0.76,0.23,0.14,0.13
Long-Term Debt,2,2,4,5,5,10,8,11,18.2,15.8,-
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,31.64,79.95,48.18,49.46,51.08,13.47
Long-Term Leases,31.48,27.24,19.12,17.56,13.77,11.39,12.41,-,-,-,-
Trust Preferred Securities,26.81,26.81,26.74,26.34,-,-,-,-,-,-,-
Pension & Post-Retirement Benefits,-,14.3,14.3,13.3,2.1,1.9,2,2.1,2.1,2.1,2.1
Other Long-Term Liabilities,179.21,210.84,205.74,86.14,72.99,62.45,36.22,33.69,25.89,20.97,25.88
Total Liabilities,"8,266","7,923","7,312","6,736","5,970","4,168","3,318","2,936","2,906","2,726","2,530"
Common Stock,59.08,58.94,58.6,58.37,49.5,36.5,36.21,36.69,36.46,36.25,10.62
Additional Paid-In Capital,401.67,395.08,385.96,377.7,243.11,41.89,35.71,36.8,31.92,26.68,44.18
Retained Earnings,648.01,577.61,506.34,439.9,391.2,353.57,333.7,298.16,267.19,252.44,231.09
Comprehensive Income & Other,-67.62,-91.15,-92.8,-115.54,-7.94,8.74,0.68,-5.14,-1.93,-1.5,0.63
Shareholders' Equity,"1,041",940.48,858.1,760.43,675.87,440.7,406.3,366.5,333.64,313.87,286.52
Total Liabilities & Equity,"9,307","8,863","8,170","7,496","6,646","4,609","3,724","3,303","3,240","3,039","2,817"
Total Debt,441.16,529.49,419.11,244.48,107.25,114.56,145.1,105.52,299.48,181.84,130.47
Net Cash (Debt),315.75,-226.04,-148.02,-66.39,856.89,211.76,96.32,84.42,-168.34,-140.21,-30.32
Net Cash Growth,-,-,-,-,304.65%,119.86%,14.09%,-,-,-,-
Net Cash Per Share,10.70,-7.68,-5.04,-2.30,34.06,9.30,4.21,3.68,-7.32,-6.15,-1.35
Filing Date Shares Outstanding,29.47,29.44,29.33,29.26,26.6,22.73,22.64,22.79,22.72,22.64,22.38
Total Common Shares Outstanding,29.47,29.43,29.33,29.26,26.6,22.69,22.6,22.75,22.68,22.62,22.38
