Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,407.94,369.59,302.26,216.33,164.32,138.23,134.65,118.79,100.12,92.07,83.62
Interest Income on Investments,48.81,43.29,44.44,35.32,12.75,9.64,13.24,11.14,10.78,10.14,9.55
Total Interest Income,456.75,412.88,346.7,251.65,177.08,147.87,147.89,129.93,110.9,102.21,93.17
Interest Paid on Deposits,147.44,133.54,81.59,16.41,5.63,10.48,20.56,13.44,5.98,3.94,3.74
Interest Paid on Borrowings,18.27,22.3,17.78,1.86,0.38,1.47,1.98,1.92,1.27,0.98,1.11
Total Interest Expense,165.72,155.84,99.36,18.27,6,11.95,22.54,15.36,7.25,4.92,4.85
Net Interest Income,291.03,257.04,247.33,233.38,171.07,135.92,125.35,114.58,103.65,97.29,88.32
Net Interest Income Growth (YoY),16.84%,3.92%,5.98%,36.42%,25.86%,8.43%,9.40%,10.54%,6.54%,10.16%,5.45%
Trust Income,53.46,53.91,49.84,44.7,34.53,28.81,27.64,26.11,24.8,23.02,21.43
Mortgage Banking Activities,4.04,3.86,3.71,3.21,4.72,6.16,2.93,2.41,3.22,3.9,3.49
Gain (Loss) on Sale of Assets,0.01,-0.1,-0.03,3.47,-0.08,0.15,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,-1.34,-0.35,-0.37,-3.1,-0.87,-1.24,-7.36,-4.46,-0.74
Other Non-Interest Income,29.11,28.66,29.89,28.61,20.83,12.62,12.52,11.12,10.54,9.96,9.02
Total Non-Interest Income,95.33,95.23,90.93,87.93,65.48,48.8,47.41,43.83,37.38,38.46,39.21
Non-Interest Income Growth (YoY),-0.51%,4.73%,3.41%,34.27%,34.18%,2.93%,8.18%,17.27%,-2.83%,-1.92%,3.03%
Revenues Before Loan Losses,386.36,352.27,338.26,321.31,236.56,184.72,172.76,158.4,141.03,135.75,127.53
Provision for Loan Losses,7.73,9.73,13.8,10.26,-0.75,18.42,1,2.71,2.55,3,0.75
Revenue,378.63,342.55,324.46,311.05,237.31,166.31,171.76,155.7,138.48,132.75,126.78
Revenue Growth (YoY),14.11%,5.57%,4.31%,31.07%,42.70%,-3.17%,10.32%,12.44%,4.31%,4.71%,3.73%
Salaries and Employee Benefits,125.4,117.84,110.33,103.21,72.26,59.44,57.32,52.2,49.9,49.18,44.71
Occupancy Expenses,11.72,10.71,12.83,11.08,7.32,6.16,6.19,7.61,7.39,5.62,5.29
Federal Deposit Insurance,4.85,4.54,3.91,2.76,1.85,1.22,0.25,0.96,0.96,1.18,1.26
Amortization of Goodwill & Intangibles,4.07,4.49,4.69,5.54,0.77,0.32,-,-,-,-,-
"Selling, General & Administrative",43.01,41.64,34.42,29.42,26.72,20.3,19.95,17.28,17.21,14.69,14.44
Other Non-Interest Expense,19.64,18.46,19.84,18.73,13.67,10.85,11.34,9.51,7.62,5.8,6.97
Total Non-Interest Expense,209.22,198.18,186.54,171.07,122.89,98.56,95.38,87.81,83.3,76.48,72.66
EBT Excluding Unusual Items,169.42,144.37,137.93,139.98,114.42,67.74,76.38,67.89,55.18,56.27,54.12
Asset Writedown,-,-,-,-,-,-,-0.35,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,0.37,-,-,-,-
Pretax Income,169.42,144.37,137.93,120.48,95.4,67.74,75.66,67.55,55.18,56.27,54.12
Income Tax Expense,34.19,29.83,30.18,27.19,20.75,8.87,9.59,12.03,17.14,15.24,16.93
Earnings From Continuing Operations,135.23,114.54,107.75,93.29,74.65,58.87,66.07,55.52,38.04,41.03,37.19
Minority Interest in Earnings,-,-,-,-0.32,-,-,-,-,-,-,-
Net Income,135.23,114.54,107.75,92.97,74.65,58.87,66.07,55.52,38.04,41.03,37.19
Net Income to Common,135.23,114.54,107.75,92.97,74.65,58.87,66.07,55.52,38.04,41.03,37.19
Net Income Growth,26.63%,6.30%,15.89%,24.55%,26.80%,-10.90%,19.00%,45.93%,-7.27%,10.33%,6.79%
Basic Shares Outstanding,29,29,29,29,25,23,23,23,23,22,22
Diluted Shares Outstanding,30,29,29,29,25,23,23,23,23,23,22
Shares Change (YoY),0.43%,0.27%,1.46%,14.97%,10.49%,-0.42%,-0.34%,-0.17%,0.84%,1.48%,1.42%
EPS (Basic),4.61,3.91,3.69,3.24,3.00,2.61,2.92,2.45,1.69,1.84,1.68
EPS (Diluted),4.58,3.89,3.67,3.21,2.97,2.59,2.89,2.42,1.66,1.80,1.65
EPS Growth,26.16%,6.00%,14.33%,8.08%,14.67%,-10.38%,19.42%,45.78%,-7.78%,9.09%,5.10%
Dividend Per Share,1.250,1.220,1.180,1.140,1.100,1.080,1.040,0.960,0.800,0.720,0.640
Dividend Growth,3.31%,3.39%,3.51%,3.64%,1.85%,3.85%,8.33%,20.00%,11.11%,12.50%,8.48%
Effective Tax Rate,20.18%,20.66%,21.88%,22.57%,21.75%,13.10%,12.68%,17.81%,31.06%,27.09%,31.29%
