Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,584.58,572.4,231.75,279.71
Short-Term Investments,3.56,18.33,12.78,-
Cash & Short-Term Investments,588.14,590.73,244.52,279.71
Cash Growth,-3.64%,141.59%,-12.58%,-
Accounts Receivable,177.49,169.19,171.78,104.88
Other Receivables,-,-,-,105.7
Receivables,177.49,169.19,171.78,210.88
Inventory,-,-,-,3.15
Prepaid Expenses,17.61,14.01,17.05,13.39
Other Current Assets,59.17,62.45,59.49,48.32
Total Current Assets,842.41,836.37,492.83,555.44
"Property, Plant & Equipment",34.6,20.43,41.16,65.14
Long-Term Investments,158.64,148.85,155.46,185.95
Goodwill,678.12,665.28,779.18,884.05
Other Intangible Assets,168.09,180.91,219.5,253.82
Long-Term Deferred Tax Assets,22.73,17.59,24.05,29.48
Other Long-Term Assets,41.46,34.05,35.42,42.43
Total Assets,"1,978","1,935","1,777","2,021"
Accounts Payable,140.97,127.31,127.43,153.33
Accrued Expenses,88.51,81.68,75.69,57.36
Short-Term Debt,-,-,4.19,11.19
Current Portion of Long-Term Debt,-,-,0.07,-
Current Portion of Leases,9.56,6.05,9.95,11.72
Current Income Taxes Payable,4.74,10.09,9.46,8.38
Current Unearned Revenue,88.22,85.86,76.72,77.09
Other Current Liabilities,2.26,2.23,12.58,17.14
Total Current Liabilities,334.26,313.22,316.07,336.21
Long-Term Leases,16.73,11.19,19.24,30.65
Pension & Post-Retirement Benefits,22.61,22.03,23.36,29.6
Long-Term Deferred Tax Liabilities,25.93,30.27,61.13,84.27
Other Long-Term Liabilities,3.4,2.16,9.32,24.4
Total Liabilities,402.94,378.87,429.13,505.13
Common Stock,0.01,0.01,0.01,0.03
Additional Paid-In Capital,"2,132","2,104","1,667","1,038"
Retained Earnings,-545.56,-507.2,-363.29,-212.03
Comprehensive Income & Other,-98.25,-124.62,-54.82,556.85
Total Common Equity,"1,488","1,472","1,249","1,383"
Minority Interest,87.21,84.33,98.34,132.36
Shareholders' Equity,"1,575","1,556","1,347","1,515"
Total Liabilities & Equity,"1,978","1,935","1,777","2,021"
Total Debt,26.3,17.24,33.44,53.56
Net Cash (Debt),561.84,573.49,211.09,226.15
Net Cash Growth,-5.26%,171.69%,-6.66%,-
Net Cash Per Share,4.33,4.81,1.93,2.12
Filing Date Shares Outstanding,130.77,128.86,109.51,97.09
Total Common Shares Outstanding,130.73,128.59,109.51,97.09
Working Capital,508.15,523.15,176.75,219.23
Book Value Per Share,11.38,11.45,11.41,14.25
Tangible Book Value,641.52,625.94,250.46,245.23
Tangible Book Value Per Share,4.91,4.87,2.29,2.53
Land,-,0.11,-,6.79
Buildings,-,0.17,-,0.17
Machinery,16.69,10.46,12.17,22.4
Construction In Progress,-,0.08,-,-
Leasehold Improvements,-,0.65,10.11,10.31
