Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,028","1,553","2,085","2,969","2,423","1,075",380,983,"3,967","2,558","1,955"
Market Cap Growth,249.56%,-25.50%,-29.76%,22.54%,125.44%,182.79%,-61.36%,-75.21%,55.09%,30.88%,20.89%
Enterprise Value,"3,889","1,519","1,640","2,327","1,706",429,-351,411,"3,631","2,518","2,092"
Last Close Price,31.38,12.43,15.27,21.75,17.25,7.33,2.60,6.75,27.50,17.75,13.20
PE Ratio,54.74,-,1042.57,-,11.82,-,2.84,3.58,68.41,73.09,8.57
Forward PE,11.49,8.55,8.96,17.02,17.57,19.66,8.46,14.27,15.92,11.01,10.90
PS Ratio,3.34,1.31,1.91,3.30,3.06,1.66,0.48,0.98,3.63,2.42,1.93
PB Ratio,-,-7.58,-,58.21,11.93,13.11,1.82,14.90,-19.54,-8.67,-7.00
P/TBV Ratio,-,-,-,-,20.02,53.73,2.77,-,-,-,-
P/FCF Ratio,37.53,-,-,-,6.94,-,2.64,3.37,14.97,6.61,6.67
P/OCF Ratio,24.26,67.54,-,-,6.86,-,2.52,3.25,13.45,6.29,6.11
EV/Sales Ratio,3.30,1.28,1.50,2.58,2.16,0.66,-,0.41,3.32,2.38,2.06
EV/EBITDA Ratio,12.00,4.81,5.92,10.21,8.57,4.24,-,1.21,18.25,6.31,5.11
EV/EBIT Ratio,12.83,5.20,6.31,10.82,9.12,4.87,-,1.24,18.82,6.51,5.55
EV/FCF Ratio,36.69,-,-,-,4.89,-,-,1.41,13.70,6.51,7.14
Debt / Equity Ratio,-1.72,-1.82,-,5.43,1.41,3.48,1.40,3.65,-2.37,-1.81,-2.17
Debt / EBITDA Ratio,1.07,1.15,0.99,1.21,1.39,2.61,1.32,0.71,2.42,1.34,1.48
Debt / FCF Ratio,3.36,-,-,-,0.82,-,2.04,0.83,1.82,1.38,2.07
Asset Turnover,0.82,0.70,0.59,0.50,0.47,0.41,0.49,0.67,0.82,0.99,1.20
Inventory Turnover,1.26,1.31,1.45,1.45,1.35,1.11,1.85,1.97,2.24,2.16,2.18
Quick Ratio,0.74,0.64,0.51,1.10,1.64,1.74,1.69,1.52,1.36,0.91,1.10
Current Ratio,0.96,0.88,0.97,1.24,1.80,1.98,1.83,1.63,1.43,0.96,1.20
Return on Equity (ROE),-,-,7.84%,-34.65%,143.86%,-101.72%,97.45%,-,-,-,-
Return on Assets (ROA),13.15%,10.69%,8.74%,7.46%,6.95%,3.46%,7.89%,13.88%,9.09%,22.54%,27.98%
Return on Capital (ROIC),142.39%,80.93%,53.28%,32.90%,27.31%,12.66%,31.21%,70.82%,46.48%,85.47%,80.28%
Return on Capital Employed (ROCE),67.20%,56.20%,40.50%,28.70%,18.20%,9.40%,22.20%,45.50%,32.70%,216.20%,112.90%
Earnings Yield,1.86%,-3.09%,0.10%,-1.48%,8.46%,-13.77%,35.26%,27.96%,1.46%,1.37%,11.67%
FCF Yield,2.66%,-0.39%,-15.49%,-0.30%,14.41%,-18.33%,37.90%,29.69%,6.68%,15.13%,14.99%
Dividend Yield,-,-,-,-,-,-,-,-,-,-,4.81%
Payout Ratio,-,-,-,-,-,-,-,-,-,197.14%,10.09%
Buyback Yield / Dilution,8.80%,6.69%,-2.01%,8.52%,-3.66%,2.98%,-0.56%,-0.36%,-0.71%,-1.38%,-1.27%
Total Shareholder Return,8.80%,6.69%,-2.01%,8.52%,-3.66%,2.98%,-0.56%,-0.36%,-0.71%,-1.38%,3.54%
