Period Ending,"Sep '25Sep 27, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Apr '23Apr 1, 2023","Apr '22Apr 2, 2022","Apr '21Apr 3, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Apr '17Apr 1, 2017","Apr '16Apr 2, 2016"
Operating Revenue,"2,060","1,933","1,717","2,069","1,556","1,038",999.34,905.73,815.52,720.97,655.15
Other Revenue,84.25,82.35,78.19,73.26,70.88,70.16,62.43,57.02,55.72,52.83,57.2
Revenue,"2,144","2,015","1,795","2,143","1,627","1,108","1,062",962.75,871.24,773.8,712.35
Revenue Growth (YoY),15.76%,12.29%,-16.24%,31.68%,46.85%,4.36%,10.29%,10.50%,12.59%,8.63%,25.71%
Cost of Revenue,"1,589","1,491","1,318","1,546","1,218",869.07,831.26,757.04,690.56,615.76,567.91
Gross Profit,485.85,443.3,405.25,533.88,408.05,238.24,229.02,202.26,176.28,153.59,125.31
"Selling, General & Admin",250.78,243.03,226.27,235.5,206.25,150.15,145.61,121.57,106.91,101.23,83.34
Operating Expenses,250.78,243.03,226.27,235.5,206.25,150.15,145.61,121.57,106.91,101.23,83.34
Operating Income,235.08,200.28,178.98,298.38,201.79,88.09,83.41,80.69,69.38,52.36,41.98
Interest Expense,-0.52,-0.52,-1.65,-0.28,-,-,-,-,-,-,-
Interest & Investment Income,20.04,21.09,21,10.68,3.54,2.14,8.42,6.32,3.37,-,1.99
Other Non Operating Income (Expenses),-0.3,1.28,-0.89,-0.46,0.98,-1.72,-,-,-,2.15,-
EBT Excluding Unusual Items,254.3,222.13,197.44,308.32,206.31,88.51,91.83,87.02,72.75,54.51,43.97
Merger & Restructuring Charges,-,-,-,-2.4,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,0.53,-1,1.87,0.56,5.46,8.52,-2.26,-0.39,5.7,0.71,0.05
Gain (Loss) on Sale of Assets,-0.02,-0.06,-0.13,0.28,0.22,-0.12,3.41,0.05,0.08,0.06,0.02
Other Unusual Items,-10,-10,-,-,-,-,-,-,-,-,-
Pretax Income,244.81,211.07,199.18,306.76,211.99,96.91,92.98,86.68,78.52,55.28,44.03
Income Tax Expense,48,40.03,41.28,65.92,14.25,20.27,17.91,18.05,17.02,17.33,15.49
Earnings From Continuing Operations,196.82,171.04,157.91,240.84,197.74,76.65,75.07,68.62,61.5,37.96,28.54
Minority Interest in Earnings,-,-,-0.09,-0.29,-0.04,-,-,-,-,-,-
Net Income,196.82,171.04,157.82,240.55,197.7,76.65,75.07,68.62,61.5,37.96,28.54
Net Income to Common,196.82,171.04,157.82,240.55,197.7,76.65,75.07,68.62,61.5,37.96,28.54
Net Income Growth,32.84%,8.38%,-34.39%,21.68%,157.94%,2.10%,9.39%,11.58%,62.04%,32.98%,19.84%
Shares Outstanding (Basic),8,8,9,9,9,9,9,9,9,9,9
Shares Outstanding (Diluted),8,8,9,9,9,9,9,9,9,9,9
Shares Change (YoY),-3.41%,-3.86%,-3.73%,-3.67%,-0.31%,0.26%,0.00%,0.73%,1.05%,0.66%,0.34%
EPS (Basic),24.62,20.97,18.55,27.20,21.54,8.34,8.22,7.56,6.82,4.23,3.21
EPS (Diluted),24.29,20.71,18.37,26.95,21.34,8.25,8.10,7.40,6.68,4.17,3.15
EPS Growth,37.54%,12.74%,-31.84%,26.29%,158.67%,1.85%,9.46%,10.78%,60.19%,32.38%,19.32%
Free Cash Flow,179.97,157.07,207.26,211.59,125.57,88.49,87.4,25.2,50.58,40.5,40.02
Free Cash Flow Per Share,22.21,19.02,24.12,23.71,13.55,9.52,9.43,2.72,5.50,4.45,4.42
Gross Margin,22.66%,22.00%,22.58%,24.92%,25.08%,21.50%,21.57%,21.01%,20.23%,19.85%,17.59%
Operating Margin,10.96%,9.94%,9.97%,13.93%,12.40%,7.95%,7.86%,8.38%,7.96%,6.77%,5.89%
Profit Margin,9.18%,8.49%,8.79%,11.23%,12.15%,6.92%,7.07%,7.13%,7.06%,4.91%,4.01%
Free Cash Flow Margin,8.39%,7.79%,11.55%,9.88%,7.72%,7.99%,8.23%,2.62%,5.81%,5.23%,5.62%
EBITDA,255.32,219.54,197.51,315.28,212.81,94.41,89.2,85.39,73.4,56.05,45.9
EBITDA Margin,11.91%,10.89%,11.00%,14.71%,13.08%,8.52%,8.40%,8.87%,8.43%,7.24%,6.44%
D&A For EBITDA,20.24,19.26,18.53,16.9,11.02,6.32,5.78,4.7,4.03,3.69,3.92
EBIT,235.08,200.28,178.98,298.38,201.79,88.09,83.41,80.69,69.38,52.36,41.98
EBIT Margin,10.96%,9.94%,9.97%,13.93%,12.40%,7.95%,7.86%,8.38%,7.96%,6.77%,5.89%
Effective Tax Rate,19.61%,18.97%,20.72%,21.49%,6.72%,20.91%,19.27%,20.83%,21.68%,31.34%,35.17%
Advertising Expenses,-,4.6,3.6,2,1.4,0.8,0.9,0.84,1.1,1,0.68
