Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,274.59,268.63,296.87,132.74,72.79,67.25,9.47,7.55,2.18,3.91,8.03
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,3.25
Cash & Short-Term Investments,274.59,268.63,296.87,132.74,72.79,67.25,9.47,7.55,2.18,3.91,11.28
Cash Growth,-0.00%,-9.51%,123.66%,82.36%,8.24%,609.96%,25.38%,245.86%,-44.11%,-65.35%,-68.89%
Receivables,64.33,68.42,56.75,57.57,34.78,18.44,18.58,12.33,12.72,8.89,7.03
Inventory,69.85,80.79,63.24,58.29,35.57,19.12,12.54,9.32,10.12,5.4,6.85
Prepaid Expenses,9.33,16.03,7.62,9.78,5.83,3.38,3.28,1.08,1.2,0.74,0.23
Other Current Assets,5.46,3.13,2.84,3.59,1.35,0.91,10.45,0.68,0.73,0.3,-
Total Current Assets,423.55,437,427.32,261.97,150.33,109.1,54.32,30.96,26.96,19.24,25.39
"Property, Plant & Equipment","1,180","1,069",982.78,805.75,590.46,288.94,174.44,102.09,100.6,101.49,82.79
Long-Term Investments,33.45,33.45,23.53,25.42,25.86,27.89,-,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,2.48,0.98,0.7,-,-,-,-
Other Long-Term Assets,31.06,35.2,30.79,32.25,15.29,7.48,6.66,6.91,6.34,5.71,4.91
Total Assets,"1,746","1,575","1,464","1,125",784.41,434.39,236.13,139.96,133.9,126.45,113.1
Accounts Payable,30.84,39.16,36.1,55.09,42.61,16.45,18.67,9.17,9.17,6.88,6.67
Accrued Expenses,39.44,55.53,48.59,28.13,14.12,14.87,11.4,8.4,7.26,4.53,2.27
Short-Term Debt,-,-,-,-,-,-,-,-,-,7,-
Current Portion of Leases,4.42,3.44,3.31,1.51,1.38,1.3,1.19,-,-,-,-
Other Current Liabilities,2.05,0.74,1.23,4.89,0.83,0.5,10.73,0.65,0.26,0.25,0.2
Total Current Liabilities,76.75,98.87,89.22,89.61,58.95,33.12,41.99,18.22,16.69,18.67,9.15
Long-Term Debt,396.78,395.16,393.07,-,-,-,54.47,-,-,-,-
Long-Term Leases,93.61,25.49,28.67,4.2,5.71,7.1,8.41,-,-,-,-
Other Long-Term Liabilities,-,-,-,-,-,-,-,0.27,0.3,-,-
Total Liabilities,567.14,519.52,510.97,93.81,64.66,40.22,104.86,18.49,17,18.67,9.15
Common Stock,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03
Additional Paid-In Capital,"1,356","1,338","1,283","1,326",955.71,600.39,334.3,323.08,312.78,299.48,292.48
Retained Earnings,-176.48,-281.81,-328.73,-295.12,-235.62,-205.92,-202.74,-201.35,-195.99,-191.73,-188.57
Treasury Stock,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-,-,-
Comprehensive Income & Other,-0.42,-0.79,-0.59,1.37,-0.12,-0.08,-0.08,-0.03,0.08,-,-
Shareholders' Equity,"1,178","1,055",953.45,"1,032",719.75,394.17,131.27,121.47,116.9,107.78,103.95
Total Liabilities & Equity,"1,746","1,575","1,464","1,125",784.41,434.39,236.13,139.96,133.9,126.45,113.1
Total Debt,494.81,424.09,425.06,5.71,7.09,8.4,64.06,-,-,7,-
Net Cash (Debt),-220.22,-155.46,-128.18,127.03,65.69,58.85,-54.59,7.55,2.18,-3.09,11.28
Net Cash Growth,-,-,-,93.36%,11.63%,-,-,245.86%,-,-,-68.89%
Net Cash Per Share,-4.03,-3.09,-2.66,2.75,1.53,1.48,-1.52,0.21,0.06,-0.09,0.34
Filing Date Shares Outstanding,48.81,48.72,48.29,48.05,43.45,40.72,36.17,35.64,35.14,33.98,33.54
Total Common Shares Outstanding,48.79,48.7,48.26,48.04,43.44,40.72,36.15,35.54,35.13,33.96,33.54
Working Capital,346.8,338.13,338.1,172.35,91.38,75.98,12.34,12.74,10.27,0.57,16.25
Book Value Per Share,24.15,21.67,19.76,21.47,16.57,9.68,3.63,3.42,3.33,3.17,3.10
Tangible Book Value,"1,178","1,055",953.45,"1,032",719.75,394.17,131.27,121.47,116.9,107.78,103.95
Tangible Book Value Per Share,24.15,21.67,19.76,21.47,16.57,9.68,3.63,3.42,3.33,3.17,3.10
Buildings,715.92,712.21,535,458.8,150.93,101.79,25.62,25.61,25.54,25.11,15.21
Machinery,569.83,485.91,425.2,351.42,271.38,219.73,157.09,136.57,122.77,112.82,78.95
Construction In Progress,105.14,104.53,187.95,134.34,273.88,44.5,58.59,4.77,3.76,2.84,19.39
Leasehold Improvements,5.08,0.01,1.32,1.32,1.32,1.3,0.4,0.39,0.38,0.3,0.14
