Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,580","7,189","4,185","2,534","4,134","5,770","2,133","1,143",661,344,285
Market Cap Growth,-60.30%,71.76%,65.17%,-38.70%,-28.36%,170.59%,86.60%,73.00%,92.31%,20.73%,-50.17%
Enterprise Value,"2,812","7,339","4,273","2,353","3,970","5,685","2,171","1,142",664,349,266
Last Close Price,52.74,148.11,86.76,52.77,95.27,141.99,59.09,32.16,18.95,10.15,8.49
PE Ratio,22.18,153.20,-,-,-,-,-,-,-,-,-
Forward PE,43.32,120.11,-,-,-,-,122.44,141.67,137.02,99.41,-
PS Ratio,2.38,7.37,5.46,4.26,9.72,18.10,8.67,5.91,4.34,2.65,2.45
PB Ratio,2.18,6.81,4.39,2.46,5.74,14.64,16.25,9.41,5.65,3.19,2.74
P/TBV Ratio,2.20,6.81,4.39,2.46,5.74,14.64,16.25,9.41,5.65,3.19,2.74
P/FCF Ratio,1068.51,-,-,-,-,-,-,496.68,-,-,-
P/OCF Ratio,16.64,46.59,55.12,-,6389.20,272.28,130.70,61.53,64.32,26.84,42.22
PEG Ratio,1.54,4.33,4.33,4.33,4.33,3.75,4.38,4.38,4.38,3.98,-
EV/Sales Ratio,2.61,7.53,5.57,3.95,9.33,17.83,8.83,5.91,4.36,2.69,2.29
EV/EBITDA Ratio,17.90,65.41,147.90,-,463.67,228.83,130.60,115.45,65.43,38.94,58.76
EV/EBIT Ratio,40.79,190.18,-,-,-,1528.65,3109.74,-,-,-,-
EV/FCF Ratio,1159.29,-,-,-,-,-,-,496.31,-,-,-
Debt / Equity Ratio,0.42,0.40,0.45,0.01,0.01,0.02,0.49,-,-,0.07,-
Debt / EBITDA Ratio,3.08,3.73,13.87,-,0.69,0.32,3.51,-,-,0.78,-
Asset Turnover,0.66,0.64,0.59,0.62,0.70,0.95,1.31,1.41,1.17,1.08,1.03
Inventory Turnover,9.00,8.04,8.49,8.72,9.57,11.52,12.05,10.63,10.30,11.31,8.69
Quick Ratio,4.42,3.41,3.96,2.12,1.83,2.59,0.67,1.09,0.89,0.69,2.00
Current Ratio,5.52,4.42,4.79,2.92,2.55,3.29,1.29,1.70,1.62,1.03,2.78
Return on Equity (ROE),11.22%,4.67%,-3.39%,-6.79%,-5.33%,-1.21%,-1.09%,-4.50%,-3.79%,-2.99%,-3.58%
Return on Assets (ROA),2.63%,1.59%,-1.43%,-3.33%,-2.25%,0.69%,0.23%,-1.91%,-1.22%,-0.48%,-1.69%
Return on Capital (ROIC),2.76%,1.69%,-1.53%,-3.60%,-2.42%,0.78%,0.27%,-2.19%,-1.37%,-0.53%,-1.84%
Return on Capital Employed (ROCE),4.10%,2.60%,-2.20%,-4.90%,-3.00%,0.90%,0.40%,-3.40%,-2.20%,-0.90%,-2.90%
Earnings Yield,4.76%,0.65%,-0.80%,-2.35%,-0.72%,-0.06%,-0.07%,-0.47%,-0.65%,-0.92%,-1.30%
FCF Yield,0.09%,-0.46%,-3.90%,-10.79%,-7.78%,-1.97%,-2.55%,0.20%,-0.41%,-4.99%,-8.89%
Buyback Yield / Dilution,-9.80%,-4.34%,-4.27%,-7.59%,-7.98%,-10.59%,-1.76%,-2.44%,-2.41%,-0.53%,-145.73%
