Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,"1,545","1,264",944.29,653.56,458.61,256.96,126.57
Revenue Growth (YoY),31.27%,33.85%,44.48%,42.51%,78.48%,103.02%,-
Cost of Revenue,626.3,514.76,410.89,326.93,237.13,135.84,73.3
Gross Profit,918.56,749.2,533.4,326.63,221.47,121.11,53.26
"Selling, General & Admin",556.62,498.95,410.87,298.76,191.85,105.46,69.2
Research & Development,302.38,269.82,219.42,138.72,64.09,40.78,32.01
Operating Expenses,882.97,786.82,643.4,444.2,261.2,150.3,103.87
Operating Income,35.59,-37.62,-110,-117.57,-39.72,-29.18,-50.6
Interest Expense,-6.03,-3.24,-2.35,-1.3,-1.26,-1.19,-1.61
Interest & Investment Income,7.76,8.08,7.45,4.15,0.14,0.27,1.11
Currency Exchange Gain (Loss),-6.3,4.39,-2.6,5.26,3.13,-1.3,-0.03
Other Non Operating Income (Expenses),-,-0.4,-0.24,-0.05,-,-,-
EBT Excluding Unusual Items,31.02,-28.78,-107.74,-109.51,-37.71,-31.4,-51.13
Merger & Restructuring Charges,-,-0.79,-3.1,-3.46,-,-,-
Other Unusual Items,-0.68,-0.68,-1.1,-,-,-,-
Pretax Income,30.34,-30.25,-111.94,-112.98,-37.71,-31.4,-51.13
Income Tax Expense,9.35,6.73,5.9,1.04,1.04,1.16,0.26
Net Income,20.99,-36.98,-117.84,-114.02,-38.76,-32.56,-51.39
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,12.13
Net Income to Common,20.99,-36.98,-117.84,-114.02,-38.76,-32.56,-63.53
Shares Outstanding (Basic),203,195,181,168,61,21,21
Shares Outstanding (Diluted),213,195,181,168,61,21,21
Shares Change (YoY),11.47%,7.65%,7.78%,176.27%,183.00%,0.79%,-
EPS (Basic),0.10,-0.19,-0.65,-0.68,-0.64,-1.52,-2.98
EPS (Diluted),0.09,-0.19,-0.65,-0.68,-0.64,-1.52,-2.98
Free Cash Flow,205.22,188.49,-56.45,-112.34,-20.35,-116.27,3.39
Free Cash Flow Per Share,0.96,0.97,-0.31,-0.67,-0.34,-5.42,0.16
Gross Margin,59.46%,59.27%,56.49%,49.98%,48.29%,47.13%,42.08%
Operating Margin,2.30%,-2.98%,-11.65%,-17.99%,-8.66%,-11.36%,-39.98%
Profit Margin,1.36%,-2.93%,-12.48%,-17.45%,-8.45%,-12.67%,-50.19%
Free Cash Flow Margin,13.28%,14.91%,-5.98%,-17.19%,-4.44%,-45.25%,2.67%
EBITDA,48.83,-27.63,-101.41,-114.18,-36.95,-26.72,-48.84
EBITDA Margin,3.16%,-2.19%,-10.74%,-17.47%,-8.06%,-10.40%,-38.59%
D&A For EBITDA,13.24,9.99,8.59,3.39,2.78,2.46,1.76
EBIT,35.59,-37.62,-110,-117.57,-39.72,-29.18,-50.6
EBIT Margin,2.30%,-2.98%,-11.65%,-17.99%,-8.66%,-11.36%,-39.98%
Advertising Expenses,-,225.4,181.3,139.3,102.9,62,33
