Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,676","4,470","3,596","1,954","3,384",-,-
Market Cap Growth,-24.86%,24.32%,84.01%,-42.25%,-,-,-
Enterprise Value,"2,252","4,159","3,386","1,587","2,948",-,-
Last Close Price,12.60,22.57,19.42,11.45,20.62,-,-
Forward PE,14.52,32.16,59.08,-,-,-,-
PS Ratio,1.66,3.54,3.81,2.99,7.38,-,-
PB Ratio,3.31,6.72,6.79,4.07,7.05,-,-
P/TBV Ratio,3.65,7.45,7.86,4.07,7.05,-,-
P/FCF Ratio,13.13,23.72,-,-,-,-,-
P/OCF Ratio,11.66,22.99,-,-,-,-,-
EV/Sales Ratio,1.46,3.29,3.59,2.43,6.43,-,-
EV/FCF Ratio,10.97,22.07,-,-,-,-,-
Debt / Equity Ratio,0.05,0.02,0.27,0.02,0.01,0.49,0.46
Debt / FCF Ratio,0.17,0.09,-,-,-,-,15.66
Asset Turnover,1.42,1.23,1.09,0.99,0.93,0.82,-
Quick Ratio,2.15,1.77,1.97,2.38,3.32,1.31,1.47
Current Ratio,2.88,2.73,2.54,3.20,4.29,1.90,1.72
Return on Equity (ROE),2.94%,-6.19%,-23.35%,-23.74%,-11.80%,-22.27%,-
Return on Assets (ROA),2.04%,-2.30%,-7.94%,-11.12%,-5.02%,-5.80%,-
Return on Capital (ROIC),3.01%,-3.47%,-11.84%,-15.06%,-6.62%,-8.44%,-
Return on Capital Employed (ROCE),4.20%,-5.50%,-16.40%,-24.20%,-8.20%,-16.10%,-41.70%
Earnings Yield,0.78%,-0.83%,-3.28%,-5.83%,-1.15%,-,-
FCF Yield,7.62%,4.22%,-1.57%,-5.75%,-0.60%,-,-
Buyback Yield / Dilution,-11.47%,-7.65%,-7.78%,-176.27%,-183.00%,-0.79%,-
