Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,57.53,57.88,36.28,52.12,33.05,57.99,43.1,30.43,26.12,16.48,6.04
Revenue Growth (YoY),33.52%,59.55%,-30.40%,57.69%,-43.01%,34.55%,41.63%,16.53%,58.49%,172.65%,-
Cost of Revenue,409.88,466.31,435.07,419.98,229.81,150.41,108.41,89.12,67.65,31.84,11.17
Gross Profit,-352.35,-408.43,-398.79,-367.86,-196.75,-92.41,-65.31,-58.68,-41.53,-15.36,-5.13
"Selling, General & Admin",126.38,125.83,116.5,90.31,71.1,44.17,41.06,32.19,28.03,16.8,8.28
Operating Expenses,126.38,125.83,116.5,90.31,71.1,44.17,41.06,32.19,28.03,16.8,8.28
Operating Income,-478.73,-534.26,-515.29,-458.16,-267.85,-136.58,-106.37,-90.87,-69.56,-32.16,-13.41
Interest & Investment Income,33.35,47.81,49.83,8.54,1.28,2.35,6.84,5.53,2.01,0.53,-
Earnings From Equity Investments,-,-,-15.63,-11.08,-1.33,-,-,-,-,-,-
EBT Excluding Unusual Items,-445.38,-486.46,-481.09,-460.7,-267.89,-134.23,-99.53,-85.34,-67.54,-31.63,-13.41
Gain (Loss) on Sale of Investments,-0.43,-32.57,-,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,-0.1,-13.49,-,-,-,-,-,-,-
Pretax Income,-445.81,-519.02,-481.19,-474.19,-267.89,-134.23,-99.53,-85.34,-67.54,-31.63,-13.41
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-1.01
Net Income,-445.81,-519.02,-481.19,-474.19,-267.89,-134.23,-99.53,-85.34,-67.54,-31.63,-12.4
Net Income to Common,-445.81,-519.02,-481.19,-474.19,-267.89,-134.23,-99.53,-85.34,-67.54,-31.63,-12.4
Shares Outstanding (Basic),105,99,89,77,71,56,47,43,36,22,0
Shares Outstanding (Diluted),105,99,89,77,71,56,47,43,36,22,0
Shares Change (YoY),9.22%,11.35%,15.33%,8.57%,26.63%,18.50%,9.70%,19.62%,62.03%,9044.86%,-49.99%
EPS (Basic),-4.25,-5.25,-5.42,-6.16,-3.78,-2.40,-2.11,-1.98,-1.88,-1.42,-51.02
EPS (Diluted),-4.25,-5.25,-5.42,-6.16,-3.78,-2.40,-2.11,-1.98,-1.88,-1.42,-51.02
Free Cash Flow,-412.63,-354.66,-408.07,-346.85,-237.79,-53.5,-110.03,-67.62,-75.37,29.94,-4.32
Free Cash Flow Per Share,-3.94,-3.59,-4.60,-4.51,-3.35,-0.96,-2.33,-1.57,-2.09,1.35,-17.77
Gross Margin,-,-,-,-,-,-159.35%,-151.52%,-192.81%,-159.01%,-93.22%,-84.81%
Operating Margin,-832.16%,-923.10%,-1420.51%,-879.04%,-810.37%,-235.51%,-246.78%,-298.58%,-266.32%,-195.15%,-221.86%
Profit Margin,-774.94%,-896.77%,-1326.51%,-909.78%,-810.49%,-231.46%,-230.92%,-280.42%,-258.62%,-191.97%,-205.11%
Free Cash Flow Margin,-717.27%,-612.78%,-1124.94%,-665.46%,-719.41%,-92.25%,-255.28%,-222.17%,-288.57%,181.71%,-71.43%
EBITDA,-466.25,-523.98,-506.32,-450.59,-260.96,-130.27,-100.78,-86.41,-66.56,-31.06,-13.08
EBITDA Margin,-,-,-,-,-,-224.63%,-233.81%,-283.91%,-254.86%,-188.45%,-216.43%
D&A For EBITDA,12.47,10.29,8.98,7.57,6.89,6.31,5.59,4.46,2.99,1.1,0.33
EBIT,-478.73,-534.26,-515.29,-458.16,-267.85,-136.58,-106.37,-90.87,-69.56,-32.16,-13.41
EBIT Margin,-,-,-,-,-,-235.51%,-246.78%,-298.58%,-266.32%,-195.15%,-221.86%
