Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,981,"1,188","2,731","2,974","8,799","3,514",717,593,814,472,-
Market Cap Growth,-32.08%,-56.51%,-8.18%,-66.20%,150.41%,390.02%,21.00%,-27.16%,72.43%,-,-
Enterprise Value,426,344,"1,856","2,223","7,727","3,128",441,299,591,181,-
Last Close Price,8.48,11.66,30.49,34.89,118.24,54.40,14.67,13.65,19.22,13.11,-
PS Ratio,15.46,20.52,75.27,57.06,266.22,60.59,16.64,19.47,31.16,28.64,-
PB Ratio,1.31,1.36,2.60,2.41,8.46,6.67,2.66,2.13,2.71,2.25,-
P/TBV Ratio,1.33,1.36,2.60,2.41,8.46,6.67,2.66,2.13,2.71,2.25,-
P/FCF Ratio,-,-,-,-,-,-,-,-,-,15.76,-
P/OCF Ratio,-,-,-,-,-,-,-,-,-,13.07,-
EV/Sales Ratio,7.40,5.95,51.17,42.65,233.76,53.94,10.23,9.84,22.65,11.00,-
EV/FCF Ratio,-,-,-,-,-,-,-,-,-,6.05,-
Debt / Equity Ratio,0.13,0.24,0.11,0.11,0.07,0.08,0.07,-,-,-,-
Asset Turnover,0.06,0.05,0.03,0.04,0.03,0.12,0.13,0.08,0.08,0.09,0.13
Quick Ratio,5.57,5.50,8.23,9.45,5.97,9.33,7.98,7.93,11.20,9.10,7.18
Current Ratio,6.21,5.77,8.66,9.62,6.11,9.60,8.12,8.01,11.32,9.15,7.26
Return on Equity (ROE),-52.11%,-54.01%,-42.10%,-41.67%,-34.19%,-33.69%,-36.34%,-29.50%,-26.46%,-22.82%,-33.09%
Return on Assets (ROA),-28.51%,-26.80%,-22.83%,-20.35%,-16.99%,-16.89%,-19.51%,-15.70%,-12.88%,-10.55%,-18.05%
Return on Capital (ROIC),-31.32%,-29.71%,-25.44%,-23.09%,-19.92%,-19.98%,-23.48%,-19.63%,-17.03%,-14.50%,-22.37%
Return on Capital Employed (ROCE),-57.60%,-49.50%,-43.50%,-32.90%,-22.90%,-22.30%,-35.60%,-29.60%,-20.20%,-12.00%,-18.80%
Earnings Yield,-44.68%,-43.70%,-17.62%,-15.95%,-3.04%,-3.82%,-13.88%,-14.40%,-8.30%,-6.70%,-
FCF Yield,-41.35%,-29.87%,-14.95%,-11.66%,-2.70%,-1.52%,-15.34%,-11.41%,-9.26%,6.35%,-
Buyback Yield / Dilution,-9.22%,-11.35%,-15.33%,-8.57%,-26.63%,-18.50%,-9.70%,-19.62%,-62.03%,-9044.86%,49.99%
