Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,42.85,51.43,11.16,66.43,17.56,31.69,-
Cash & Short-Term Investments,42.85,51.43,11.16,66.43,17.56,31.69,-
Cash Growth,-63.77%,360.95%,-83.20%,278.37%,-44.60%,-,-
Accounts Receivable,121.35,227.52,76.49,58.34,47.36,33.12,-
Other Receivables,1,6.48,1.93,6.58,1.8,1.93,-
Receivables,122.35,234,78.42,64.92,49.16,35.05,-
Inventory,207.73,127.89,74.43,71.47,39.06,9.65,-
Prepaid Expenses,-,23.98,22.04,20.6,9.32,5.92,-
Other Current Assets,59.08,17.72,8.8,7.32,4.73,3.86,-
Total Current Assets,432.01,455.02,194.84,230.74,119.82,86.16,-
"Property, Plant & Equipment",494.18,409.74,356.58,268.1,205.33,176.97,-
Long-Term Investments,-,-,18.49,48.57,55.31,56.68,-
Goodwill,12.8,11.33,12.06,11.64,12.37,13.43,-
Other Intangible Assets,61.87,20.62,19.08,25.65,21.51,6.34,-
Long-Term Accounts Receivable,58.7,22.71,10.86,3.29,1.48,2.19,-
Long-Term Deferred Tax Assets,340.5,298.36,309.81,209.5,170.42,121.86,-
Other Long-Term Assets,9.12,3.62,28.38,30.97,11.75,10.8,-
Total Assets,"1,409","1,221",950.09,828.44,597.98,474.42,-
Accounts Payable,91.63,67.13,80.56,49.19,28.59,11.96,-
Accrued Expenses,100.38,59.4,62.72,54.05,42.01,16.42,-
Current Portion of Long-Term Debt,42.72,32.7,38.03,19.92,2.77,2.5,-
Current Portion of Leases,13.3,9.52,9.68,5.16,7.3,5.47,-
Current Income Taxes Payable,1.77,0.2,0.93,0.93,0.84,0.07,-
Current Unearned Revenue,49.92,15.98,59.18,36.92,29.69,14.19,-
Other Current Liabilities,4.35,8.47,9.85,1.13,0.64,0.37,-
Total Current Liabilities,304.07,193.4,260.95,167.29,111.84,50.98,-
Long-Term Debt,"1,082","1,036",922.13,744.65,398.14,565.4,-
Long-Term Leases,144.52,112.14,105.63,35.37,114.85,103.47,-
Long-Term Unearned Revenue,5.49,80.72,73.26,57.02,44.84,38.87,-
Long-Term Deferred Tax Liabilities,7.54,1.81,0.05,0.31,0.15,0.22,-
Other Long-Term Liabilities,42.7,210.22,520.55,388.22,63.77,582.73,-
Total Liabilities,"1,586","1,634","1,883","1,393",733.59,"1,342",-
Common Stock,2.93,2.83,2.28,2.13,0.14,0.07,-
Additional Paid-In Capital,"2,104","2,007","1,230","1,058","1,000",166.74,-
Retained Earnings,"-2,301","-2,438","-2,206","-1,654","-1,141","-1,039",-
Comprehensive Income & Other,17.74,15.05,41.38,29.14,4.67,4.97,-
Shareholders' Equity,-176.76,-412.77,-932.49,-564.42,-135.61,-867.24,-
Total Liabilities & Equity,"1,409","1,221",950.09,828.44,597.98,474.42,-
Total Debt,"1,282","1,190","1,075",805.1,523.05,676.85,-
Net Cash (Debt),"-1,239","-1,139","-1,064",-738.68,-505.5,-645.16,-
Net Cash Per Share,-4.28,-4.25,-4.68,-3.74,-4.57,-6.89,-
Filing Date Shares Outstanding,300.02,301.81,266.82,248.65,13.48,7.26,6.82
Total Common Shares Outstanding,300.02,301.81,266.82,248.65,13.48,7.26,6.82
Working Capital,127.94,261.62,-66.11,63.44,7.98,35.18,-
Book Value Per Share,-0.59,-1.37,-3.49,-2.27,-10.06,-119.47,-
Tangible Book Value,-251.44,-444.72,-963.63,-601.71,-169.49,-887.01,-
Tangible Book Value Per Share,-0.84,-1.47,-3.61,-2.42,-12.57,-122.19,-
Machinery,-,254.16,189.91,156.71,122.46,99.42,-
