Period Ending,"Nov '25Nov 13, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"5,583","6,941","4,429","2,528","2,957","3,031","1,886","2,971","2,571","2,290","1,950"
Market Cap Growth,-6.75%,56.73%,75.19%,-14.50%,-2.47%,60.69%,-36.51%,15.58%,12.26%,17.45%,-0.62%
Enterprise Value,"5,429","6,709","4,157","2,267","2,741","2,669","1,566","2,513","2,125","1,853","1,549"
Last Close Price,126.62,157.76,101.43,56.74,66.35,64.50,40.48,64.74,57.20,50.80,43.17
PE Ratio,71.96,91.20,26.22,-,87.93,-,-,834.41,-,-,1133.63
Forward PE,31.50,40.64,33.08,22.82,24.99,28.91,26.70,28.99,41.43,50.26,50.52
PS Ratio,5.10,6.97,5.28,3.22,3.84,4.19,2.81,4.18,3.68,3.55,3.28
PB Ratio,26.50,21.35,15.93,13.58,11.56,7.69,4.58,7.59,6.36,4.90,4.92
P/TBV Ratio,-,58.27,29.67,45.12,23.75,10.77,7.45,7.59,6.36,4.90,4.92
P/FCF Ratio,26.66,34.09,22.18,15.13,17.06,26.18,22.13,28.68,33.33,24.46,25.65
P/OCF Ratio,25.90,33.47,21.73,14.85,16.69,24.46,21.32,26.97,30.54,22.89,23.10
PEG Ratio,24.23,2.39,6.62,4.56,3.12,4.82,2.67,1.91,1.66,1.98,2.30
EV/Sales Ratio,4.95,6.74,4.95,2.89,3.56,3.69,2.34,3.54,3.04,2.87,2.61
EV/EBITDA Ratio,55.64,68.81,48.87,36.56,54.20,46.19,91.48,79.21,206.91,212.05,103.00
EV/EBIT Ratio,60.09,72.97,52.03,42.73,68.76,63.68,27479.83,127.76,-,-,376.82
EV/FCF Ratio,25.92,32.95,20.82,13.57,15.82,23.05,18.37,24.26,27.56,19.79,20.37
Debt / Equity Ratio,4.32,0.03,0.04,0.07,0.06,0.06,0.04,-,-,-,-
Debt / EBITDA Ratio,8.71,0.10,0.13,0.18,0.27,0.33,0.58,-,-,-,-
Debt / FCF Ratio,4.34,0.05,0.06,0.08,0.09,0.20,0.19,-,-,-,-
Asset Turnover,0.76,0.97,0.97,0.98,0.90,0.83,0.81,0.87,0.85,0.84,0.83
Quick Ratio,2.42,1.00,1.10,1.22,1.17,1.57,1.46,1.95,1.93,2.05,1.89
Current Ratio,2.53,1.14,1.23,1.34,1.23,1.63,1.56,2.01,2.00,2.11,1.95
Return on Equity (ROE),32.87%,25.23%,72.78%,-16.19%,10.35%,-7.68%,-1.41%,0.90%,-14.21%,-0.12%,0.43%
Return on Assets (ROA),3.93%,5.57%,5.79%,4.15%,2.90%,3.00%,0.00%,1.50%,-0.07%,-0.10%,0.36%
Return on Capital (ROIC),8.01%,18.35%,20.42%,14.09%,7.23%,6.20%,0.01%,3.09%,-0.14%,-0.18%,0.64%
Return on Capital Employed (ROCE),6.50%,16.30%,17.40%,14.20%,9.40%,7.90%,0.00%,4.00%,-,-,0.90%
Earnings Yield,1.44%,1.10%,3.81%,-1.42%,1.14%,-1.02%,-0.30%,0.12%,-2.41%,-0.02%,0.09%
FCF Yield,3.75%,2.93%,4.51%,6.61%,5.86%,3.82%,4.52%,3.49%,3.00%,4.09%,3.90%
Buyback Yield / Dilution,-0.29%,-0.19%,-0.98%,5.41%,-1.22%,-1.88%,3.80%,-5.21%,-1.21%,3.85%,1.55%
