Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,"1,064",302.1,312.75,287.78,267.51,397.24,288.08,327.99,330.78,329.49,288.11
Short-Term Investments,-,-,-,-,-,-,43.65,130.34,131.64,120.69,99.07
Cash & Short-Term Investments,"1,064",302.1,312.75,287.78,267.51,397.24,331.73,458.33,462.42,450.18,387.18
Cash Growth,250.93%,-3.41%,8.68%,7.58%,-32.66%,19.75%,-27.62%,-0.89%,2.72%,16.27%,-0.11%
Receivables,234.81,252,222.68,210.44,194.24,188.13,146.99,176.84,162.12,140.08,113.43
Prepaid Expenses,-,-,-,-,-,-,-,-,22.25,15.79,16.77
Restricted Cash,-,-,-,-,-,-,8,-,-,-,-
Other Current Assets,54.6,80.96,59.69,52.7,22.34,22.24,26.97,19.84,-,-,-
Total Current Assets,"1,353",635.06,595.13,550.91,484.08,607.6,513.69,655,646.79,606.06,517.38
"Property, Plant & Equipment",38.69,18.42,18.51,20.07,121.43,133.56,129.53,122.72,128.61,132.32,135.9
Long-Term Investments,9.76,9.01,-,-,-,-,-,-,-,3.62,4.58
Goodwill,210.32,185.26,127.78,127.78,127.78,112.44,112.44,-,-,-,-
Other Intangible Assets,22.23,20.74,1.04,2.29,3.54,-,46.35,-,-,-,-
Long-Term Accounts Receivable,31.16,31.34,14.47,9.87,14.3,7.46,7.86,7.22,4.38,-,-
Long-Term Deferred Tax Assets,151.94,133.38,111.18,-,-,-,-,-,-,50.23,49.98
Long-Term Deferred Charges,87.01,79.51,63.15,59.61,52.97,38.44,31.39,33.62,33.09,30.38,0.82
Other Long-Term Assets,12.86,5.56,12.66,12.04,11.97,4.67,3.83,3.9,5.77,7.27,5.92
Total Assets,"1,917","1,118",943.91,782.57,816.08,904.17,845.08,822.45,818.64,829.88,714.57
Accounts Payable,0.36,0.37,0.3,0.11,0.43,0.37,0.31,2.19,0.76,0.12,0.31
Accrued Expenses,106.49,147.13,117.24,97.89,121.84,112.15,87.05,85.72,82.3,78.7,69.68
Current Portion of Leases,5.52,4.61,4.94,4.52,4.78,7.47,7.7,-,-,-,-
Current Unearned Revenue,422.95,402.93,362.45,307.56,267.02,253.21,233.5,238.44,241.11,209.1,194.98
Total Current Liabilities,535.32,555.05,484.93,410.08,394.06,373.2,328.55,326.35,324.17,287.92,264.96
Long-Term Leases,25.34,6.34,7.16,8.26,11.27,15.42,8.81,-,-,-,-
Long-Term Unearned Revenue,252.61,223.28,168.47,174.39,150.18,119.23,92.72,99.26,84.66,70.8,49.89
Long-Term Deferred Tax Liabilities,1.5,1.38,1.72,0.13,0.81,0.76,0.85,2.59,2.43,-,-
Other Long-Term Liabilities,12.78,7.09,3.56,3.61,3.93,1.53,2.24,2.95,3.31,4.23,3.45
Total Liabilities,"1,706",793.14,665.83,596.48,560.25,510.14,433.17,431.15,414.58,362.95,318.31
Common Stock,0.44,0.44,0.44,0.44,0.44,0.46,0.46,0.45,0.45,0.45,0.44
Additional Paid-In Capital,"1,460","1,474","1,350","1,265","1,166","1,070",978.66,887.91,782.76,694.48,603
Retained Earnings,"-1,235","-1,134","-1,056","-1,063",-898.7,-665.77,-553.79,-485.49,-373.68,-215.68,-197.96
Comprehensive Income & Other,-15.12,-15.63,-15.94,-16.05,-11.86,-10.35,-13.42,-11.57,-5.47,-12.32,-9.21
Shareholders' Equity,210.46,325.12,278.09,186.1,255.83,394.03,411.9,391.3,404.06,466.93,396.27
Total Liabilities & Equity,"1,917","1,118",943.91,782.57,816.08,904.17,845.08,822.45,818.64,829.88,714.57
Total Debt,909.79,10.95,12.09,12.78,16.05,22.89,16.51,-,-,-,-
Net Cash (Debt),153.77,291.15,300.66,275,251.46,374.35,315.22,458.33,462.42,450.18,387.18
Net Cash Growth,-47.08%,-3.16%,9.33%,9.36%,-32.83%,18.76%,-31.22%,-0.89%,2.72%,16.27%,-0.11%
Net Cash Per Share,3.40,6.44,6.67,6.16,5.33,8.02,6.88,9.63,10.22,10.07,8.33
Filing Date Shares Outstanding,44.09,44.13,43.4,43.97,44.6,46.03,46.17,45.68,45.48,44.95,44.22
Total Common Shares Outstanding,44.05,44.1,43.55,44.14,44.51,46.48,46.01,45.58,45.12,44.82,44.13
Working Capital,817.65,80.01,110.2,140.84,90.02,234.4,185.13,328.66,322.62,318.14,252.41
Book Value Per Share,4.78,7.37,6.39,4.22,5.75,8.48,8.95,8.58,8.96,10.42,8.98
Tangible Book Value,-22.08,119.13,149.26,56.03,124.51,281.6,253.12,391.3,404.06,466.93,396.27
Tangible Book Value Per Share,-0.50,2.70,3.43,1.27,2.80,6.06,5.50,8.58,8.96,10.42,8.98
Land,-,-,-,-,9.45,9.45,9.45,9.45,9.45,9.45,9.45
Buildings,-,1,-,-,103.24,103.24,103.24,103.24,103.24,103.24,103.19
Machinery,-,50.37,48.59,46.4,60.59,56.81,54.96,53.74,52.73,50.19,47.58
Construction In Progress,-,0.19,0.19,0.11,2.12,4.3,2.02,2.09,0.06,1.15,0.17
Leasehold Improvements,-,6.22,8.18,8.43,9.35,8.09,9.25,10.25,10.14,7.04,6.95
