Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Revenue,"1,096",995.62,839.25,784.59,769.59,723.47,670.89,710.96,699.39,645.01,593.77
Revenue Growth (YoY),22.02%,18.63%,6.97%,1.95%,6.38%,7.84%,-5.64%,1.65%,8.43%,8.63%,-2.27%
Cost of Revenue,202.21,179.04,151.61,135.4,113.86,109.37,117.08,117.01,98.15,85.19,82.71
Gross Profit,893.63,816.58,687.64,649.19,655.73,614.1,553.81,593.95,601.24,559.81,511.06
"Selling, General & Admin",633.7,569.28,468.99,445.02,452.59,424.16,427.92,471.03,501.44,472.86,428.05
Research & Development,159.26,146.29,132.33,141.85,153.62,133.4,110.02,92.65,91.03,79.56,69.29
Operating Expenses,803.27,724.63,607.73,596.14,615.87,572.19,553.75,574.28,602.19,561.06,506.95
Operating Income,90.36,91.95,79.9,53.05,39.86,41.91,0.06,19.67,-0.95,-1.24,4.11
Interest Expense,-1.12,-0.42,-0.42,-0.47,-0.11,-,-,-,-1.16,-0.96,-0.93
Interest & Investment Income,8.22,6.65,5.42,1.3,0.66,1.03,4.96,5.52,2.23,1.16,0.86
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-3.62,-0.96,-0.08
Other Non Operating Income (Expenses),0.28,0.71,3.27,-,1,-,-,-,-,-,-
EBT Excluding Unusual Items,97.73,98.9,88.18,53.88,41.41,42.94,5.02,25.19,-3.5,-1.99,3.96
Merger & Restructuring Charges,-10.25,-12.57,-4.55,-15.45,-6.19,-23.47,-21.35,-14.77,-,-,-
Gain (Loss) on Sale of Investments,0.43,0.36,-0.02,-0.31,0.3,-,-,-,-,-,-
Asset Writedown,-,-2.91,-,-53.48,-,-40.7,-,-,-,-,-
Legal Settlements,-0.68,-0.68,-,-,7.9,-,-,-,-,-,-
Other Unusual Items,-1.52,-2.06,-,-,-,-,3.78,-,-,-,-
Pretax Income,85.72,81.05,83.61,-15.36,43.41,-21.24,-12.55,10.43,-3.5,-1.99,3.96
Income Tax Expense,5.48,4.95,-85.29,20.41,9.79,9.72,-6.9,6.87,58.4,-1.49,2.24
Net Income,80.24,76.11,168.91,-35.77,33.62,-30.95,-5.65,3.56,-61.9,-0.51,1.72
Net Income to Common,80.24,76.11,168.91,-35.77,33.62,-30.95,-5.65,3.56,-61.9,-0.51,1.72
Net Income Growth,-54.76%,-54.94%,-,-,-,-,-,-,-,-,-93.29%
Shares Outstanding (Basic),44,44,44,45,45,47,46,46,45,45,45
Shares Outstanding (Diluted),45,45,45,45,47,47,46,48,45,45,46
Shares Change (YoY),0.29%,0.19%,0.98%,-5.41%,1.22%,1.88%,-3.80%,5.21%,1.21%,-3.85%,-1.55%
EPS (Basic),1.82,1.74,3.85,-0.80,0.74,-0.66,-0.12,0.08,-1.37,-0.01,0.04
EPS (Diluted),1.76,1.68,3.75,-0.80,0.71,-0.66,-0.12,0.07,-1.37,-0.01,0.04
EPS Growth,-55.31%,-55.20%,-,-,-,-,-,-,-,-,-92.95%
Free Cash Flow,209.44,203.63,199.71,167.05,173.27,115.78,85.26,103.62,77.12,93.62,76.02
Free Cash Flow Per Share,4.63,4.51,4.43,3.74,3.67,2.48,1.86,2.18,1.71,2.09,1.64
Gross Margin,81.55%,82.02%,81.94%,82.74%,85.20%,84.88%,82.55%,83.54%,85.97%,86.79%,86.07%
Operating Margin,8.25%,9.23%,9.52%,6.76%,5.18%,5.79%,0.01%,2.77%,-0.14%,-0.19%,0.69%
Profit Margin,7.32%,7.64%,20.13%,-4.56%,4.37%,-4.28%,-0.84%,0.50%,-8.85%,-0.08%,0.29%
Free Cash Flow Margin,19.11%,20.45%,23.80%,21.29%,22.51%,16.00%,12.71%,14.57%,11.03%,14.51%,12.80%
EBITDA,97.59,97.51,85.07,62.01,50.57,57.79,17.12,31.73,10.27,8.74,15.04
EBITDA Margin,8.91%,9.79%,10.14%,7.90%,6.57%,7.99%,2.55%,4.46%,1.47%,1.35%,2.53%
D&A For EBITDA,7.23,5.56,5.17,8.96,10.71,15.88,17.07,12.06,11.22,9.98,10.93
EBIT,90.36,91.95,79.9,53.05,39.86,41.91,0.06,19.67,-0.95,-1.24,4.11
EBIT Margin,8.25%,9.23%,9.52%,6.76%,5.18%,5.79%,0.01%,2.77%,-0.14%,-0.19%,0.69%
Effective Tax Rate,6.40%,6.10%,-,-,22.55%,-,-,65.85%,-,-,56.52%
Revenue as Reported,"1,096",995.62,839.25,784.59,769.59,723.47,670.89,710.96,699.39,645.01,593.77
Advertising Expenses,-,10.84,8.51,8.66,9.57,9.56,5.58,4.68,5.7,7.82,5.08
