Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,042","4,100","3,766","3,349","1,424","3,042","3,805",84,143,129,177
Market Cap Growth,64.00%,8.88%,12.44%,135.22%,-53.20%,-20.03%,4425.27%,-41.02%,10.26%,-27.12%,-
Enterprise Value,"6,935","3,965","3,535","3,216","1,359","2,888","3,781",77,121,95,188
Last Close Price,139.69,84.61,79.59,77.13,37.78,81.47,103.36,2.82,5.60,6.75,9.27
PS Ratio,12.25,10.63,13.92,66.94,-,-,-,-,-,-,-
PB Ratio,95.32,71.92,19.72,30.57,91.10,26.74,21.29,89.64,8.53,5.99,3.82
P/TBV Ratio,360.05,-,29.97,84.61,91.10,26.74,21.29,89.64,8.53,5.99,3.82
EV/Sales Ratio,12.36,10.28,13.06,64.28,-,-,-,-,-,-,-
Debt / Equity Ratio,2.97,3.38,0.98,0.86,3.18,0.44,0.11,7.37,0.59,0.45,-
Asset Turnover,0.91,0.67,0.59,0.24,-,-,-,-,-,-,-
Inventory Turnover,2.40,2.16,2.68,-,-,-,-,-,-,-,-
Quick Ratio,1.45,1.99,3.46,2.47,3.75,7.85,8.98,1.29,2.79,5.11,18.25
Current Ratio,1.57,2.11,3.63,2.54,3.75,7.85,9.00,1.41,2.90,5.30,18.63
Return on Equity (ROE),-275.50%,-231.63%,-159.21%,-298.97%,-201.51%,-70.36%,-76.08%,-350.78%,-151.19%,-79.99%,-56.48%
Return on Assets (ROA),-19.79%,-27.28%,-24.86%,-52.30%,-56.91%,-30.46%,-35.55%,-80.08%,-45.68%,-38.76%,-22.17%
Return on Capital (ROIC),-42.17%,-50.30%,-39.31%,-81.33%,-68.00%,-34.16%,-40.62%,-118.23%,-58.14%,-43.52%,-24.09%
Earnings Yield,-3.26%,-7.00%,-6.35%,-5.59%,-9.16%,-3.38%,-1.80%,-36.83%,-20.30%,-21.04%,-6.88%
FCF Yield,-1.44%,-3.14%,-3.87%,-3.50%,-7.62%,-2.58%,-1.22%,-35.79%,-18.58%,-16.54%,-4.21%
Buyback Yield / Dilution,-3.38%,-5.48%,-11.73%,-8.07%,-1.11%,-9.37%,-26.55%,-18.09%,-18.87%,-60.32%,-31.28%
