Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,92.71,76.25,88.21,139.26,203.13,127.44,80.93,70.5,102.72,160.75,71.76
Short-Term Investments,860.15,817.46,688.72,643.86,816.89,445.49,483.95,514.8,321.21,380.56,245.24
Cash & Short-Term Investments,952.86,893.71,776.93,783.12,"1,020",572.93,564.88,585.3,423.94,541.31,317
Cash Growth,-5.17%,15.03%,-0.79%,-23.23%,78.04%,1.43%,-3.49%,38.06%,-21.68%,70.76%,-7.33%
Accounts Receivable,5.03,4.11,2.81,2.21,-,-,15.32,10.44,3.67,4.89,8.23
Other Receivables,-,-,1.1,0.3,7.28,-,-,0.01,-,-,-
Receivables,5.03,4.11,3.91,2.51,7.28,-,15.32,10.45,3.67,4.89,8.23
Inventory,32.03,27.62,19.08,8.49,-,-,7.33,0.87,-,-,-
Prepaid Expenses,43.19,40.17,33.92,38.66,36.94,15.89,24.18,17.16,17.66,10.26,8.73
Other Current Assets,-,-,-,-,-,47.86,-,-,-,3.43,3.37
Total Current Assets,"1,033",965.6,833.84,832.77,"1,064",636.68,611.7,613.78,445.26,559.89,337.33
"Property, Plant & Equipment",44.33,54.55,69.79,88.12,104.23,116.07,126.11,24.32,24.43,25.34,23.22
Long-Term Investments,304.34,638.32,29.44,313.87,266.38,97.61,152.93,220.12,143.81,32.25,58.91
Other Long-Term Assets,3.93,4.72,4.06,3.96,2.9,2.6,-,0.24,0.89,1.62,0.61
Total Assets,"1,386","1,663",937.12,"1,239","1,438",852.95,890.74,858.46,614.4,619.09,420.07
Accounts Payable,19.55,16.64,9.78,18.62,16.7,17.72,21.9,17.88,22.77,17.11,14.75
Accrued Expenses,37.22,46.86,43.17,30.35,31.97,30.8,49.09,42.15,34.03,32,16
Current Portion of Leases,17.99,16.78,15.01,13.66,11.16,7.41,6.92,-,-,-,-
Current Income Taxes Payable,-,0.87,-,-,-,-,-,-,-,-,-
Current Unearned Revenue,-,-,-,-,-,-,10.93,32.71,37.84,35.91,19.67
Other Current Liabilities,-,-,-,-,-,38.46,4.05,0.77,0.3,3.41,2.48
Total Current Liabilities,74.76,81.16,67.96,62.63,59.83,94.39,92.89,93.5,94.94,88.43,52.89
Long-Term Leases,26.53,40.21,56.99,72,85.94,97.79,106.75,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,50.58,59.81,125.8,154.3,4.7
Other Long-Term Liabilities,0.09,0.88,1.16,3.28,-,261.27,-,17.61,18.16,17.77,17.36
Total Liabilities,101.38,122.24,126.1,137.9,145.76,453.45,250.21,170.92,238.89,260.5,74.95
Common Stock,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.04,0.04
Additional Paid-In Capital,"2,538","2,494","2,437","2,386","2,334","2,243","2,156","1,794","1,175",842.01,630.08
Retained Earnings,-453.67,-148.92,-822.65,-470.56,-238.76,"-1,843","-1,516","-1,105",-798.06,-483.15,-284.68
Treasury Stock,-802.49,-802.49,-802.49,-802.49,-802.49,-,-,-,-,-,-
Comprehensive Income & Other,2.05,-1.52,-0.44,-12.54,-1.2,0.11,0.2,-2.17,-1.39,-0.31,-0.32
Shareholders' Equity,"1,284","1,541",811.02,"1,101","1,292",399.5,640.53,687.54,375.5,358.59,345.12
Total Liabilities & Equity,"1,386","1,663",937.12,"1,239","1,438",852.95,890.74,858.46,614.4,619.09,420.07
Total Debt,44.52,56.99,72,85.66,97.09,105.2,113.66,-,-,-,-
Net Cash (Debt),"1,213","1,475",734.37,"1,011","1,189",565.34,604.14,805.42,567.75,573.56,375.91
Net Cash Growth,-24.20%,100.86%,-27.39%,-14.96%,110.37%,-6.42%,-24.99%,41.86%,-1.01%,52.58%,-19.58%
Net Cash Per Share,21.03,25.48,13.20,18.46,19.67,8.19,10.07,14.03,12.19,14.66,10.04
Filing Date Shares Outstanding,58.31,57.3,56.19,55.29,54.64,69.6,68.51,58.4,57.33,42.23,37.85
Total Common Shares Outstanding,58.28,57.16,55.95,55.04,54.33,69.29,68.4,58.22,48.83,42.22,37.7
Working Capital,958.35,884.44,765.88,770.14,"1,004",542.28,518.82,520.28,350.32,471.46,284.44
Book Value Per Share,22.04,26.96,14.50,20.00,23.78,5.77,9.36,11.81,7.69,8.49,9.16
Tangible Book Value,"1,284","1,541",811.02,"1,101","1,292",399.5,640.53,687.54,375.5,358.59,345.12
Tangible Book Value Per Share,22.04,26.96,14.50,20.00,23.78,5.77,9.36,11.81,7.69,8.49,9.16
Machinery,-,29.76,29.73,35.12,33.8,35.49,32.52,27.09,22.89,18.71,12.4
Construction In Progress,-,0.9,0.61,0.66,7.37,4.11,7.18,1.3,0.62,0.14,2.63
Leasehold Improvements,-,37.52,37.28,37.28,32.73,32.57,23.88,22.08,20.32,19.86,15.85
