Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"10,003","15,566","20,985","16,474","51,821","42,136","21,992","16,751","17,815","7,661","5,234"
Market Cap Growth,-37.06%,-25.82%,27.39%,-68.21%,22.98%,91.60%,31.29%,-5.97%,132.55%,46.35%,16.61%
Enterprise Value,"9,120","14,652","19,810","15,454","50,679","41,607","21,267","16,138","17,077","6,985","4,604"
Last Close Price,139.42,208.51,274.00,210.90,657.18,534.38,279.04,209.43,222.19,96.13,65.85
PE Ratio,27.01,36.94,47.15,45.56,67.12,23.73,49.67,41.85,76.98,40.39,36.35
Forward PE,12.91,21.07,30.51,27.93,52.51,66.49,45.85,38.82,54.10,34.19,31.19
PS Ratio,2.56,3.89,5.43,4.41,13.11,17.05,9.14,8.52,12.09,7.09,6.19
PB Ratio,2.54,4.04,5.78,4.57,14.30,13.03,16.34,13.37,15.43,7.70,6.17
P/TBV Ratio,2.97,4.71,6.71,5.32,16.75,15.85,17.31,14.31,16.72,8.39,6.81
P/FCF Ratio,17.65,25.00,34.51,59.51,67.17,83.07,36.80,50.55,73.36,43.26,28.36
P/OCF Ratio,15.25,21.09,26.71,28.97,44.20,63.63,29.43,30.20,40.62,30.93,21.99
PEG Ratio,1.43,2.07,5.96,2.72,2.16,3.53,2.25,1.46,1.59,1.50,1.84
EV/Sales Ratio,2.29,3.66,5.13,4.14,12.82,16.83,8.84,8.21,11.59,6.47,5.45
EV/EBITDA Ratio,11.25,17.86,24.77,19.82,46.70,86.55,35.83,30.96,42.96,25.30,22.28
EV/EBIT Ratio,14.31,21.69,30.14,23.63,51.90,107.46,41.34,34.59,48.29,28.06,24.41
EV/FCF Ratio,16.10,23.53,32.58,55.82,65.69,82.02,35.59,48.70,70.32,39.45,24.95
Debt / Equity Ratio,0.03,0.03,0.04,0.04,0.04,0.03,0.04,-,-,-,-
Debt / EBITDA Ratio,0.14,0.14,0.15,0.15,0.11,0.17,0.10,-,-,-,-
Debt / FCF Ratio,0.21,0.19,0.21,0.46,0.16,0.17,0.10,-,-,-,-
Asset Turnover,0.63,0.65,0.64,0.63,0.73,0.67,1.06,1.02,0.93,0.85,0.79
Inventory Turnover,5.08,4.34,3.63,3.87,5.51,5.64,7.91,11.88,12.12,11.36,11.61
Quick Ratio,1.09,1.02,0.98,1.04,1.12,1.22,1.50,1.76,2.09,2.51,2.53
Current Ratio,1.29,1.22,1.18,1.26,1.30,1.40,1.68,1.88,2.32,2.69,2.69
Return on Equity (ROE),9.58%,11.26%,12.31%,10.01%,22.52%,77.55%,34.07%,33.25%,21.53%,20.58%,18.00%
Return on Assets (ROA),6.32%,6.87%,6.83%,6.88%,11.33%,6.60%,14.12%,15.20%,13.90%,12.18%,10.98%
Return on Capital (ROIC),9.77%,10.93%,10.98%,10.94%,17.27%,10.24%,24.19%,24.23%,20.56%,16.88%,14.73%
Return on Capital Employed (ROCE),14.90%,16.20%,16.40%,16.30%,24.30%,11.00%,33.60%,34.30%,27.50%,23.90%,21.30%
Earnings Yield,3.78%,2.71%,2.12%,2.20%,1.49%,4.21%,2.01%,2.39%,1.30%,2.48%,2.75%
FCF Yield,5.66%,4.00%,2.90%,1.68%,1.49%,1.20%,2.72%,1.98%,1.36%,2.31%,3.53%
Buyback Yield / Dilution,2.66%,2.06%,2.36%,1.57%,-0.56%,1.09%,1.54%,0.58%,-0.43%,0.04%,0.93%
