Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 30, 2025","Mar '24Mar 31, 2024","Apr '23Apr 2, 2023","Apr '22Apr 3, 2022","Mar '21Mar 28, 2021","Mar '20Mar 29, 2020","Mar '19Mar 31, 2019","Apr '18Apr 1, 2018","Apr '17Apr 2, 2017","Apr '16Apr 3, 2016"
Market Capitalization,"2,652","2,221","1,609",922,965,710,354,393,374,521,393
Market Cap Growth,18.66%,38.09%,74.54%,-4.49%,35.86%,100.43%,-9.92%,5.27%,-28.27%,32.74%,-2.71%
Enterprise Value,"2,912","2,338","1,734","1,057","1,068",806,424,477,480,625,502
Last Close Price,126.55,105.72,76.01,42.86,44.12,31.86,15.56,16.84,15.81,21.50,16.00
PE Ratio,32.06,26.34,21.35,15.35,18.72,17.33,12.49,16.10,-,23.10,21.63
Forward PE,29.68,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92
PS Ratio,2.52,2.28,1.75,0.99,1.25,1.19,0.66,0.71,0.74,1.08,0.95
PB Ratio,5.18,4.83,3.96,2.63,3.19,2.68,1.52,1.81,1.85,2.39,1.95
P/TBV Ratio,60.10,12.71,8.65,4.62,6.66,6.01,3.10,4.20,5.15,12.01,19.32
P/FCF Ratio,33.38,31.73,13.48,31.70,67.37,30.88,10.32,11.12,48.88,22.42,32.31
P/OCF Ratio,21.39,20.00,10.09,11.91,22.53,16.22,6.02,8.20,13.67,11.62,10.80
EV/Sales Ratio,2.79,2.40,1.89,1.13,1.38,1.35,0.79,0.86,0.95,1.29,1.21
EV/EBITDA Ratio,17.60,14.69,12.76,9.14,11.21,10.27,6.71,8.14,9.65,10.49,10.04
EV/EBIT Ratio,24.44,19.61,16.67,11.99,15.01,14.43,10.18,12.95,17.55,16.16,14.55
EV/FCF Ratio,36.98,33.39,14.53,36.35,74.59,35.06,12.35,13.48,62.80,26.90,41.28
Debt / Equity Ratio,0.58,0.35,0.27,0.34,0.45,0.42,0.30,0.39,0.50,0.47,0.64
Debt / EBITDA Ratio,1.72,0.99,0.77,1.01,1.37,1.36,1.04,1.44,2.02,1.72,2.58
Debt / FCF Ratio,3.72,2.32,0.91,4.14,9.40,4.81,2.01,2.39,13.16,4.42,10.63
Asset Turnover,1.25,1.37,1.47,1.62,1.49,1.39,1.39,1.43,1.25,1.13,1.21
Inventory Turnover,9.22,9.47,8.88,8.38,7.91,8.00,7.65,7.66,7.52,7.79,7.88
Quick Ratio,1.44,1.31,1.18,1.51,1.25,1.33,1.15,1.33,1.18,1.18,1.43
Current Ratio,2.43,2.15,1.96,2.55,2.24,2.31,2.11,2.52,2.23,2.17,2.30
Return on Equity (ROE),17.49%,19.47%,19.94%,18.40%,18.15%,16.43%,12.57%,11.63%,-4.37%,10.77%,9.19%
Return on Assets (ROA),8.90%,10.43%,10.42%,9.52%,8.56%,8.10%,6.72%,5.93%,4.22%,5.66%,6.29%
Return on Capital (ROIC),10.98%,13.10%,13.21%,12.14%,10.95%,10.30%,8.61%,7.60%,5.49%,7.43%,8.22%
Return on Capital Employed (ROCE),13.50%,18.00%,18.80%,17.60%,15.30%,13.90%,12.70%,11.20%,8.30%,10.70%,9.20%
Earnings Yield,3.16%,3.80%,4.69%,6.51%,5.34%,5.77%,8.00%,6.21%,-2.46%,4.33%,4.62%
FCF Yield,3.00%,3.15%,7.42%,3.16%,1.48%,3.24%,9.69%,8.99%,2.05%,4.46%,3.09%
Dividend Yield,0.60%,0.66%,0.83%,1.33%,1.18%,1.48%,2.96%,2.02%,2.78%,1.95%,2.50%
Payout Ratio,18.65%,17.35%,17.57%,19.99%,21.45%,24.47%,34.63%,49.01%,-,38.50%,45.51%
Buyback Yield / Dilution,0.19%,0.37%,0.00%,0.57%,0.59%,0.23%,0.67%,-1.12%,-0.11%,-0.17%,0.52%
Total Shareholder Return,0.79%,1.03%,0.83%,1.90%,1.77%,1.71%,3.63%,0.90%,2.68%,1.78%,3.02%
