Period Ending,"Sep '25Sep 28, 2025","Mar '25Mar 30, 2025","Mar '24Mar 31, 2024","Apr '23Apr 2, 2023","Apr '22Apr 3, 2022","Mar '21Mar 28, 2021","Mar '20Mar 29, 2020","Mar '19Mar 31, 2019","Apr '18Apr 1, 2018","Apr '17Apr 2, 2017","Apr '16Apr 3, 2016"
Cash & Equivalents,10.42,5.1,7.15,7.57,3.5,3,4.28,9.2,4.99,6.86,20.01
Cash & Short-Term Investments,10.42,5.1,7.15,7.57,3.5,3,4.28,9.2,4.99,6.86,20.01
Cash Growth,38.39%,-28.66%,-5.46%,116.42%,16.61%,-29.90%,-53.51%,84.35%,-27.27%,-65.72%,-39.58%
Accounts Receivable,131.09,131.8,114.48,129.25,122.83,90.6,67.39,63.97,63.51,57.3,59.27
Other Receivables,-,2.86,-,-,-,-,-,0.53,2.64,1.27,6.06
Receivables,131.09,134.66,114.48,129.25,122.83,90.6,67.39,64.49,66.15,58.57,65.33
Inventory,92.91,83.51,74.6,88.78,94.99,63.86,54.44,60.48,59.74,51.25,47.72
Prepaid Expenses,5.15,7.42,6.6,6.45,6.43,4.64,4.03,5.24,4.11,4.24,4.22
Other Current Assets,-,-,-,-,-,0.9,0.9,-,-,-,-
Total Current Assets,239.56,230.69,202.83,232.04,227.74,163.01,131.03,139.41,134.98,120.92,137.29
"Property, Plant & Equipment",264.85,238.74,220.59,196,172.45,156.24,135.43,118.63,123.83,121.54,116.32
Long-Term Investments,1.63,2.37,4.27,4.03,1.77,-,-,0.44,0.82,0.5,-
Goodwill,222.15,135.41,103.4,77.4,77.4,70.72,58.44,58.44,58.44,97.56,97.72
Other Intangible Assets,241.08,150.12,116.63,73.06,80.19,76.37,60.65,65.73,71.18,76.88,82.93
Other Long-Term Assets,14.91,12.54,10.23,8,7.78,6.21,3.77,2.96,1.75,1.18,2.22
Total Assets,984.16,769.87,657.93,590.54,567.33,472.55,389.33,385.6,390.99,418.58,436.49
Accounts Payable,55.27,61.2,56.39,53.71,66.69,37.31,34.13,29.31,33.42,29.76,30.12
Accrued Expenses,22.43,27.36,27.23,17.28,19.03,18.05,13.54,12.48,8.4,9.98,8.79
Current Portion of Long-Term Debt,9.81,9.91,9.91,9.91,9.91,9.91,10.02,9.91,9.86,7.99,5.49
Current Portion of Leases,-,2.9,-,-,-,1.59,1.52,-,-,-,-
Current Income Taxes Payable,1.22,-,1.94,3.33,0.04,-,-,-,-,-,-
Other Current Liabilities,9.83,5.77,7.83,6.65,5.79,3.61,3.02,3.69,8.88,7.95,15.37
Total Current Liabilities,98.56,107.14,103.31,90.87,101.47,70.46,62.22,55.4,60.57,55.67,59.77
Long-Term Debt,268.33,138.91,88.82,101.73,115.64,88.85,49.75,74.66,90.76,94.63,123.62
Long-Term Leases,15.11,10.92,9.53,8.69,9.14,10.23,7.65,-,-,-,-
Pension & Post-Retirement Benefits,2.96,3.16,3.54,3.91,4.28,4.63,4.98,5.32,5.65,5.97,6.28
Long-Term Deferred Tax Liabilities,22.16,22.36,22.41,23.8,23.42,24.45,25.11,26.67,27.38,42.04,42.24
Other Long-Term Liabilities,70.08,27.1,24.31,11.52,10.78,8.69,6.14,5.7,4.39,2.45,3.61
Total Liabilities,477.2,309.58,251.91,240.52,264.73,207.3,155.84,167.74,188.74,200.76,235.52
Common Stock,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.53,0.53,0.53,0.53
Additional Paid-In Capital,27.26,24.09,38.15,44.44,46.72,51.14,50.41,52.61,53.88,51.1,48.19
Retained Earnings,478.31,434.26,364.55,302.42,254.38,213.9,182.95,164.41,147.24,165.9,152.27
Comprehensive Income & Other,1.19,1.73,3.12,2.94,1.29,-,-0.08,0.32,0.6,0.3,-0.01
Shareholders' Equity,506.97,460.29,406.03,350.02,302.6,265.25,233.48,217.86,202.25,217.83,200.98
Total Liabilities & Equity,984.16,769.87,657.93,590.54,567.33,472.55,389.33,385.6,390.99,418.58,436.49
Total Debt,293.25,162.64,108.26,120.33,134.7,110.57,68.94,84.57,100.63,102.62,129.11
Net Cash (Debt),-282.84,-157.54,-101.11,-112.77,-131.2,-107.57,-64.66,-75.37,-95.64,-95.75,-109.09
Net Cash Per Share,-13.53,-7.52,-4.81,-5.37,-6.21,-5.06,-3.03,-3.51,-4.51,-4.52,-5.16
Filing Date Shares Outstanding,20.89,20.8,20.91,21,21.08,21.29,21.19,21.25,21.37,21.24,21.11
Total Common Shares Outstanding,20.74,20.68,20.79,20.85,20.89,20.97,21.02,21.18,21.26,21.17,21.02
Working Capital,141,123.56,99.52,141.17,126.27,92.55,68.81,84.01,74.42,65.25,77.52
Book Value Per Share,24.44,22.25,19.53,16.79,14.49,12.65,11.11,10.28,9.51,10.29,9.56
Tangible Book Value,43.75,174.76,186,199.56,145.01,118.16,114.39,93.7,72.63,43.39,20.32
Tangible Book Value Per Share,2.11,8.45,8.95,9.57,6.94,5.63,5.44,4.42,3.42,2.05,0.97
Land,-,18.68,17.92,16.34,16.64,15.24,11.05,9.14,9.54,9.1,9.09
Buildings,-,163.91,147.7,134.9,118.37,120.41,108.18,96.39,96.11,89.84,84.39
Machinery,-,238.36,221.03,193.51,169.05,164.76,148,139.33,132.52,122.58,111.37
