Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,982","1,341","1,372","1,365","1,510","1,175","1,514","1,199","1,456","1,176",592
Market Cap Growth,43.71%,-2.25%,0.45%,-9.56%,28.49%,-22.38%,26.25%,-17.66%,23.82%,98.67%,4.69%
Last Close Price,22.50,22.54,22.82,21.72,22.98,17.59,21.42,18.50,21.99,22.07,14.33
PE Ratio,17.70,11.79,11.19,10.64,12.23,11.71,14.70,12.12,23.21,23.67,15.45
PS Ratio,2.93,2.96,3.12,3.06,3.61,3.24,3.85,3.67,5.15,5.24,3.38
PB Ratio,0.82,0.97,1.08,1.19,1.15,0.93,1.24,1.21,1.56,1.98,1.59
P/FCF Ratio,12.60,7.80,8.37,8.49,9.62,7.39,20.16,6.28,6.11,-,10.31
P/OCF Ratio,11.50,7.52,7.91,8.24,9.32,7.20,17.14,5.92,5.75,-,9.62
Debt / Equity Ratio,0.20,0.38,0.45,0.86,0.50,0.41,0.40,0.41,0.80,0.70,0.83
Debt / FCF Ratio,3.16,3.07,3.53,6.16,4.21,3.30,6.56,2.14,3.16,-,5.37
Return on Equity (ROE),5.33%,8.56%,10.14%,10.41%,9.54%,8.06%,9.29%,10.25%,8.20%,10.27%,9.67%
Return on Assets (ROA),0.68%,0.93%,1.00%,1.02%,1.05%,0.99%,1.18%,1.27%,0.94%,1.05%,1.02%
Earnings Yield,4.90%,8.48%,8.94%,9.40%,8.18%,8.54%,6.80%,8.25%,4.31%,4.23%,6.59%
FCF Yield,7.94%,12.82%,11.95%,11.78%,10.40%,13.53%,4.96%,15.92%,16.37%,-2.54%,9.70%
Dividend Yield,4.46%,4.26%,4.21%,4.24%,4.00%,5.00%,3.92%,4.32%,3.27%,3.08%,4.33%
Payout Ratio,78.94%,47.65%,43.30%,39.64%,41.12%,47.85%,43.88%,39.43%,48.95%,45.78%,47.73%
Buyback Yield / Dilution,-35.09%,-2.29%,-0.21%,-0.23%,-2.16%,0.55%,-12.02%,-14.12%,-21.78%,-21.68%,-0.02%
Total Shareholder Return,-30.64%,1.97%,4.00%,4.01%,1.85%,5.56%,-8.10%,-9.79%,-18.51%,-18.60%,4.31%
