Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,385.47,697.66,719.58,227.16,836.1,688.54,529.29,239.97,353.27,144.21,304.68
Investment Securities,850.07,778.71,"1,010","1,248","1,401",516.93,592.96,420.11,521.92,501.9,576.12
Trading Asset Securities,33.93,30.37,29.99,42.61,20.31,33.92,13.4,2.06,0.94,6.4,0
Mortgage-Backed Securities,"2,188","2,006","2,087","2,270","2,684","1,787","1,061",892.4,799.69,305.74,308.55
Total Investments,"3,072","2,815","3,127","3,560","4,105","2,338","1,668","1,315","1,323",814.03,884.67
Gross Loans,"13,598","7,697","7,651","7,726","7,189","6,814","6,687","5,568","5,520","3,879","2,628"
Allowance for Loan Losses,-174.18,-83.4,-91.74,-91.61,-87.89,-101.05,-53.75,-50.65,-53.58,-47.8,-47.49
Net Loans,"13,424","7,614","7,559","7,634","7,101","6,713","6,634","5,518","5,466","3,831","2,580"
"Property, Plant & Equipment",219.96,129.43,133.62,139.35,146.68,142.91,160.76,117.67,116.91,77.86,63.09
Goodwill,383.32,333.7,317.87,317.87,317.87,311.54,311.54,267.69,269.35,102.81,25.51
Other Intangible Assets,101.88,32.28,35.99,46.42,58.05,51.99,61.59,32.87,38.73,18.46,7.43
Loans Held for Sale,8.94,3.66,2.38,1.25,23.88,42.81,68.7,25.9,94.85,256.32,9.35
Accrued Interest Receivable,-,45.14,45.29,43.37,31.06,-,-,-,-,-,-
Restricted Cash,-,-,-,-,-,-,-,-,-,22.5,14.6
Long-Term Deferred Tax Assets,-,95.46,104.01,122.83,21.62,3.57,-,-,17.3,20.22,21.64
Other Real Estate Owned & Foreclosed,10.21,0.06,0.13,0.85,4.42,4.57,3.06,0.38,1.28,2.52,0.78
Other Long-Term Assets,582.38,280.57,238.19,243.27,213.58,247.22,259.69,185.53,180.49,135.13,86.97
Total Assets,"18,189","12,047","12,283","12,337","12,860","10,544","9,696","7,702","7,861","5,425","3,999"
Interest Bearing Deposits,"11,515","6,402","6,384","6,261","6,644","5,557","5,216","4,111","3,950","2,889","2,279"
Institutional Deposits,-,860.19,"1,072",416.45,454.65,568.74,854.13,673.7,578.9,350.7,128.1
Non-Interest Bearing Deposits,"3,555","2,720","2,835","3,394","3,670","2,552","1,833","1,465","1,597","1,134",881.69
Total Deposits,"15,070","9,982","10,291","10,071","10,769","8,678","7,902","6,249","6,126","4,374","3,289"
Short-Term Borrowings,193.07,213.71,241.53,641.32,297.32,218.72,228.88,188.44,526.98,267.26,172.97
Current Portion of Long-Term Debt,-,-,12,12,12,-,-,-,-,-,-
Current Portion of Leases,1.74,2.08,-,-,-,-,-,-,-,-,-
Long-Term Debt,110.27,227.72,240.88,252.04,264.72,222.04,146.92,98.69,104.12,-,-
