Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"13,124","7,868","7,355","8,608","9,968","16,259","5,811","2,162","1,873","1,811",924.5
Cash & Short-Term Investments,"13,124","7,868","7,355","8,608","9,968","16,259","5,811","2,162","1,873","1,811",924.5
Cash Growth,32.46%,6.97%,-14.56%,-13.64%,-38.69%,179.81%,168.82%,15.38%,3.43%,95.93%,52.37%
Accounts Receivable,"2,940","3,022","2,493","2,406","1,733","1,480",879.96,536.84,364.65,198.85,111.01
Other Receivables,245.93,240.51,214.39,164.74,229.09,155.62,129.99,163.48,112.07,72.96,59.68
Receivables,"3,186","3,262","2,707","2,571","1,962","1,636","1,010",700.32,476.72,271.81,170.69
Prepaid Expenses,571.7,-,-,186.81,202.74,163.99,80.91,64.84,50.37,50.36,51.4
Restricted Cash,-,67.42,39.37,158.08,"2,014",86.83,34.3,0.09,10.84,27.67,6.43
Other Current Assets,"1,057",415.53,882.03,427.3,316.94,172.58,148.6,110.53,42.65,49.15,28.5
Total Current Assets,"17,938","11,613","10,984","11,951","14,464","18,319","7,085","3,037","2,454","2,210","1,187"
"Property, Plant & Equipment","44,510","45,398","45,409","52,551","44,654","32,656","19,981","13,995","8,166","4,323","2,513"
Long-Term Investments,"7,992","7,545",7.3,-,-,-,-,1.26,-,-,-
Goodwill,-,"5,886","5,886","7,077","7,077","2,596","1,906","1,752","1,571","1,341","1,295"
Other Intangible Assets,"5,657",502.89,710.68,"1,071","1,918","1,464","1,142","1,239",374.71,119.36,74.34
Long-Term Accounts Receivable,-,-,-,-,-,-,1.08,4.27,-,-,-
Long-Term Deferred Tax Assets,-,381.27,289.85,229,186.5,146.09,72.93,36.97,14.31,12.63,2.36
Long-Term Deferred Charges,-,-,-,47.4,80.74,-,-,-,-,-,-
Other Long-Term Assets,"3,102","2,323","11,160","1,889","3,254","2,078","1,305",818.97,565.17,197.59,57.52
Total Assets,"79,199","73,649","74,447","74,814","71,632","57,259","31,493","20,885","13,145","8,204","5,128"
Accounts Payable,"2,691",-,-,-,-,"3,657","1,676","1,508","1,110",513.54,215.66
Accrued Expenses,"1,481",855.23,870.53,844.41,695.18,219.39,267.16,225.39,122.39,166.79,112.03
Short-Term Debt,"3,820","1,799",422.41,"1,652","4,640","1,231",431.4,684.79,462.95,239.78,397.94
Current Portion of Long-Term Debt,-,"2,544","2,160","4,056","1,308",922.63,740.88,598.53,327.54,388.7,95.22
Current Portion of Leases,787.87,753.5,680.66,629.6,844.88,340.67,277.61,166.9,97.94,88.59,48.75
Current Income Taxes Payable,-,118.61,166.92,202.59,139.67,102.68,93.31,43.9,20.12,15.27,8.96
Current Unearned Revenue,-,90.98,119.89,156.13,90.99,96.67,96.32,77.88,55.61,40.66,46.51
Other Current Liabilities,202.92,"2,918","3,885","3,063","5,747","1,074",416.87,202.47,226.11,25.9,-
Total Current Liabilities,"8,983","9,078","8,305","10,603","13,465","7,644","4,000","3,508","2,423","1,479",925.05
Long-Term Debt,"34,666","30,483","31,523","27,813","20,180","12,495","10,089","7,208","3,460","2,550","1,607"
Long-Term Leases,"8,527","8,881","9,238","10,534","10,817","9,641","5,461","4,134","2,303","1,023",424.94
Long-Term Unearned Revenue,-,165.08,146.18,60.44,67.15,21.07,21.93,9.77,16.79,14.05,16.27
Long-Term Deferred Tax Liabilities,-,"1,241","1,282","1,410",734.28,462.01,252.67,171.88,124.28,53.28,37.69
