Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"10,934","10,322","9,782","9,268","7,819","5,739","4,122","2,792","1,616","1,056",703.64
Revenue Growth (YoY),10.29%,5.52%,5.55%,18.54%,36.24%,39.21%,47.65%,72.76%,53.05%,50.07%,50.24%
Cost of Revenue,"8,464","8,099","7,831","7,317","6,039","4,189","3,080","2,170","1,208",790.29,515
Gross Profit,"2,469","2,223","1,951","1,951","1,779","1,550","1,043",622.44,408.47,265.67,188.64
"Selling, General & Admin","1,071","1,034","1,107","1,194","1,171",837.46,541.32,440.17,318.98,298.95,186.3
Research & Development,32.17,36.32,38.16,31.91,39.34,40.05,21.63,13.92,7.26,9.1,3.55
Operating Expenses,"1,107","1,075","1,149","1,226","1,210",877.51,562.95,454.09,326.24,308.05,189.86
Operating Income,"1,363","1,148",802.22,725.99,569.52,672.94,479.78,168.36,82.23,-42.37,-1.22
Interest Expense,"-1,858","-1,925","-1,937","-1,878","-1,655","-1,317",-968.69,-656.19,-412,-265.23,-126.9
Interest & Investment Income,89.78,89.78,94.01,42.23,50.45,29.01,53.02,19.21,5.6,2.07,1.36
Earnings From Equity Investments,-54.02,-0.35,0.11,-9.93,-0.97,-3.38,-1.21,-,-,-,-
Currency Exchange Gain (Loss),11.1,18.94,-1.57,-11.1,-7.64,-21.04,-6,20.31,-12.3,18.31,11.11
Other Non Operating Income (Expenses),58.2,53.6,113.59,110.4,87.62,35.38,16.68,8.65,3.5,2.5,5.09
EBT Excluding Unusual Items,-390.75,-614.86,-928.18,"-1,021",-955.76,-603.59,-426.43,-439.66,-332.98,-284.73,-110.57
Asset Writedown,-,-,"-3,013",-12.76,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,205,7.01,55.15,-,-,-,-,-
Pretax Income,666.29,-614.86,"-3,942",-828.32,-948.75,-548.44,-426.43,-439.66,-332.98,-284.73,-110.57
Income Tax Expense,298.36,156.05,-15.58,276.24,242.46,120.78,15.65,-9.39,-6.08,-8.32,-11.98
Earnings From Continuing Operations,367.94,-770.91,"-3,926","-1,105","-1,191",-669.21,-442.08,-430.27,-326.9,-276.41,-98.58
Earnings From Discontinued Operations,"4,334","4,203",-359.01,-161.57,-,-,-,-,-,-,-
Net Income to Company,"4,702","3,432","-4,285","-1,266","-1,191",-669.21,-442.08,-430.27,-326.9,-276.41,-98.58
Minority Interest in Earnings,-14.11,-6.21,-5.03,-192.56,-73.65,-15.82,-,-,-,-,-
Net Income,"4,688","3,425","-4,290","-1,459","-1,265",-685.03,-442.08,-430.27,-326.9,-276.41,-98.58
Preferred Dividends & Other Adjustments,76.67,76.53,53.63,51.21,49.07,52.71,58.1,-,-,126.99,118.05
Net Income to Common,"4,611","3,349","-4,344","-1,510","-1,314",-737.74,-500.19,-430.27,-326.9,-403.4,-216.64
Shares Outstanding (Basic),186,184,184,183,182,157,138,124,98,37,27
Shares Outstanding (Diluted),197,184,184,183,182,157,138,124,98,37,27
Shares Change (YoY),7.04%,0.47%,0.26%,0.79%,15.90%,13.66%,11.38%,26.22%,162.31%,37.21%,34.50%
EPS (Basic),24.82,18.16,-23.67,-8.25,-7.23,-4.71,-3.63,-3.48,-3.33,-10.79,-7.95
EPS (Diluted),24.82,18.16,-23.67,-8.25,-7.23,-4.71,-3.63,-3.48,-3.33,-10.79,-7.95
Free Cash Flow,-516.71,"-1,316","-1,361","-5,344","-8,679","-7,897","-4,628","-4,400","-1,928","-1,117",-813.28
Free Cash Flow Per Share,-2.63,-7.14,-7.41,-29.19,-47.79,-50.40,-33.57,-35.55,-19.66,-29.87,-29.85
Gross Margin,22.59%,21.53%,19.95%,21.06%,22.76%,27.02%,25.29%,22.29%,25.27%,25.16%,26.81%
Operating Margin,12.46%,11.12%,8.20%,7.83%,7.28%,11.73%,11.64%,6.03%,5.09%,-4.01%,-0.17%
Profit Margin,42.17%,32.44%,-44.40%,-16.29%,-16.80%,-12.86%,-12.13%,-15.41%,-20.23%,-38.20%,-30.79%
Free Cash Flow Margin,-4.73%,-12.75%,-13.91%,-57.66%,-111.00%,-137.60%,-112.27%,-157.59%,-119.29%,-105.76%,-115.58%
EBITDA,"4,745","4,391","4,171","3,846","3,161","2,285","1,595",903.78,459.81,184.37,143.57
EBITDA Margin,43.40%,42.54%,42.63%,41.50%,40.44%,39.81%,38.70%,32.37%,28.45%,17.46%,20.40%
D&A For EBITDA,"3,383","3,243","3,368","3,120","2,592","1,612","1,116",735.43,377.58,226.74,144.79
EBIT,"1,363","1,148",802.22,725.99,569.52,672.94,479.78,168.36,82.23,-42.37,-1.22
EBIT Margin,12.46%,11.12%,8.20%,7.83%,7.28%,11.73%,11.64%,6.03%,5.09%,-4.01%,-0.17%
Advertising Expenses,-,-,-,-,15.04,14.78,7.45,6.33,10.19,8.94,4.13
