Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,943","4,619","1,738","3,929","8,814","17,501","7,532","2,892","2,651",809,-
Market Cap Growth,42.68%,165.78%,-55.77%,-55.42%,-49.64%,132.35%,160.49%,9.08%,227.67%,-,-
Enterprise Value,"10,784","11,397","7,428","8,945","12,362","20,246","9,053","4,175","3,368","1,659",-
Last Close Price,29.66,23.76,9.12,20.62,47.16,93.64,51.58,23.09,22.53,8.60,-
PE Ratio,142.44,10.07,-,-,-,-,-,-,-,-,-
PS Ratio,3.61,3.27,1.26,2.92,7.16,19.91,12.72,7.12,10.67,5.32,-
PB Ratio,1.63,1.42,0.61,1.12,2.16,4.28,4.62,3.60,3.85,1.88,-
P/TBV Ratio,2.27,2.10,1.00,1.82,3.62,5.31,7.24,7.86,6.82,3.68,-
P/OCF Ratio,13.24,17.39,5.97,9.65,46.61,356.07,178.73,-,-,-,-
EV/Sales Ratio,7.07,8.06,5.38,6.66,10.04,23.03,15.29,10.28,13.56,10.91,-
EV/EBITDA Ratio,16.28,18.95,12.63,16.04,24.84,57.85,39.51,31.77,47.65,62.47,-
EV/EBIT Ratio,56.70,72.47,65.66,84.98,137.89,196.42,131.39,170.56,266.47,-,-
Debt / Equity Ratio,1.87,1.88,2.19,1.85,1.46,0.92,1.50,2.32,1.49,1.44,1.25
Debt / EBITDA Ratio,9.11,9.09,9.40,10.28,10.60,9.67,9.84,14.15,14.47,23.27,17.93
Asset Turnover,0.14,0.14,0.13,0.13,0.12,0.13,0.16,0.16,0.15,0.16,0.16
Quick Ratio,1.82,1.23,1.21,1.05,0.89,2.34,1.71,0.82,0.97,1.41,1.18
Current Ratio,2.00,1.28,1.32,1.13,1.07,2.40,1.77,0.87,1.01,1.49,1.28
Return on Equity (ROE),1.52%,-3.52%,-17.72%,-4.41%,-4.53%,-3.52%,-5.24%,-8.61%,-8.76%,-10.97%,-4.69%
Return on Assets (ROA),1.07%,0.97%,0.67%,0.62%,0.55%,0.95%,1.15%,0.62%,0.48%,-0.40%,-0.02%
Return on Capital (ROIC),1.16%,1.08%,0.75%,0.69%,0.62%,1.06%,1.29%,0.71%,0.56%,-0.45%,-0.02%
Return on Capital Employed (ROCE),1.90%,1.80%,1.20%,1.10%,1.00%,1.40%,1.70%,1.00%,0.80%,-,-
Earnings Yield,10.83%,10.16%,-34.81%,-5.38%,-2.26%,-0.60%,-0.84%,-2.16%,-1.90%,-4.92%,-
FCF Yield,-1.22%,-3.90%,-11.04%,-19.72%,-15.50%,-6.91%,-8.82%,-22.12%,-11.18%,-19.88%,-
Payout Ratio,-,1.58%,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,-7.04%,-0.47%,-0.26%,-0.79%,-15.90%,-13.66%,-11.38%,-26.22%,-162.31%,-37.21%,-34.50%
