Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,907","2,176","1,862","2,188","2,212","2,014","2,571","2,003","1,790","1,889","1,156"
Market Cap Growth,54.84%,16.84%,-14.87%,-1.12%,9.86%,-21.66%,28.34%,11.91%,-5.23%,63.36%,13.45%
Last Close Price,29.82,31.42,28.88,32.41,29.50,24.32,29.11,27.33,29.50,30.43,20.61
PE Ratio,14.87,15.39,12.51,12.02,9.53,16.87,16.18,14.00,18.95,21.80,14.32
PS Ratio,3.11,3.71,3.19,3.69,3.38,4.03,5.09,4.56,4.85,5.79,3.81
PB Ratio,0.76,0.78,0.74,0.90,0.82,0.73,0.99,1.01,1.28,1.41,1.03
P/FCF Ratio,11.89,10.84,12.69,11.15,6.75,38.69,26.75,10.70,13.16,15.61,14.67
P/OCF Ratio,11.09,10.31,11.00,10.72,6.58,33.79,26.75,10.44,12.60,15.35,13.08
Debt / Equity Ratio,0.44,0.58,0.74,0.52,0.20,0.40,0.76,0.78,0.94,1.00,1.10
Debt / FCF Ratio,7.40,8.02,12.83,6.37,1.64,21.05,20.57,8.23,9.59,11.05,15.62
Return on Equity (ROE),5.25%,5.69%,6.41%,7.51%,8.89%,4.56%,6.95%,8.48%,6.91%,7.03%,8.46%
Return on Assets (ROA),0.79%,0.83%,0.92%,1.14%,1.45%,0.76%,1.13%,1.29%,0.96%,0.95%,1.09%
Earnings Yield,5.88%,6.96%,8.54%,8.78%,10.95%,6.06%,6.18%,7.14%,5.28%,4.59%,6.99%
FCF Yield,8.41%,9.22%,7.88%,8.97%,14.82%,2.58%,3.74%,9.35%,7.60%,6.41%,6.82%
Dividend Yield,4.87%,4.61%,4.88%,4.23%,4.47%,5.26%,4.26%,4.25%,3.52%,3.16%,4.46%
Payout Ratio,72.43%,64.38%,58.11%,47.60%,39.88%,72.02%,41.90%,37.44%,47.48%,43.64%,40.87%
Buyback Yield / Dilution,-38.04%,-5.43%,1.31%,8.31%,2.44%,-19.74%,-14.67%,-11.23%,-9.84%,-6.87%,-28.00%
Total Shareholder Return,-33.18%,-0.81%,6.19%,12.53%,6.91%,-14.48%,-10.41%,-6.98%,-6.31%,-3.72%,-23.54%
