Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,008",568.14,595.38,408.41,"1,251",905.45,234.8,169.19,117.57,126.17,81.69
Investment Securities,"1,857","1,595","1,504","1,585","1,358","1,085","1,161","1,287","1,086","1,078","1,032"
Trading Asset Securities,66.32,72.46,72.27,75.89,24.88,47.12,14.63,4.78,7.4,12.75,1.89
Mortgage-Backed Securities,"2,672","1,858","1,937","2,242","2,711","1,674","2,129","1,879","1,220","1,250","1,392"
Total Investments,"4,596","3,526","3,513","3,902","4,094","2,806","3,305","3,171","2,313","2,341","2,426"
Gross Loans,"19,249","12,667","11,652","10,721","9,759","10,829","10,320","7,706","6,363","6,274","5,082"
Allowance for Loan Losses,-217.67,-138.77,-130.68,-117.79,-121.62,-185.83,-52.43,-48.95,-45.28,-43.67,-41.71
Other Adjustments to Gross Loans,-317,-10.5,-13.5,-18,-25.9,-39.4,-51.9,-49.3,-21.9,-24.1,-15.7
Net Loans,"18,714","12,518","11,508","10,585","9,612","10,603","10,216","7,607","6,296","6,206","5,024"
"Property, Plant & Equipment",267.52,219.08,233.57,220.89,229.02,249.42,261.01,166.93,130.72,133.3,112.2
Goodwill,"1,578","1,097","1,097","1,097","1,097","1,097","1,069",861.88,573.95,573.8,480.55
Other Intangible Assets,157.89,27.26,35.51,44.59,54.87,66.33,80.43,56.97,15.32,19.38,10.34
Loans Held for Sale,125.97,18.7,16.35,8.25,25.28,168.38,43.01,8.99,20.32,17.32,7.9
Accrued Interest Receivable,108.87,78.32,77.44,68.52,60.84,66.79,43.65,38.85,29.73,28.3,25.76
Restricted Cash,-,-,-,-,-,-,-,-,-,2,5
Other Current Assets,-,-,-,-,-,-,-,-,-,-,6.45
Other Real Estate Owned & Foreclosed,1,0.85,1.5,1.49,-,0.55,4.18,7.27,5.3,8.35,5.83
Other Long-Term Assets,898.32,583.52,572.93,559.4,487.08,428.14,396.87,319.85,268,288.71,238.76
Total Assets,"27,518","18,684","17,712","16,932","16,927","16,426","15,720","12,459","9,816","9,791","8,470"
Interest Bearing Deposits,"15,157","8,291","7,949","8,057","8,309","7,515","6,668","5,706","4,615","4,570","3,975"
Institutional Deposits,841.3,"2,000","1,257",373.5,666.2,843.2,"1,158",684.61,581.6,681.5,780.1
Non-Interest Bearing Deposits,"5,286","3,843","3,963","4,700","4,591","4,071","3,178","2,441","1,847","1,790","1,311"
Total Deposits,"21,284","14,134","13,169","13,131","13,566","12,429","11,004","8,832","7,044","7,041","6,066"
Short-Term Borrowings,180.86,264.32,179.18,209.8,168.3,293.03,298.57,295.84,192.17,204.7,83.35
Current Portion of Long-Term Debt,-,900,-,-,-,-,-,-,-,-,-
Current Portion of Leases,-,10.63,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,25.47,14.23,11.12,4.59,1.9,4.31,8.08,4.63,3.18,2.2,1.72
Long-Term Debt,358.37,21.39,279.08,281.4,132.86,192.29,199.87,189.84,25.73,26,-
"Federal Home Loan Bank Debt, Long-Term","1,275",100,"1,350",705,183.92,549,"1,416","1,054",948.2,968.95,"1,042"
Long-Term Leases,-,55.37,75.3,52.8,52.3,61.2,62.1,-,-,-,-
Trust Preferred Securities,-,257.92,-,-,-,-,-,-,138.6,137.6,106.2
Other Long-Term Liabilities,277.55,136.45,115.93,120.56,128.81,139.66,137.96,103.69,69.39,69.14,48.86
Total Liabilities,"23,402","15,894","15,179","14,505","14,234","13,669","13,126","10,480","8,421","8,449","7,348"
"Preferred Stock, Non-Redeemable",368.87,144.48,144.48,144.48,144.48,144.48,-,-,-,-,-
Total Preferred Equity,368.87,144.48,144.48,144.48,144.48,144.48,-,-,-,-,-
Common Stock,200.09,156.99,141.83,141.83,141.83,141.83,141.83,113.76,91.76,91.52,80.3
Additional Paid-In Capital,"2,488","1,810","1,636","1,636","1,636","1,635","1,637","1,167",684.73,680.51,516.29
Retained Earnings,"1,211","1,192","1,143","1,078",977.77,831.69,824.69,737.58,651.36,597.07,549.92
Treasury Stock,-,-292.24,-303,-308.96,-199.76,-25.95,-9.46,-0.27,-,-,-2.64
Comprehensive Income & Other,-150.82,-220.71,-228.71,-264.24,-6.8,29.87,-0.1,-38.94,-32.52,-27.69,-21.75
Total Common Equity,"3,748","2,646","2,389","2,282","2,549","2,612","2,594","1,979","1,395","1,341","1,122"
Shareholders' Equity,"4,117","2,790","2,533","2,427","2,693","2,757","2,594","1,979","1,395","1,341","1,122"
Total Liabilities & Equity,"27,518","18,684","17,712","16,932","16,927","16,426","15,720","12,459","9,816","9,791","8,470"
Total Debt,"1,814","1,610","1,884","1,249",537.38,"1,096","1,976","1,540","1,305","1,337","1,231"
Net Cash (Debt),-739.67,-969.03,"-1,216",-764.7,738.85,-142.96,"-1,727","-1,366","-1,180","-1,198","-1,148"
Net Cash Per Share,-8.81,-15.47,-20.46,-12.70,11.25,-2.12,-30.72,-27.86,-26.77,-29.86,-30.57
Filing Date Shares Outstanding,96.05,66.94,59.38,59.2,61.31,67.26,67.54,54.6,44.05,43.95,38.34
Total Common Shares Outstanding,96.04,66.92,59.38,59.2,62.31,67.25,67.82,54.6,44.04,43.93,38.46
Book Value Per Share,39.02,39.54,40.23,38.55,40.91,38.84,38.24,36.24,31.68,30.53,29.18
Tangible Book Value,"2,012","1,522","1,256","1,141","1,397","1,449","1,445","1,060",806.06,748.22,631.24
Tangible Book Value Per Share,20.94,22.74,21.16,19.27,22.42,21.55,21.30,19.41,18.30,17.03,16.41
