Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,987.25,709.8,596.85,422.4,415.97,465.68,393.17,331.96,272.01,226.99,203.99
Interest Income on Investments,158.84,115.84,114.66,91.26,69,75.6,91.09,83,60.42,59.1,57.72
Total Interest Income,"1,146",825.64,711.52,513.66,484.97,541.28,484.25,414.96,332.42,286.1,261.71
Interest Paid on Deposits,345.74,264.9,151.82,23.95,14.13,27.05,43.46,31.84,20.08,15.79,15.53
Interest Paid on Borrowings,81.84,82.53,78.36,15.4,12.91,34.75,40.89,35.89,22.05,16.98,9.2
Total Interest Expense,427.58,347.43,230.18,39.34,27.03,61.8,84.35,67.72,42.13,32.77,24.73
Net Interest Income,718.51,478.21,481.34,474.31,457.93,479.48,399.9,347.24,290.3,253.33,236.99
Net Interest Income Growth (YoY),53.05%,-0.65%,1.48%,3.58%,-4.49%,19.90%,15.17%,19.61%,14.59%,6.90%,22.65%
Trust Income,43.28,36.62,35.05,34.62,35.99,26.34,26.58,24.62,22.74,21.63,21.9
Mortgage Banking Activities,6.63,4.27,2.65,5.13,19.53,22.74,8.22,5.84,5.05,2.53,2.07
Gain (Loss) on Sale of Investments,2.36,1.41,0.9,-1.78,1.11,4.27,4.32,-0.9,0.57,2.36,0.95
Other Non-Interest Income,68.63,55.57,54.21,52.66,48.92,52.8,49.89,46.52,39.29,35.86,32.45
Total Non-Interest Income,159.87,127.98,120.45,117.39,132.79,128.19,116.72,100.28,88.84,81.5,74.47
Non-Interest Income Growth (YoY),31.40%,6.26%,2.60%,-11.59%,3.59%,9.83%,16.39%,12.87%,9.01%,9.45%,8.70%
Revenues Before Loan Losses,878.38,606.19,601.79,591.7,590.72,607.67,516.62,447.51,379.14,334.83,311.45
Provision for Loan Losses,74.04,19.21,17.73,-1.66,-64.27,107.74,11.2,7.76,9.99,8.48,8.35
Revenue,804.35,586.99,584.05,593.37,654.99,499.92,505.42,439.75,369.15,326.35,303.1
Revenue Growth (YoY),41.87%,0.50%,-1.57%,-9.41%,31.02%,-1.09%,14.93%,19.13%,13.11%,7.67%,18.71%
Salaries and Employee Benefits,263.58,210.56,210.84,193,183.18,183.99,161.9,136.88,121.19,107.43,100.04
Occupancy Expenses,25.72,20.16,20.74,21.51,21.64,21.78,17.11,14.67,12.9,14.66,13.64
Federal Deposit Insurance,19.13,14.22,12.25,7.9,4.15,7.73,1.96,3.24,3.5,3.99,4.11
Amortization of Goodwill & Intangibles,23.89,8.25,9.09,10.28,11.46,13.41,10.34,6.98,4.94,3.6,3.14
"Selling, General & Administrative",85.04,69.17,65.44,58.24,55.94,47.46,41.86,34.88,32.05,24.73,23.04
Other Non-Interest Expense,87.36,73.12,67.81,64.32,70.06,70.75,62.66,50.72,45.33,41,38.89
Total Non-Interest Expense,504.7,395.47,386.17,355.24,346.43,345.12,295.81,247.36,219.92,195.42,182.84
EBT Excluding Unusual Items,299.65,191.51,197.88,238.12,308.57,154.8,209.61,192.38,149.23,130.93,120.26
Pretax Income,226.56,185.11,194.05,236.4,301.85,145.08,193.21,174.52,148.29,117.67,109.18
Income Tax Expense,44.93,33.6,35.02,44.29,59.59,23.04,34.34,31.41,53.81,31.04,28.42
Net Income,181.62,151.51,159.03,192.11,242.26,122.04,158.87,143.11,94.48,86.64,80.76
Preferred Dividends & Other Adjustments,10.13,10.13,10.13,10.13,10.13,2.64,-,-,-,-,-
Net Income to Common,171.5,141.39,148.91,181.99,232.14,119.4,158.87,143.11,94.48,86.64,80.76
Net Income Growth,32.72%,-4.73%,-17.22%,-20.70%,98.50%,-23.18%,11.01%,51.47%,9.06%,7.27%,15.42%
Basic Shares Outstanding,84,63,59,60,66,67,56,49,44,40,37
Diluted Shares Outstanding,84,63,59,60,66,67,56,49,44,40,38
Shares Change (YoY),38.04%,5.43%,-1.31%,-8.31%,-2.44%,19.74%,14.67%,11.23%,9.84%,6.87%,28.00%
EPS (Basic),2.04,2.26,2.51,3.03,3.54,1.78,2.83,2.93,2.15,2.16,2.15
EPS (Diluted),2.04,2.26,2.51,3.02,3.53,1.77,2.83,2.92,2.14,2.16,2.15
EPS Growth,-2.12%,-10.00%,-16.89%,-14.45%,99.44%,-37.46%,-3.08%,36.45%,-0.93%,0.46%,-10.04%
Dividend Per Share,1.480,1.450,1.410,1.370,1.320,1.280,1.240,1.160,1.040,0.960,0.920
Dividend Growth,2.78%,2.84%,2.92%,3.79%,3.13%,3.23%,6.90%,11.54%,8.33%,4.35%,4.54%
Effective Tax Rate,19.83%,18.15%,18.05%,18.73%,19.74%,15.88%,17.77%,18.00%,36.29%,26.38%,26.03%
