Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,943","2,515","2,787","2,973","4,654","3,218","3,651","4,453","3,853","2,166","2,901"
Market Cap Growth,5.56%,-9.78%,-6.24%,-36.12%,44.63%,-11.87%,-18.02%,15.58%,77.92%,-25.36%,77.21%
Enterprise Value,"2,777","2,848","3,174","3,319","4,760","3,696","3,973","4,531","3,914","2,250","2,704"
Last Close Price,53.64,46.31,51.74,55.54,87.43,66.21,75.43,91.47,79.92,44.97,59.37
PE Ratio,-,39.77,158.85,-,-,-,-,-,-,-,-
Forward PE,13.68,13.28,17.44,22.58,37.01,33.47,23.04,24.52,22.84,13.44,24.15
PS Ratio,2.17,2.01,2.42,2.91,4.50,3.44,3.37,4.02,3.81,2.24,5.33
PB Ratio,2.53,1.91,2.18,2.46,3.59,2.90,2.64,2.96,2.12,1.27,1.60
P/TBV Ratio,22.30,7.55,11.94,42.30,-,-,-,-,7.77,3.78,7.13
P/FCF Ratio,15.34,18.50,69.80,68.49,60.38,-,-,53.46,65.97,41.82,-
P/OCF Ratio,11.72,13.74,37.21,42.51,45.38,-,-,36.96,42.18,24.02,-
PEG Ratio,-,-,-,-,-,3.56,2.27,1.25,1.65,0.79,1.25
EV/Sales Ratio,2.06,2.27,2.75,3.25,4.60,3.96,3.67,4.09,3.87,2.33,4.96
EV/EBITDA Ratio,10.90,13.71,27.23,25.70,47.63,582.05,33.34,27.50,19.64,12.01,24.25
EV/EBIT Ratio,13.23,17.22,47.84,40.70,97.36,-,81.94,47.77,30.32,19.33,33.47
EV/FCF Ratio,14.51,20.95,79.49,76.47,61.77,-,-,54.39,67.01,43.44,-
Debt / Equity Ratio,0.42,0.51,0.50,0.48,0.22,0.64,0.29,0.11,0.08,0.07,0.10
Debt / EBITDA Ratio,1.81,3.07,4.99,4.13,2.38,32.21,2.93,1.03,0.74,0.67,1.59
Debt / FCF Ratio,2.54,4.98,16.04,13.37,3.72,-,-,2.03,2.53,2.42,-
Asset Turnover,0.53,0.51,0.49,0.46,0.45,0.39,0.44,0.44,0.42,0.39,-
Inventory Turnover,2.52,2.58,2.73,2.68,2.98,2.43,2.27,2.44,2.60,2.20,-
Quick Ratio,1.04,1.59,1.44,1.34,0.56,1.42,0.62,0.61,0.93,0.74,1.09
Current Ratio,1.33,2.88,2.95,2.98,0.97,2.29,1.07,1.07,2.14,2.32,1.88
Return on Equity (ROE),-17.63%,4.87%,1.41%,-6.89%,-11.30%,-27.86%,-10.94%,-10.75%,3.09%,0.11%,-
Return on Assets (ROA),5.16%,4.19%,1.76%,2.27%,1.33%,-1.58%,1.22%,2.35%,3.33%,2.97%,-
Return on Capital (ROIC),7.22%,5.28%,2.24%,3.03%,1.80%,-2.12%,1.76%,3.26%,4.25%,3.81%,-
Return on Capital Employed (ROCE),12.10%,7.80%,3.20%,4.10%,3.30%,-2.90%,2.60%,4.60%,6.20%,5.80%,3.70%
Earnings Yield,-7.41%,2.51%,0.63%,-2.90%,-2.92%,-10.84%,-4.32%,-4.25%,-0.65%,-2.90%,-1.53%
FCF Yield,6.52%,5.41%,1.43%,1.46%,1.66%,-3.56%,-3.17%,1.87%,1.52%,2.39%,-1.37%
Buyback Yield / Dilution,0.06%,-0.67%,-1.38%,-5.61%,-4.20%,-0.50%,0.30%,0.01%,1.05%,-49.70%,-22.97%
