Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,646.08,428.86,266.5,214.17,207.99,252.83,61.14,47.2,93.62,39.79,112.61
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,7
Trading Asset Securities,-,-,-,1.33,-,-,-,-,-,-,-
Cash & Short-Term Investments,646.08,428.86,266.5,215.51,207.99,252.83,61.14,47.2,93.62,39.79,119.61
Cash Growth,86.53%,60.92%,23.66%,3.61%,-17.73%,313.55%,29.52%,-49.58%,135.28%,-66.73%,-20.90%
Accounts Receivable,211.58,193.16,215.07,183.11,185.35,184.36,257.77,256.14,282.15,213.26,272.35
Other Receivables,-,-,-,-,-,-,-,-,-,4.75,-
Receivables,211.58,193.16,215.07,183.11,185.35,186.86,258.37,256.74,282.55,225.1,272.35
Inventory,167.54,147.57,147.89,129.38,105.84,115.29,164.15,153.54,144.47,133.02,212.45
Prepaid Expenses,70.33,59.54,47.33,56.7,73.37,80.48,65.78,75.59,84.39,59.23,25.74
Restricted Cash,-,294.7,311.37,301.45,-,-,-,-,-,-,-
Other Current Assets,1.63,3.36,-,-,106.63,72.59,-,0.24,264.84,355.55,43.26
Total Current Assets,"1,097","1,127",988.16,886.14,679.18,708.04,549.44,533.3,869.86,812.69,673.41
"Property, Plant & Equipment",269.71,217.1,205.03,183.02,190.67,214.33,235.73,191.4,192.36,203.71,244.59
Long-Term Investments,15.05,25.08,22.84,16.27,16.6,31.09,27.26,24.82,37.44,58.76,79.26
Goodwill,791.03,750.01,782.94,768.79,899.53,922.32,915.79,956.82,784.24,691.71,745.36
Other Intangible Assets,234.53,237.29,261.18,368.56,399.68,437.64,607.55,770.44,535.4,441.61,658.94
Long-Term Deferred Tax Assets,107.31,111.86,118.86,1.38,2.2,2.99,68.68,68.15,11.56,6.02,153.51
Other Long-Term Assets,42.81,37.59,50.56,70.62,13.1,83.55,7.36,4.78,71.77,126.1,1.46
Total Assets,"2,558","2,506","2,430","2,295","2,201","2,400","2,412","2,550","2,504","2,343","2,559"
Accounts Payable,88.16,69.73,80.85,74.31,68,73.67,85.89,76.74,85.92,71.93,109.59
Accrued Expenses,119.78,140.86,138.28,111.07,107.35,85.66,111.69,123.2,103.12,77.17,103.98
Short-Term Debt,0.02,0.67,0.63,2.54,2.73,4.97,4.22,5.49,58.19,26.35,61.27
Current Portion of Long-Term Debt,85.42,77.34,17.48,20.89,226.95,8.45,73.49,23.84,26.68,22.24,22.35
Current Portion of Leases,9,9.04,8.36,9.38,11.26,11.28,11.11,-,-,-,-
