Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"9,680","7,025","6,880","5,635","9,659","8,295","5,997","3,488","5,131","3,183","1,917"
Market Cap Growth,40.40%,2.12%,22.09%,-41.66%,16.44%,38.33%,71.92%,-32.02%,61.18%,66.03%,-1.29%
Enterprise Value,"13,568","11,223","11,130","9,985","9,816","8,611","6,482","3,218","5,036","3,414","1,525"
Last Close Price,153.17,103.68,101.43,82.72,168.71,144.96,105.27,61.24,88.83,55.36,33.01
PE Ratio,35.00,36.98,-,16.92,17.53,23.70,42.71,8.88,15.13,30.37,15.68
Forward PE,16.91,13.93,25.32,18.00,14.65,18.51,19.91,9.26,14.26,16.49,20.83
PS Ratio,2.69,1.96,1.90,1.59,3.27,3.56,3.16,1.68,2.68,2.46,2.36
PB Ratio,3.96,3.03,2.78,1.26,3.35,3.51,2.96,1.86,3.23,2.56,1.65
P/TBV Ratio,-,-,-,-,8.92,10.60,14.98,3.61,8.13,12.98,2.09
P/FCF Ratio,18.26,17.14,29.65,15.44,17.47,19.38,33.20,9.94,15.84,19.77,15.23
P/OCF Ratio,14.26,13.31,21.57,10.65,15.09,16.17,24.53,8.43,14.44,17.68,13.86
PEG Ratio,1.46,0.51,28.18,-,0.91,0.97,-,0.72,0.71,1.05,1.33
EV/Sales Ratio,3.54,3.13,3.07,2.82,3.33,3.70,3.41,1.55,2.63,2.64,1.88
EV/EBITDA Ratio,15.14,12.96,14.25,11.25,11.63,15.46,16.79,5.53,9.96,12.53,8.44
EV/EBIT Ratio,24.58,21.67,28.98,14.86,13.27,18.80,23.47,6.41,11.90,16.53,9.61
EV/FCF Ratio,25.60,27.37,47.97,27.36,17.75,20.12,35.89,9.17,15.55,21.21,12.12
Debt / Equity Ratio,1.76,2.06,2.03,1.15,0.36,0.44,0.47,0.19,0.25,0.49,-
Debt / EBITDA Ratio,4.86,5.25,6.10,5.59,1.18,1.77,2.31,0.60,0.78,2.25,-
Debt / FCF Ratio,8.65,11.66,21.66,14.16,1.87,2.45,5.29,0.99,1.21,3.80,-
Asset Turnover,0.43,0.41,0.35,0.44,0.70,0.64,0.63,0.83,0.83,0.74,0.65
Inventory Turnover,2.17,1.99,2.01,2.57,2.91,2.66,2.51,3.03,3.33,3.34,2.93
Quick Ratio,1.48,1.72,1.74,1.76,3.24,3.30,2.74,3.86,2.91,2.81,8.45
Current Ratio,2.86,3.19,3.18,2.94,4.67,4.83,4.51,5.56,4.27,4.21,10.33
Return on Equity (ROE),11.16%,7.93%,-52.94%,9.04%,21.00%,15.97%,7.21%,22.70%,23.96%,8.72%,10.91%
Return on Assets (ROA),3.88%,3.66%,2.33%,5.24%,10.96%,7.82%,5.73%,12.48%,11.43%,7.41%,7.94%
Return on Capital (ROIC),4.71%,4.44%,2.80%,6.19%,12.62%,8.96%,6.64%,14.94%,13.79%,8.56%,8.85%
Return on Capital Employed (ROCE),7.00%,6.60%,4.60%,6.40%,18.10%,13.00%,8.90%,21.40%,19.90%,10.50%,13.40%
Earnings Yield,2.88%,2.70%,-26.76%,5.91%,5.70%,4.22%,2.34%,11.26%,6.61%,3.29%,6.38%
FCF Yield,5.48%,5.84%,3.37%,6.48%,5.73%,5.16%,3.01%,10.06%,6.31%,5.06%,6.57%
Dividend Yield,0.61%,0.85%,0.87%,1.06%,0.51%,0.55%,0.76%,1.27%,0.80%,1.23%,2.06%
Payout Ratio,21.37%,31.05%,-,15.62%,8.53%,12.57%,30.98%,10.79%,11.26%,34.69%,29.41%
Buyback Yield / Dilution,-0.52%,-1.20%,-11.52%,-7.54%,-0.72%,-0.36%,-0.20%,0.15%,-1.89%,-0.92%,-0.08%
Total Shareholder Return,0.09%,-0.35%,-10.65%,-6.48%,-0.21%,0.19%,0.56%,1.42%,-1.09%,0.31%,1.98%
