Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,697,714,875,909,966,608.3,414.6,644.35,333.89,228.62,227.57
Short-Term Investments,-,-,-,1,76,227.7,109.4,73.83,209.43,189.46,430.66
Trading Asset Securities,-,-,-,-,-,-,0.8,-,-,-,-
Cash & Short-Term Investments,697,714,875,910,"1,042",836,524.8,718.17,543.32,418.09,658.24
Cash Growth,-19.05%,-18.40%,-3.85%,-12.67%,24.64%,59.30%,-26.92%,32.18%,29.95%,-36.48%,11.14%
Accounts Receivable,611,615,603,766,447,396.4,344.6,299.08,300.31,248.76,101.88
Other Receivables,-,-,-,-,-,-,-,-,-,-,8.68
Receivables,611,615,603,766,447,396.4,344.6,299.08,300.31,248.76,110.57
Inventory,934,893,991,977,577,501.4,462.1,384.69,339.08,275.87,152.63
Restricted Cash,-,-,-,-,-,-,-,-,-,5.29,-
Other Current Assets,294,252,227,141,81,70.6,102,62.17,53.54,50.77,18.08
Total Current Assets,"2,536","2,474","2,696","2,794","2,147","1,804","1,434","1,464","1,236",998.77,939.51
"Property, Plant & Equipment","1,044","1,009","1,009","1,034",510,468.7,306.4,194.37,171.78,174.56,68.86
Long-Term Investments,-,-,-,-,-,6.5,5.8,16.37,16.83,14.76,-
Goodwill,"2,563","2,479","2,554","4,308","1,228","1,066","1,059",587,591.05,588.59,199.7
Other Intangible Assets,"2,196","2,272","2,619","3,173",576,512.2,564.6,319.81,366.4,408,44.03
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,19.25
Other Long-Term Assets,438,356,240,186,79,45.6,47.5,32.6,31.7,27.57,2
Total Assets,"8,777","8,590","9,118","11,495","4,540","3,904","3,416","2,614","2,414","2,212","1,273"
Accounts Payable,382,341,327,426,168,110.6,88.4,83.83,82.52,69.34,23.18
Accrued Expenses,180,124,159,162,132,117.9,122.2,82.35,96.15,67.73,28.42
Short-Term Debt,-,-,-,-,-,5.5,3.1,3.39,2.97,4.71,-
Current Portion of Long-Term Debt,51,50,93,93,9,9,9,0.6,0.01,6.28,-
Current Portion of Leases,31,31,30,26,18,15.8,20.6,-,-,-,-
Current Income Taxes Payable,61,64,57,51,25,18.3,15.4,16.36,21.4,22.79,4.02
Current Unearned Revenue,77,71,77,94,37,31.2,21.5,14.25,26.19,14.46,7.19
Other Current Liabilities,104,94,105,100,71,65.6,37.5,62.52,60.59,51.99,28.17
Total Current Liabilities,886,775,848,952,460,373.9,317.7,263.29,289.82,237.3,90.98
Long-Term Debt,"4,253","4,488","4,696","4,834",813,829,878.2,343.84,389.99,601.23,-
Long-Term Leases,250,211,205,215,193,187.4,44.8,-,-,-,-
Pension & Post-Retirement Benefits,-,-,-,-,-,2.5,2.5,20.64,-,-,-
Long-Term Deferred Tax Liabilities,483,504,640,783,99,59.2,72.4,48.22,61.57,66.45,2.66
Other Long-Term Liabilities,305,290,257,228,88,90.9,77.4,65.07,83.73,65.48,18.83
Total Liabilities,"6,177","6,268","6,646","7,012","1,653","1,543","1,393",741.06,825.11,970.45,112.47
Common Stock,-,-,-,-,-,0.1,0.1,0.11,0.11,0.11,0.11
Additional Paid-In Capital,"2,090","2,067","2,195","2,142",907,873.2,864.3,793.93,789.64,777.48,744.73
Retained Earnings,618,503,373,"2,272","1,991","1,487","1,181","1,085",795.7,494.74,427.21
Comprehensive Income & Other,-108,-248,-96,69,-11,0.3,-22.3,-5.66,3.45,-30.55,-11.17
Shareholders' Equity,"2,600","2,322","2,472","4,483","2,887","2,361","2,023","1,873","1,589","1,242","1,161"
Total Liabilities & Equity,"8,777","8,590","9,118","11,495","4,540","3,904","3,416","2,614","2,414","2,212","1,273"
Total Debt,"4,585","4,780","5,024","5,168","1,033","1,047",955.7,347.83,392.97,612.22,-
Net Cash (Debt),"-3,888","-4,066","-4,149","-4,258",9,-210.7,-430.9,370.34,150.36,-194.14,658.24
Net Cash Growth,-,-,-,-,-,-,-,146.31%,-,-,11.14%
Net Cash Per Share,-57.45,-60.15,-62.11,-71.09,0.16,-3.81,-7.82,6.73,2.73,-3.59,12.29
Filing Date Shares Outstanding,67.17,67.38,67.06,66.67,55.52,55.22,54.87,54.2,54.49,53.82,53.24
Total Common Shares Outstanding,67.2,67.4,66.9,66.6,55.5,55.2,54.6,54.04,54.36,53.67,53.2
Working Capital,"1,650","1,699","1,848","1,842","1,687","1,431","1,116","1,201",946.43,761.47,848.53
Book Value Per Share,38.69,34.45,36.95,67.31,52.02,42.77,37.06,34.66,29.23,23.14,21.82
Tangible Book Value,"-2,159","-2,429","-2,701","-2,998","1,083",782.3,400.2,966.38,631.46,245.2,917.15
Tangible Book Value Per Share,-32.13,-36.04,-40.37,-45.02,19.51,14.17,7.33,17.88,11.62,4.57,17.24
Land,-,80,76,75,12,12.3,11.9,11.45,11.65,11.12,8.54
Buildings,-,322,335,330,133,120.2,113.3,104.02,103.56,100.17,68.88
Machinery,-,840,877,825,615,584.9,582.9,479.97,463.02,436.73,181.23
Construction In Progress,-,82,60,75,27,70.6,46.9,44.82,13.62,6.59,4.17
Leasehold Improvements,-,183,174,157,152,95.4,80.4,66.57,65.29,63.43,21.3
