Period Ending,"Nov '25Nov 18, 2025","Sep '25Sep 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016"
Market Capitalization,"2,406","2,387","2,830","1,658","1,958","2,331","1,579","2,937","2,673","2,976","2,414"
Market Cap Growth,-12.83%,-15.68%,70.68%,-15.32%,-15.99%,47.62%,-46.23%,9.87%,-10.16%,23.25%,12.92%
Last Close Price,29.73,30.29,33.67,23.89,27.07,30.13,17.72,30.49,25.72,26.51,20.48
PE Ratio,11.71,11.29,15.27,6.83,8.83,13.43,9.11,13.97,13.11,17.15,14.72
PS Ratio,3.32,3.33,4.02,2.37,2.98,4.03,2.88,5.39,5.12,6.12,5.10
PB Ratio,0.85,0.79,0.94,0.68,0.86,1.10,0.78,1.45,1.34,1.48,1.22
P/FCF Ratio,-,-,6.83,8.34,7.63,8.18,11.73,14.79,16.34,18.12,13.42
P/OCF Ratio,-,-,6.44,7.75,7.30,7.41,9.48,12.55,14.02,16.56,10.89
Debt / Equity Ratio,0.60,0.60,1.14,1.55,0.98,0.83,1.40,1.12,1.17,1.11,1.08
Debt / FCF Ratio,-,-,8.22,18.87,8.65,6.19,20.97,11.50,14.32,13.57,11.87
Return on Equity (ROE),7.49%,7.49%,7.37%,10.95%,10.74%,8.87%,8.57%,10.44%,10.19%,8.72%,8.35%
Return on Assets (ROA),0.83%,0.83%,0.79%,1.19%,1.17%,0.95%,0.98%,1.30%,1.31%,1.15%,1.11%
Earnings Yield,8.87%,9.47%,7.07%,15.52%,12.07%,7.88%,10.98%,7.16%,7.63%,5.83%,6.79%
FCF Yield,-,-,14.65%,11.99%,13.11%,12.22%,8.53%,6.76%,6.12%,5.52%,7.45%
Dividend Yield,3.51%,3.53%,3.09%,4.18%,3.55%,3.05%,4.96%,2.69%,2.72%,2.26%,2.73%
Payout Ratio,41.06%,-,44.44%,30.46%,32.24%,39.35%,38.34%,30.11%,27.47%,42.94%,30.43%
Buyback Yield / Dilution,-8.03%,-8.03%,-13.85%,0.23%,9.87%,5.43%,4.68%,5.42%,4.61%,2.93%,4.31%
Total Shareholder Return,-4.48%,-4.50%,-10.76%,4.41%,13.42%,8.48%,9.64%,8.11%,7.33%,5.19%,7.04%
