Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Revenue,684.78,651,572.93,486.01,424.69,348.66,325.79,275.17,237.44,203.78,184.99
Revenue Growth (YoY),12.68%,13.63%,17.88%,14.44%,21.80%,7.02%,18.40%,15.89%,16.52%,10.15%,8.27%
Cost of Revenue,163.95,158.57,138.3,113.33,101.81,89.91,85.72,74.99,63.7,56.05,53.86
Gross Profit,520.83,492.43,434.64,372.69,322.88,258.75,240.07,200.18,173.74,147.73,131.13
"Selling, General & Admin",143.8,138.94,125.53,106.28,91.35,75.05,75.02,66.89,58.58,48.02,44.03
Research & Development,101.22,95.5,84.1,70.35,62.57,54.07,53.51,47.87,41.8,35.56,31.29
Amortization of Goodwill & Intangibles,76.57,69.4,60.5,60.18,59.1,55.91,55.49,40.18,33.48,30,26.22
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-0
Operating Expenses,321.59,303.84,270.14,236.81,213.02,185.02,184.02,154.94,133.86,113.58,101.55
Operating Income,199.24,188.59,164.5,135.88,109.86,73.73,56.06,45.24,39.88,34.15,29.59
Interest Expense,-0.97,-1,-1.36,-1.17,-1.12,-1.19,-4.42,-2.13,-1.3,-0.61,-0.52
Interest & Investment Income,8.25,11.51,9.67,4.46,0.3,0.16,0.19,0.2,0.16,1.42,0.2
EBT Excluding Unusual Items,206.53,199.1,172.8,139.17,109.04,72.7,51.83,43.31,38.74,34.96,29.26
Merger & Restructuring Charges,-11.86,-6.76,-5.32,-2.64,-1.36,-3.99,-3.46,-3.21,-3.99,-3.46,-1.49
Other Unusual Items,-0.11,-0.71,-16.33,-2.8,-5.07,1.66,-0.34,-0.59,-,-,-
Pretax Income,194.56,191.63,151.15,133.73,102.61,70.37,48.04,39.51,34.75,31.5,27.77
Income Tax Expense,46.37,48.36,35.25,31.49,16.33,18.27,11.04,8.23,7.87,7.66,7.21
Net Income,148.19,143.27,115.91,102.24,86.28,52.1,37,31.28,26.88,23.84,20.56
Net Income to Common,148.19,143.27,115.91,102.24,86.28,52.1,37,31.28,26.88,23.84,20.56
Net Income Growth,15.97%,23.61%,13.37%,18.49%,65.61%,40.82%,18.29%,16.36%,12.76%,15.93%,36.54%
Shares Outstanding (Basic),86,85,85,85,85,84,82,77,76,76,76
Shares Outstanding (Diluted),88,87,87,86,86,86,83,78,77,77,76
Shares Change (YoY),0.58%,0.58%,0.43%,0.29%,0.52%,3.49%,6.53%,0.88%,0.78%,0.14%,6.74%
EPS (Basic),1.73,1.68,1.36,1.21,1.02,0.62,0.45,0.41,0.35,0.31,0.27
EPS (Diluted),1.69,1.64,1.34,1.18,1.00,0.61,0.45,0.40,0.35,0.31,0.27
EPS Growth,14.17%,22.39%,13.56%,18.00%,63.93%,35.56%,12.50%,14.29%,12.90%,14.82%,28.57%
Free Cash Flow,231.31,212.53,202.12,186.32,171.31,127.47,99.35,72.83,67.06,67.67,49.93
Free Cash Flow Per Share,2.64,2.43,2.33,2.15,1.99,1.49,1.20,0.94,0.87,0.88,0.65
Gross Margin,76.06%,75.64%,75.86%,76.68%,76.03%,74.21%,73.69%,72.75%,73.17%,72.49%,70.89%
Operating Margin,29.10%,28.97%,28.71%,27.96%,25.87%,21.15%,17.21%,16.44%,16.79%,16.76%,16.00%
Profit Margin,21.64%,22.01%,20.23%,21.04%,20.32%,14.94%,11.36%,11.37%,11.32%,11.70%,11.12%
Free Cash Flow Margin,33.78%,32.65%,35.28%,38.34%,40.34%,36.56%,30.50%,26.47%,28.24%,33.21%,26.99%
EBITDA,281.61,263.58,230.47,201.28,174.09,135.39,117.58,89.96,77.46,67.78,59.19
EBITDA Margin,41.12%,40.49%,40.23%,41.41%,40.99%,38.83%,36.09%,32.69%,32.62%,33.26%,32.00%
D&A For EBITDA,82.37,74.99,65.98,65.4,64.23,61.66,61.52,44.72,37.58,33.63,29.6
EBIT,199.24,188.59,164.5,135.88,109.86,73.73,56.06,45.24,39.88,34.15,29.59
EBIT Margin,29.10%,28.97%,28.71%,27.96%,25.87%,21.15%,17.21%,16.44%,16.79%,16.76%,16.00%
Effective Tax Rate,23.83%,25.24%,23.32%,23.55%,15.91%,25.96%,22.98%,20.84%,22.65%,24.32%,25.96%
