Period Ending,"Nov '25Nov 13, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Market Capitalization,"7,086","9,943","7,486","6,175","6,151","5,155","3,775","2,388","2,174","1,652","1,342"
Market Cap Growth,-22.72%,32.82%,21.22%,0.40%,19.33%,36.53%,58.11%,9.84%,31.63%,23.06%,16.26%
Enterprise Value,"6,857","9,775","7,202","5,940","5,995","5,049","3,770","2,406","2,197","1,575","1,290"
Last Close Price,82.31,115.83,87.59,73.02,72.77,61.06,44.81,31.06,28.35,21.85,17.80
PE Ratio,47.82,69.40,64.58,60.40,71.29,98.94,102.05,76.35,80.88,69.29,65.27
PS Ratio,10.35,15.27,13.07,12.71,14.48,14.78,11.59,8.68,9.16,8.11,7.26
PB Ratio,4.72,7.18,6.05,5.62,6.15,5.66,4.60,4.48,4.36,3.84,3.34
P/TBV Ratio,45.03,71.54,33.04,31.84,38.10,48.68,91.94,-,-,74.95,26.32
P/FCF Ratio,30.64,46.78,37.04,33.14,35.91,40.44,38.00,32.79,32.42,24.41,26.88
P/OCF Ratio,29.80,45.35,36.05,32.10,34.92,39.28,36.21,30.59,30.14,22.76,24.74
EV/Sales Ratio,10.01,15.02,12.57,12.22,14.12,14.48,11.57,8.74,9.25,7.73,6.97
EV/EBITDA Ratio,24.35,37.09,31.25,29.51,34.44,37.29,32.06,26.74,28.36,23.24,21.79
EV/EBIT Ratio,34.41,51.83,43.78,43.72,54.57,68.48,67.25,53.18,55.09,46.12,43.58
EV/FCF Ratio,29.64,45.99,35.63,31.88,35.00,39.61,37.94,33.03,32.76,23.27,25.83
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.07,-,-
Debt / EBITDA Ratio,0.03,0.03,0.03,0.04,0.06,0.09,0.11,0.28,0.48,-,-
Debt / FCF Ratio,0.03,0.04,0.04,0.04,0.07,0.10,0.14,0.35,0.55,-,-
Asset Turnover,0.41,0.42,0.41,0.39,0.38,0.35,0.41,0.43,0.42,0.43,0.41
Inventory Turnover,-,296.96,-,-,156.99,214.07,338.82,688.02,439.34,348.14,171.25
Quick Ratio,1.51,1.42,1.89,1.96,2.02,1.78,0.98,0.90,0.99,1.24,1.76
Current Ratio,1.70,1.63,2.05,2.12,2.19,1.95,1.13,1.03,1.11,1.35,1.87
Return on Equity (ROE),10.54%,10.92%,9.92%,9.74%,9.03%,6.01%,5.46%,6.06%,5.78%,5.73%,5.19%
Return on Assets (ROA),7.50%,7.55%,7.37%,6.79%,6.11%,4.59%,4.39%,4.42%,4.43%,4.48%,4.12%
Return on Capital (ROIC),8.81%,8.94%,8.74%,8.02%,7.10%,5.24%,5.03%,5.17%,5.16%,5.13%,4.67%
Return on Capital Employed (ROCE),12.90%,13.20%,12.90%,11.90%,10.40%,7.70%,6.60%,7.80%,7.20%,7.60%,7.20%
Earnings Yield,2.09%,1.44%,1.55%,1.66%,1.40%,1.01%,0.98%,1.31%,1.24%,1.44%,1.53%
FCF Yield,3.26%,2.14%,2.70%,3.02%,2.79%,2.47%,2.63%,3.05%,3.08%,4.10%,3.72%
Buyback Yield / Dilution,-0.58%,-0.58%,-0.43%,-0.29%,-0.52%,-3.49%,-6.53%,-0.88%,-0.78%,-0.14%,-6.74%
