Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Cash & Equivalents,240.63,236.14,320.95,276.39,213.44,133.66,44.4,27.3,35.15,38.14,37.21
Short-Term Investments,-,-,-,-,-,-,-,-,-,-,4.64
Cash & Short-Term Investments,240.63,236.14,320.95,276.39,213.44,133.66,44.4,27.3,35.15,38.14,41.85
Cash Growth,-4.76%,-26.43%,16.13%,29.49%,59.69%,201.02%,62.66%,-22.33%,-7.84%,-8.88%,-64.55%
Accounts Receivable,61.34,53.95,51.57,45.17,41.71,37.21,35.12,31.49,28.79,25.4,25.61
Other Receivables,18.76,16.93,12.19,11.27,13.77,14.59,7.29,4.28,3.05,3.14,2.94
Receivables,80.1,70.88,63.76,56.45,55.47,51.8,42.41,35.77,31.85,28.55,28.55
Inventory,0.53,0.72,0.35,-,0.87,0.43,0.41,0.1,0.12,0.17,0.16
Prepaid Expenses,19.31,18.46,16.91,13.83,11.11,8.94,7.33,6.23,7.62,5.15,4.21
Other Current Assets,20.11,26.37,16.21,11.99,11.17,8.24,5.66,2.85,0.12,0.57,0.19
Total Current Assets,360.69,352.57,418.18,358.65,292.06,203.07,100.21,72.24,74.85,72.56,74.96
"Property, Plant & Equipment",20.94,20.1,17.81,18.21,21.39,24.25,26.61,12.61,12.8,10.45,8.6
Goodwill,992.52,924.76,760.41,675.65,608.76,565.18,523.69,378.18,350.15,263.11,217.49
Other Intangible Assets,350,321.27,251.05,229.81,229.61,239.99,256.96,176.19,178,145.45,133.56
Long-Term Deferred Tax Assets,5.35,3.8,2.1,11.48,14.96,15.22,21.6,3.6,4.66,7.03,16.8
Long-Term Deferred Charges,21.9,19,18.6,18.4,16.6,12.9,9.8,7.3,0.45,0.42,0.91
Other Long-Term Assets,4.63,5.89,6.14,3.85,2.05,2.65,3.72,3.21,3.97,1.53,0.47
Total Assets,"1,756","1,647","1,474","1,316","1,185","1,063",942.59,653.33,624.88,500.54,452.79
Accounts Payable,16.13,20.65,17.48,10.57,10.57,7.96,7.67,5.15,7.9,4.68,4.47
Accrued Expenses,60.71,70.98,56.68,80.31,56.44,38.88,34.88,29.34,25.54,23.25,16.84
Current Portion of Leases,3.34,3.18,3.08,3.4,4.03,4.17,3.93,0.05,-,-,-
Current Income Taxes Payable,7.46,9.31,6.73,7.54,5.62,3.38,1.33,1.59,3.27,2.17,2.09
Current Unearned Revenue,116.87,104.23,84.51,67.78,56.78,49.88,41.14,34.24,30.99,23.73,16.64
Other Current Liabilities,7.39,8.67,35.15,-,-,-,-,-,-,-,-
Total Current Liabilities,211.89,217.03,203.63,169.6,133.43,104.26,88.94,70.37,67.69,53.82,40.04
Long-Term Debt,-,-,-,-,-,-,-,25.46,37,-,-
Long-Term Leases,4.64,4.72,3.9,3.92,7.38,8.9,9.48,-,-,-,-
Long-Term Unearned Revenue,1.31,0.98,1.46,1.62,1.92,1.41,0.92,0.86,1.13,0.42,0.94
Long-Term Deferred Tax Liabilities,32.17,34.13,21.1,35.4,35.52,29.39,15.07,15.51,11.59,9.98,6.1
Other Long-Term Liabilities,6.13,5.53,6.15,6.12,7.35,8.23,6.47,7.63,8.66,5.73,3.67
Total Liabilities,256.14,262.38,236.25,216.65,185.61,152.19,120.88,119.83,126.07,69.95,50.75
Common Stock,583.36,568.34,551.16,538.45,536.3,531.83,524.15,276.75,274.54,253.24,252.47
Additional Paid-In Capital,498.81,503.13,494.7,486.55,473.3,464.1,459.27,454.72,451.15,448.6,446.75
Retained Earnings,438.29,364.03,220.76,104.85,2.61,-83.67,-135.77,-172.77,-211.62,-238.47,-262.3
Comprehensive Income & Other,-20.58,-50.5,-28.59,-30.46,-12.39,-1.19,-25.94,-25.2,-15.25,-32.78,-34.88
Shareholders' Equity,"1,500","1,385","1,238","1,099",999.82,911.07,821.71,533.51,498.81,430.6,402.04
Total Liabilities & Equity,"1,756","1,647","1,474","1,316","1,185","1,063",942.59,653.33,624.88,500.54,452.79
Total Debt,7.97,7.9,6.98,7.32,11.41,13.06,13.41,25.52,37,-,-
Net Cash (Debt),232.66,228.24,313.97,269.07,202.03,120.6,31,1.78,-1.86,38.14,41.85
Net Cash Growth,-5.20%,-27.30%,16.69%,33.18%,67.52%,289.05%,1640.48%,-,-,-8.88%,-64.55%
Net Cash Per Share,2.66,2.61,3.62,3.11,2.34,1.41,0.37,0.02,-0.02,0.50,0.55
Filing Date Shares Outstanding,85.94,85.61,85.18,84.82,84.76,84.5,84.16,77.16,76.77,75.76,75.76
Total Common Shares Outstanding,85.93,85.61,85.18,84.82,84.76,84.49,84.16,76.86,76.77,75.87,75.76
Working Capital,148.8,135.54,214.55,189.06,158.63,98.8,11.27,1.88,7.16,18.74,34.92
Book Value Per Share,17.45,16.18,14.53,12.96,11.80,10.78,9.76,6.94,6.50,5.68,5.31
Tangible Book Value,157.36,138.98,226.57,193.94,161.45,105.9,41.06,-20.86,-29.34,22.04,50.99
Tangible Book Value Per Share,1.83,1.62,2.66,2.29,1.90,1.25,0.49,-0.27,-0.38,0.29,0.67
Machinery,48.13,42.88,52.69,47.77,44.13,40.62,37.16,36.13,37.67,31.53,27.4
Construction In Progress,-,0.04,0.5,0.36,0.52,1,0.83,-,-,-,-
Leasehold Improvements,0.72,0.72,0.99,1.08,0.82,0.81,0.78,0.44,0.44,0.57,0.43
