Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Market Capitalization,"3,388","1,887","1,394",337,-,-
Market Cap Growth,154.27%,35.31%,314.24%,-,-,-
Enterprise Value,"2,799","1,401","1,026",424,-,-
Last Close Price,89.65,63.40,57.76,19.89,-,-
PB Ratio,5.47,4.25,4.04,1.91,-,-
P/TBV Ratio,5.90,4.25,4.04,1.91,-,-
Debt / Equity Ratio,0.05,0.07,0.01,0.01,0.02,0.05
Quick Ratio,23.03,21.01,16.81,8.62,6.56,8.01
Current Ratio,23.45,21.17,17.06,8.79,6.74,8.12
Return on Equity (ROE),-34.78%,-27.73%,-29.30%,-36.84%,-71.26%,-
Return on Assets (ROA),-22.61%,-18.75%,-20.05%,-20.28%,-32.28%,-
Return on Capital (ROIC),-23.69%,-19.75%,-21.69%,-23.07%,-37.30%,-
Return on Capital Employed (ROCE),-33.70%,-27.40%,-26.30%,-26.70%,-39.20%,-86.80%
Earnings Yield,-5.35%,-5.80%,-5.48%,-13.91%,-,-
FCF Yield,-4.91%,-5.00%,-5.27%,-12.60%,-,-
Buyback Yield / Dilution,-27.33%,-23.71%,-2046.81%,-18.34%,87.33%,-
