Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,140.66,192.43,360.38,194.61,88.04,25.83
Short-Term Investments,475.26,297.45,-,-,-,-
Cash & Short-Term Investments,615.92,489.88,360.38,194.61,88.04,25.83
Cash Growth,26.38%,35.93%,85.18%,121.06%,240.89%,-
Prepaid Expenses,11.25,3.73,5.28,3.88,2.45,0.37
Total Current Assets,627.17,493.62,365.66,198.49,90.48,26.19
"Property, Plant & Equipment",2.45,2.32,2.1,1.6,1.75,1.13
Other Long-Term Assets,0.84,0.84,0.23,0.12,0.18,0.06
Total Assets,630.46,496.77,368,200.21,92.41,27.38
Accounts Payable,7.27,7.95,12.63,16.16,2.56,0.59
Accrued Expenses,18.82,15.24,8.15,6.11,4.1,2.44
Current Portion of Leases,0.66,0.13,0.67,0.31,0.32,0.2
Other Current Liabilities,-,-,-,-,6.45,-
Total Current Liabilities,26.74,23.32,21.44,22.58,13.42,3.22
Long-Term Debt,28.95,28.32,-,-,-,-
Long-Term Leases,1.37,1.55,1.44,1.03,1.33,0.85
Total Liabilities,57.07,53.19,22.88,23.61,14.76,4.07
Common Stock,0,0,0,0,-,0
Additional Paid-In Capital,"1,022",741.3,533.76,288.81,1.19,0.61
Retained Earnings,-449.66,-298,-188.65,-112.22,-65.39,-29.42
Comprehensive Income & Other,0.72,0.29,-,-,-,-
Total Common Equity,573.39,443.59,345.12,176.6,-64.2,-28.81
Shareholders' Equity,573.39,443.59,345.12,176.6,77.65,23.3
Total Liabilities & Equity,630.46,496.77,368,200.21,92.41,27.38
Total Debt,30.98,30,2.1,1.33,1.65,1.05
Net Cash (Debt),584.94,459.88,358.28,193.28,86.38,24.78
Net Cash Growth,20.46%,28.36%,85.37%,123.74%,248.66%,-
Net Cash Per Share,17.52,16.66,16.05,185.93,98.34,3.57
Filing Date Shares Outstanding,37.75,34.57,24.68,19,8.3,6.93
Total Common Shares Outstanding,35.01,29.87,24.36,17.4,8.3,6.93
Working Capital,600.42,470.3,344.22,175.91,77.06,22.97
Book Value Per Share,16.38,14.85,14.17,10.15,-7.74,-4.16
Tangible Book Value,573.39,443.59,345.12,176.6,-64.2,-28.81
Tangible Book Value Per Share,16.38,14.85,14.17,10.15,-7.74,-4.16
Machinery,-,0.59,0.42,0.31,0.16,0.09
Leasehold Improvements,-,0.57,-,-,-,-
