Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
"Selling, General & Admin",54.39,33.05,21.86,14.04,5.76,2.96
Research & Development,149.21,96.67,69.26,33.44,25.17,18.02
Operating Expenses,203.6,129.72,91.13,47.48,30.93,20.98
Operating Income,-203.6,-129.72,-91.13,-47.48,-30.93,-20.98
Interest Expense,-3.3,-0.57,-,-,-,-
Interest & Investment Income,26.19,21.29,14.8,0.71,0.01,0.04
Other Non Operating Income (Expenses),0.05,-0,-0,-0.06,-5.05,-
Pretax Income,-180.66,-109,-76.33,-46.83,-35.97,-20.94
Income Tax Expense,0.45,0.36,0.1,-,-,-
Net Income,-181.11,-109.36,-76.43,-46.83,-35.97,-20.94
Net Income to Common,-181.11,-109.36,-76.43,-46.83,-35.97,-20.94
Shares Outstanding (Basic),33,28,22,1,1,7
Shares Outstanding (Diluted),33,28,22,1,1,7
Shares Change (YoY),27.33%,23.71%,2046.81%,18.34%,-87.33%,-
EPS (Basic),-5.42,-3.96,-3.42,-45.05,-40.95,-3.02
EPS (Diluted),-5.42,-3.96,-3.42,-45.05,-40.95,-3.02
Free Cash Flow,-166.03,-94.43,-73.55,-42.4,-27.6,-20.04
Free Cash Flow Per Share,-4.97,-3.42,-3.30,-40.79,-31.42,-2.89
EBITDA,-203.4,-129.56,-91.03,-47.39,-30.9,-20.96
D&A For EBITDA,0.2,0.16,0.1,0.09,0.03,0.02
EBIT,-203.6,-129.72,-91.13,-47.48,-30.93,-20.98
