Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,759","9,565","6,002","4,007","4,164","3,481","2,574","1,826","1,926","1,744","1,256"
Market Cap Growth,-21.06%,59.38%,49.78%,-3.78%,19.63%,35.23%,40.94%,-5.15%,10.44%,38.81%,2.99%
Enterprise Value,"8,136","9,637","6,092","4,074","4,063","3,412","2,546","1,816","1,886","1,702","1,207"
Last Close Price,95.17,117.27,73.35,49.61,51.97,43.37,31.96,22.52,23.36,20.89,14.56
PE Ratio,78.62,56.75,33.79,39.92,70.87,44.06,47.93,43.15,35.77,32.67,27.47
Forward PE,48.82,43.03,32.98,32.58,51.69,53.52,38.96,28.50,31.78,30.46,26.69
PS Ratio,5.90,7.97,5.14,4.51,7.79,6.77,5.49,4.21,4.75,4.54,3.50
PB Ratio,9.00,11.60,8.16,7.15,8.93,9.92,8.87,7.32,8.12,8.47,7.02
P/TBV Ratio,11.10,14.40,10.25,9.67,13.42,10.01,8.98,7.43,8.12,8.47,7.02
P/FCF Ratio,-,-,109.92,-,715.40,57.05,42.37,103.85,118.27,46.72,36.53
P/OCF Ratio,-,49.68,37.77,65.35,68.06,27.02,26.29,33.30,33.20,27.28,22.69
PEG Ratio,2.99,2.48,2.60,2.57,3.69,3.82,2.36,1.99,2.03,2.08,1.82
EV/Sales Ratio,6.18,8.03,5.21,4.58,7.60,6.63,5.42,4.18,4.65,4.43,3.37
EV/EBITDA Ratio,38.82,35.23,21.55,25.17,40.80,28.20,27.90,24.56,20.95,18.31,14.47
EV/EBIT Ratio,61.09,45.72,25.79,32.14,58.68,35.78,37.17,32.27,25.14,21.29,16.84
EV/FCF Ratio,-,-,111.58,-,697.91,55.92,41.90,103.24,115.82,45.61,35.10
Debt / Equity Ratio,0.44,0.21,0.07,0.14,0.12,0.01,-,-,-,-,-
Debt / EBITDA Ratio,1.80,0.63,0.18,0.48,0.57,0.01,-,-,-,-,-
Debt / FCF Ratio,-,-,0.93,-,9.80,0.03,-,-,-,-,-
Asset Turnover,1.03,1.13,1.33,1.21,0.97,1.25,1.38,1.44,1.47,1.57,1.56
Inventory Turnover,4.49,4.01,3.73,3.96,3.73,4.60,4.63,4.45,4.77,6.19,6.57
Quick Ratio,2.00,1.64,1.45,1.01,0.98,2.22,1.70,1.31,1.65,2.38,1.96
Current Ratio,3.04,2.79,3.23,2.40,2.51,3.73,3.35,2.96,3.07,3.61,2.86
Return on Equity (ROE),12.08%,21.61%,27.41%,19.55%,14.38%,24.65%,19.91%,17.39%,24.30%,27.74%,25.91%
Return on Assets (ROA),6.49%,12.45%,16.82%,10.82%,7.87%,14.53%,12.60%,11.63%,16.94%,20.42%,19.49%
Return on Capital (ROIC),7.89%,14.79%,20.72%,13.63%,9.88%,18.55%,15.87%,14.45%,21.16%,25.97%,25.39%
Return on Capital Employed (ROCE),10.40%,21.10%,29.00%,19.00%,12.30%,24.50%,21.70%,21.60%,30.40%,36.80%,37.80%
Earnings Yield,1.29%,1.76%,2.96%,2.50%,1.41%,2.27%,2.09%,2.32%,2.80%,3.06%,3.64%
FCF Yield,-3.12%,-0.03%,0.91%,-0.37%,0.14%,1.75%,2.36%,0.96%,0.85%,2.14%,2.74%
Dividend Yield,0.42%,0.27%,0.44%,0.58%,0.50%,0.58%,0.67%,0.95%,0.74%,0.77%,1.01%
Payout Ratio,31.39%,15.47%,14.89%,22.83%,33.95%,25.08%,30.99%,39.52%,25.38%,23.75%,25.93%
Buyback Yield / Dilution,0.32%,-0.40%,-2.65%,-0.69%,-1.26%,-0.81%,0.06%,0.77%,0.69%,1.89%,1.60%
Total Shareholder Return,0.74%,-0.13%,-2.21%,-0.10%,-0.76%,-0.22%,0.73%,1.72%,1.44%,2.66%,2.61%
