Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,76.21,3.46,24.9,51.04,82.09,22.67,12.4,7.51,5.34,23.85,39.8
Cash & Short-Term Investments,76.21,3.46,24.9,51.04,82.09,22.67,12.4,7.51,5.34,23.85,39.8
Cash Growth,906.88%,-86.09%,-51.22%,-37.83%,262.15%,82.85%,65.14%,40.50%,-77.59%,-40.08%,-48.74%
Accounts Receivable,954.19,952.56,934.77,770.27,597.46,566.2,599.49,441.23,352.2,302.74,238.38
Other Receivables,15.14,16.17,20.04,21.16,23.27,18.93,14.49,18.05,13.69,8.12,17.25
Receivables,969.33,968.73,954.81,791.43,620.73,585.13,613.98,459.28,365.88,310.85,255.63
Prepaid Expenses,22.82,40.87,44.41,45.98,44.68,28.31,-,-,-,-,-
Other Current Assets,-,1.6,2.13,1.85,0.89,0.58,12.81,8.85,8.51,8.2,7.94
Total Current Assets,"1,068","1,015","1,026",890.29,748.39,636.68,639.18,475.63,379.74,342.9,303.37
"Property, Plant & Equipment",336.65,320.87,303.99,263.72,217.06,207.41,208.3,161.89,148.08,154.89,160.68
Long-Term Investments,3.77,3.73,8.71,3.7,3.98,3.04,4.72,1.32,0.17,-,-
Goodwill,114.52,112.98,116.95,115.85,66.07,66.07,66.06,56.59,46.99,46.78,47.12
Other Intangible Assets,73.18,75.69,83.52,87.56,49.05,51.37,54.94,33.27,10.85,11.57,11.36
Long-Term Deferred Tax Assets,5.9,5.73,-,-,-,-,-,-,-,-,-
Long-Term Deferred Charges,1.4,1.8,2.2,-,-,-,-,-,-,-,-
Other Long-Term Assets,41.55,38.59,37.14,37.75,36.54,31.3,34.66,20.05,17.95,17.36,2.39
Total Assets,"1,645","1,574","1,579","1,399","1,121",995.86,"1,008",748.76,603.79,573.5,524.93
Accounts Payable,298.16,295.48,359.36,315.32,200.74,162.58,192.11,139.48,110.38,99.94,73.3
Accrued Expenses,26.79,95.04,116.86,90.73,101.9,83.1,65.5,53.95,42.03,46.5,60.52
Current Portion of Long-Term Debt,4.55,4.36,7.05,5.07,1.04,4.38,8.74,3.68,-,-,-
Current Portion of Leases,13.96,13.19,11.28,10.84,7.77,6.93,7.34,1.12,1.09,1.09,-
Current Income Taxes Payable,8.19,0.2,0.24,6.57,6.63,18.13,6.79,8,-,-,-
Current Unearned Revenue,302.55,321.96,240.41,227.06,167.93,158.4,105.49,58.53,30.22,42.32,40.61
Other Current Liabilities,146.72,18.68,12.01,11.37,12.6,9.88,10.86,19.04,4.84,6.38,5.3
Total Current Liabilities,800.92,748.9,747.2,666.96,498.6,443.4,396.81,283.81,188.56,196.22,179.74
Long-Term Debt,67.42,70.02,29.19,35.48,3.46,25.04,157.09,86.11,78.96,59.07,-
Long-Term Leases,33.03,32.43,26.09,23.16,13.23,15.73,17.22,1.51,2.63,3.83,-
Long-Term Deferred Tax Liabilities,56.28,52.5,48.23,45.78,24.62,18.34,20.95,17.4,13.45,18.57,14.38
Other Long-Term Liabilities,70.09,69.86,76.84,67.29,62.08,64.06,51.33,35.46,33.14,32.63,0.93
Total Liabilities,"1,028",973.7,927.54,838.66,601.99,566.57,643.4,424.29,316.75,310.32,195.05
Common Stock,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.2
Additional Paid-In Capital,160.19,159.13,162.39,161.43,163.75,158.62,152.53,148.28,143.93,140.1,161.34
Retained Earnings,466.69,453.72,492.53,404.91,355.01,270.48,212.22,174.74,143.24,123.35,168.22
Comprehensive Income & Other,-9.45,-12.65,-3.88,-6.3,0.17,0.02,-0.45,-0.19,-0.3,-0.43,0.12
Total Common Equity,617.59,600.36,651.2,560.2,519.1,429.29,364.47,322.98,287.04,263.17,329.88
Minority Interest,-,-,-,-,-,0,0,1.48,-,-,-
Shareholders' Equity,617.59,600.36,651.2,560.2,519.1,429.29,364.48,324.46,287.04,263.17,329.88
Total Liabilities & Equity,"1,645","1,574","1,579","1,399","1,121",995.86,"1,008",748.76,603.79,573.5,524.93
Total Debt,118.97,119.99,73.61,74.55,25.5,52.08,190.39,92.43,82.68,63.99,-
Net Cash (Debt),-42.75,-116.53,-48.71,-23.51,56.59,-29.41,-177.99,-84.92,-77.33,-40.14,39.8
Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-48.74%
Net Cash Per Share,-2.70,-7.05,-2.89,-1.38,3.30,-1.74,-10.66,-5.12,-4.69,-2.30,1.89
Filing Date Shares Outstanding,15.52,16.14,16.74,16.67,16.96,16.79,16.66,16.6,16.47,16.34,19.44
Total Common Shares Outstanding,15.52,16.12,16.68,16.56,16.87,16.73,16.65,16.56,16.46,16.33,19.97
Working Capital,267.44,265.76,279.04,223.33,249.79,193.28,242.37,191.83,191.17,146.68,123.63
Book Value Per Share,39.79,37.24,39.03,33.82,30.77,25.65,21.89,19.50,17.43,16.11,16.52
Tangible Book Value,429.88,411.69,450.73,356.8,403.98,311.86,243.47,233.13,229.19,204.83,271.39
Tangible Book Value Per Share,27.69,25.54,27.02,21.54,23.95,18.64,14.62,14.07,13.92,12.54,13.59
Land,-,10.35,10.35,10.23,10.23,9.3,9.3,8.48,7.73,5.47,5.78
Buildings,-,51.88,44.35,40.48,35.6,33.45,29.75,23.23,22.72,21.66,21.4
Machinery,-,603.22,594.74,534.22,472.39,436.73,419.16,383.68,349.02,337.23,315.07
Order Backlog,-,"2,404","2,493",-,-,-,-,"1,147",679.14,688.83,450.93
