Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,497","2,398","2,417","1,528","1,865","1,005",543,467,588,605,425
Market Cap Growth,65.58%,-0.76%,58.12%,-18.05%,85.51%,85.29%,16.27%,-20.67%,-2.83%,42.46%,-25.37%
Enterprise Value,"3,540","2,528","2,480","1,614","1,818","1,080",737,560,670,643,394
Last Close Price,220.22,148.77,144.63,92.07,110.55,60.10,32.59,28.17,35.73,37.68,20.61
PE Ratio,36.38,79.25,26.56,18.33,21.94,17.11,14.40,15.01,27.81,28.25,15.56
Forward PE,26.28,30.73,22.29,19.12,22.79,18.59,12.98,13.36,22.64,24.30,15.44
PS Ratio,0.99,0.71,0.66,0.51,0.75,0.45,0.26,0.31,0.42,0.53,0.40
PB Ratio,5.54,4.00,3.71,2.73,3.59,2.34,1.49,1.44,2.05,2.30,1.29
P/TBV Ratio,8.14,5.83,5.36,4.28,4.62,3.22,2.23,2.00,2.57,2.96,1.57
P/FCF Ratio,22.41,214.59,-,16.90,21.98,7.69,76.73,13.69,-,20.79,-
P/OCF Ratio,15.02,27.53,34.03,9.13,13.59,5.74,8.36,5.50,-,11.11,9.88
PEG Ratio,0.77,3.07,1.49,1.91,1.52,1.62,1.62,1.67,2.83,3.04,2.06
EV/Sales Ratio,1.01,0.75,0.68,0.54,0.73,0.48,0.36,0.37,0.48,0.56,0.37
EV/EBITDA Ratio,17.56,22.49,13.48,9.45,11.25,8.30,7.50,6.48,10.39,8.40,4.88
EV/EBIT Ratio,26.05,53.53,19.86,14.34,15.75,12.90,13.73,12.04,25.88,17.19,9.22
EV/FCF Ratio,22.68,226.20,-,17.85,21.43,8.26,104.16,16.42,-,22.09,-
Debt / Equity Ratio,0.19,0.20,0.11,0.13,0.05,0.12,0.52,0.28,0.29,0.24,-
Debt / EBITDA Ratio,0.54,0.93,0.37,0.40,0.15,0.37,1.80,1.07,1.28,0.84,-
Debt / FCF Ratio,0.76,10.74,-,0.82,0.30,0.40,26.93,2.71,-,2.20,-
Asset Turnover,2.17,2.13,2.45,2.39,2.36,2.24,2.36,2.26,2.38,2.08,2.03
Quick Ratio,1.31,1.30,1.31,1.26,1.41,1.37,1.58,1.65,1.97,1.71,1.64
Current Ratio,1.33,1.36,1.37,1.34,1.50,1.44,1.61,1.68,2.01,1.75,1.69
Return on Equity (ROE),16.22%,4.84%,15.02%,15.45%,17.93%,14.80%,10.51%,10.23%,7.69%,7.23%,8.37%
Return on Assets (ROA),5.24%,1.87%,5.24%,5.58%,6.82%,5.22%,3.82%,4.30%,2.75%,4.26%,5.12%
Return on Capital (ROIC),11.62%,4.08%,11.48%,11.93%,14.07%,10.10%,6.90%,7.39%,4.64%,7.12%,8.20%
Return on Capital Employed (ROCE),16.10%,5.70%,15.00%,15.40%,18.50%,15.20%,8.80%,10.00%,6.20%,9.90%,12.40%
Earnings Yield,2.80%,1.26%,3.77%,5.46%,4.56%,5.85%,6.95%,6.66%,3.60%,3.54%,6.42%
FCF Yield,4.46%,0.47%,-0.57%,5.92%,4.55%,13.01%,1.30%,7.31%,-6.81%,4.81%,-0.85%
Buyback Yield / Dilution,5.10%,1.85%,0.84%,1.05%,-1.60%,-1.14%,-0.69%,-0.54%,5.53%,17.00%,1.99%
