Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"3,514","3,362","3,644","3,009","2,498","2,247","2,071","1,531","1,403","1,142","1,062"
Revenue Growth (YoY),-0.64%,-7.73%,21.12%,20.42%,11.16%,8.51%,35.27%,9.11%,22.83%,7.61%,12.47%
Cost of Revenue,"3,116","3,072","3,280","2,665","2,173","1,972","1,857","1,364","1,278","1,008",939.34
Gross Profit,398.45,290.32,364.4,343.96,324.98,275.85,214.16,167.06,125,134.72,122.34
"Selling, General & Admin",257.75,238.22,234.61,222.42,207.21,188.54,156.67,118.74,98.61,96.42,78.99
Amortization of Goodwill & Intangibles,4.82,4.87,4.91,9.01,2.31,3.59,3.85,1.84,0.5,0.89,0.57
Operating Expenses,262.57,243.09,239.52,231.43,209.52,192.12,160.52,120.58,99.11,97.31,79.56
Operating Income,135.88,47.23,124.88,112.53,115.46,83.73,53.64,46.48,25.89,37.41,42.78
Interest Expense,-6.97,-6.53,-4.94,-3.56,-1.8,-4.56,-6.23,-3.65,-2.6,-1.3,-0.74
Interest & Investment Income,0.55,0.42,0.89,0.19,0.07,0.01,0,0.02,0,0.01,0.03
Currency Exchange Gain (Loss),-2.1,-1.4,-0.1,-0.2,-0.1,-,-,-,-,-,-
Other Non Operating Income (Expenses),-0.09,-0.08,-0.14,2.17,-0.43,-0.61,1.49,0.28,-2.32,-0.52,0.17
EBT Excluding Unusual Items,127.27,39.64,120.59,111.13,113.21,78.57,48.9,43.14,20.98,35.6,42.24
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-0.2
Gain (Loss) on Sale of Assets,5.32,6.85,4.21,2.38,3.1,2.81,3.54,3.83,3.66,1.34,2.26
Other Unusual Items,9.3,-,0.2,0.7,-,-,-2,-3.9,-,1.4,-
Pretax Income,141.9,46.49,125,114.2,116.31,81.39,50.44,43.07,24.64,38.35,44.3
Income Tax Expense,44.08,16.23,34.01,30.82,31.3,22.63,14.23,11.77,3.49,16.91,17
Earnings From Continuing Operations,97.82,30.26,90.99,83.38,85.01,58.76,36.21,31.29,21.15,21.43,27.3
Minority Interest in Earnings,-,-,-,-,0,-,1.48,-0.21,-,-,-
Net Income,97.82,30.26,90.99,83.38,85.01,58.76,37.69,31.09,21.15,21.43,27.3
Net Income to Common,97.82,30.26,90.99,83.38,85.01,58.76,37.69,31.09,21.15,21.43,27.3
Net Income Growth,155.05%,-66.74%,9.13%,-1.92%,44.68%,55.90%,21.24%,46.96%,-1.29%,-21.50%,-25.29%
Shares Outstanding (Basic),16,16,17,17,17,17,17,16,16,17,21
Shares Outstanding (Diluted),16,17,17,17,17,17,17,17,16,17,21
Shares Change (YoY),-5.10%,-1.85%,-0.84%,-1.05%,1.60%,1.14%,0.69%,0.54%,-5.53%,-17.00%,-1.99%
EPS (Basic),6.19,1.84,5.45,4.97,5.05,3.52,2.27,1.89,1.30,1.25,1.33
EPS (Diluted),6.17,1.83,5.40,4.91,4.95,3.48,2.26,1.87,1.28,1.23,1.30
EPS Growth,169.25%,-66.11%,9.98%,-0.81%,42.24%,53.98%,20.86%,46.09%,4.06%,-5.38%,-23.08%
Free Cash Flow,156.09,11.18,-13.72,90.43,84.87,130.81,7.07,34.09,-40.04,29.12,-3.6
Free Cash Flow Per Share,9.85,0.68,-0.81,5.33,4.95,7.75,0.42,2.06,-2.43,1.67,-0.17
Gross Margin,11.34%,8.63%,10.00%,11.43%,13.01%,12.27%,10.34%,10.91%,8.91%,11.79%,11.52%
Operating Margin,3.87%,1.41%,3.43%,3.74%,4.62%,3.73%,2.59%,3.04%,1.85%,3.28%,4.03%
Profit Margin,2.78%,0.90%,2.50%,2.77%,3.40%,2.61%,1.82%,2.03%,1.51%,1.88%,2.57%
Free Cash Flow Margin,4.44%,0.33%,-0.38%,3.01%,3.40%,5.82%,0.34%,2.23%,-2.85%,2.55%,-0.34%
EBITDA,201.55,112.42,184.02,170.7,161.67,130.19,98.15,86.39,64.47,76.54,80.81
EBITDA Margin,5.73%,3.34%,5.05%,5.67%,6.47%,5.79%,4.74%,5.64%,4.59%,6.70%,7.61%
D&A For EBITDA,65.67,65.19,59.14,58.17,46.21,46.45,44.52,39.91,38.58,39.12,38.03
EBIT,135.88,47.23,124.88,112.53,115.46,83.73,53.64,46.48,25.89,37.41,42.78
EBIT Margin,3.87%,1.41%,3.43%,3.74%,4.62%,3.73%,2.59%,3.04%,1.85%,3.28%,4.03%
Effective Tax Rate,31.06%,34.91%,27.21%,26.99%,26.91%,27.80%,28.21%,27.34%,14.15%,44.11%,38.37%
Advertising Expenses,-,2,1.8,1.2,0.8,0.7,0.8,0.7,0.7,0.6,0.5
