Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"1,405","1,395","1,156",758.61,638.6,658.15,739.28,684.2,604.84,544.11,524.86
Interest Income on Investments,223.12,187.23,116.86,106.23,84.82,84.72,86.02,74.31,64.03,58.99,58.93
Total Interest Income,"1,628","1,582","1,273",864.84,723.41,742.88,825.31,758.51,668.87,603.1,583.79
Interest Paid on Deposits,532.2,521.86,292.21,43.83,30.01,70.05,131.78,87.71,57.79,44.69,40.48
Interest Paid on Borrowings,71.67,100.01,126.75,39.38,29.68,43.63,45.14,40.35,35.71,37.64,43.31
Total Interest Expense,603.86,621.87,418.95,83.2,59.68,113.67,176.92,128.06,93.5,82.33,83.8
Net Interest Income,"1,024",960.33,854.29,781.63,663.73,629.21,648.39,630.46,575.36,520.77,499.99
Net Interest Income Growth (YoY),11.46%,12.41%,9.29%,17.76%,5.49%,-2.96%,2.84%,9.57%,10.48%,4.16%,-2.89%
Trust Income,88.71,84.74,75.54,72.84,71.8,59.06,55.68,52.15,49.25,45.27,44.06
Mortgage Banking Activities,14.6,13.94,10.39,13.6,23.68,52.81,23.1,19.03,19.93,19.42,18.21
Gain (Loss) on Sale of Assets,-19.42,20.27,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-0,-20.28,-0.73,-0.03,33.52,3.05,-1.29,-11.41,-1.96,2.55,9.07
Other Non-Interest Income,172.09,160.33,142.48,140.11,134.86,124.97,132.65,133.17,124.63,71.6,60.41
Total Non-Interest Income,255.98,259,227.68,226.53,263.85,239.89,210.14,192.93,191.85,190.18,181.84
Non-Interest Income Growth (YoY),-4.91%,13.76%,0.51%,-14.14%,9.99%,14.16%,8.92%,0.56%,0.88%,4.59%,8.64%
Revenues Before Loan Losses,"1,280","1,219","1,082","1,008",927.58,869.1,858.53,823.39,767.21,710.95,681.83
Provision for Loan Losses,49.48,71.64,54.04,28.02,-14.6,76.92,32.83,46.91,23.31,13.18,2.25
Revenue,"1,230","1,148","1,028",980.14,942.18,792.18,825.7,776.48,743.91,697.77,679.58
Revenue Growth (YoY),9.56%,11.65%,4.88%,4.03%,18.93%,-4.06%,6.34%,4.38%,6.61%,2.68%,1.47%
Salaries and Employee Benefits,416.87,421.91,366.15,341.8,319.87,316.01,302.62,295.24,284.92,276.8,254.89
Occupancy Expenses,37.17,39.54,36.6,36.38,36.93,32.45,31.84,51.68,49.71,29.21,47.78
Federal Deposit Insurance,21.56,22.89,19.07,12.55,10.67,8.87,7.78,10.99,11.05,9.77,11.47
Amortization of Goodwill & Intangibles,23.38,17.83,2.94,1.73,0.59,0.53,0.43,-,-,-,-
"Selling, General & Administrative",202.66,216.86,178.67,162.35,145.5,140.3,142.42,119.27,105.1,116.59,101.45
Other Non-Interest Expense,104.06,82.45,69.28,68.6,71.03,78.41,62.2,66.33,63.77,55.35,58.95
Total Non-Interest Expense,805.71,801.48,672.71,623.4,584.58,576.56,547.29,543.51,514.55,487.72,474.53
EBT Excluding Unusual Items,424.76,346.21,355.22,356.74,357.59,215.61,278.41,232.97,229.35,210.05,205.05
Asset Writedown,-,-,-,0.6,9.9,-10.5,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-,-,5.1,-,-
Other Unusual Items,-,-0.94,-6.49,-,-33.25,-2.88,-4.33,-,-,-,-
Pretax Income,451.74,344.63,348.72,347.02,334.25,202.24,263.99,232.97,234.45,208.25,199.42
Income Tax Expense,90.48,55.89,64.44,60.03,58.75,24.2,37.65,24.58,62.7,46.62,49.92
Net Income,361.26,288.74,284.28,286.98,275.5,178.04,226.34,208.39,171.75,161.63,149.5
Preferred Dividends & Other Adjustments,10.25,10.25,10.25,10.25,10.28,2.14,-,-,-,-,-
Net Income to Common,351.01,278.5,274.03,276.73,265.22,175.91,226.34,208.39,171.75,161.63,149.5
Net Income Growth,27.03%,1.57%,-0.94%,4.17%,54.74%,-21.34%,8.61%,21.33%,6.27%,8.11%,-5.32%
Basic Shares Outstanding,182,176,165,164,162,162,167,175,175,173,176
Diluted Shares Outstanding,184,177,167,165,163,163,168,177,176,174,177
Shares Change (YoY),6.42%,6.27%,0.78%,1.33%,0.13%,-2.80%,-4.96%,0.35%,0.87%,-1.33%,-5.56%
EPS (Basic),1.93,1.59,1.66,1.69,1.63,1.08,1.36,1.19,0.98,0.93,0.85
EPS (Diluted),1.91,1.57,1.64,1.67,1.62,1.08,1.35,1.18,0.98,0.93,0.85
EPS Growth,20.91%,-4.27%,-1.80%,3.09%,50.00%,-20.00%,14.41%,20.41%,5.38%,9.41%,1.19%
Dividend Per Share,0.720,0.690,0.640,0.600,0.560,0.520,0.520,0.480,0.440,0.390,0.360
Dividend Growth,5.88%,7.81%,6.67%,7.14%,7.69%,-,8.33%,9.09%,12.82%,8.33%,12.50%
Effective Tax Rate,20.03%,16.22%,18.48%,17.30%,17.58%,11.96%,14.26%,10.55%,26.74%,22.39%,25.03%
