Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,111","3,509","2,703","2,819","2,742","2,064","2,861","2,726","3,135","3,257","2,264"
Market Cap Growth,-5.57%,29.86%,-4.13%,2.80%,32.87%,-27.86%,4.94%,-13.04%,-3.77%,43.87%,-1.12%
Last Close Price,17.03,18.72,15.36,14.98,14.53,10.45,13.61,11.68,13.09,13.40,9.02
PE Ratio,9.01,12.60,9.86,10.19,10.34,11.73,12.64,13.08,18.25,20.16,15.15
PS Ratio,2.52,3.06,2.63,2.88,2.91,2.61,3.46,3.51,4.21,4.67,3.33
PB Ratio,0.96,1.10,0.98,1.09,1.01,0.79,1.22,1.21,1.41,1.54,1.11
P/FCF Ratio,11.01,9.38,8.19,4.92,8.55,15.05,30.43,10.61,12.31,15.78,15.05
P/OCF Ratio,9.20,8.43,7.45,4.74,8.10,13.12,22.40,9.18,10.89,14.41,12.75
Debt / Equity Ratio,0.48,0.69,1.02,1.26,0.45,0.84,0.83,0.80,0.76,0.71,0.73
Debt / FCF Ratio,5.88,5.86,8.57,5.69,3.80,15.98,20.76,6.99,6.66,7.33,9.84
Return on Equity (ROE),10.92%,9.69%,10.65%,10.85%,10.34%,7.18%,9.86%,9.31%,7.90%,7.76%,7.40%
Return on Assets (ROA),1.13%,0.97%,1.04%,1.09%,1.07%,0.74%,1.06%,1.02%,0.88%,0.88%,0.85%
Earnings Yield,11.35%,8.23%,10.52%,10.18%,10.05%,8.63%,7.91%,7.65%,5.48%,4.96%,6.60%
FCF Yield,9.08%,10.66%,12.21%,20.35%,11.70%,6.64%,3.29%,9.43%,8.12%,6.34%,6.64%
Dividend Yield,4.18%,3.69%,4.17%,4.01%,3.85%,4.97%,3.82%,4.11%,3.36%,2.91%,3.99%
Payout Ratio,37.67%,45.61%,40.71%,40.42%,40.66%,51.09%,40.79%,43.02%,46.79%,42.93%,43.72%
Buyback Yield / Dilution,-6.42%,-6.27%,-0.78%,-1.33%,-0.13%,2.80%,4.96%,-0.35%,-0.87%,1.33%,5.56%
Total Shareholder Return,-2.19%,-2.58%,3.38%,2.68%,3.72%,7.78%,8.78%,3.76%,2.49%,4.24%,9.55%
