Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,786.9,"1,060",532.31,668.02,"1,436","1,440",517.79,243.79,263.7,118.76,10.02
Investment Securities,"1,067","1,356","1,762","1,970","1,981","1,629","1,350",922.37,883.31,929.83,909.73
Trading Asset Securities,129.8,161.62,158.11,167.47,161.24,339.31,145.6,62.94,45,45.23,35.01
Mortgage-Backed Securities,"3,978","3,691","2,111","2,221","2,391","1,922","1,735","2,008","1,936","1,936","1,980"
Total Investments,"5,175","5,209","4,030","4,358","4,533","3,891","3,231","2,993","2,864","2,911","2,925"
Gross Loans,"24,079","24,081","21,430","20,309","18,342","18,924","16,864","16,192","15,796","14,719","13,854"
Allowance for Loan Losses,-376.26,-379.16,-293.4,-269.37,-249,-277.57,-163.62,-160.54,-169.91,-168.68,-169.05
Other Adjustments to Gross Loans,-37.8,-35.6,-79,-29.3,-17.04,-23.1,-26.81,-26.64,-27.67,-19.39,-15.52
Net Loans,"23,665","23,666","21,058","20,010","18,076","18,623","16,674","16,005","15,598","14,531","13,670"
"Property, Plant & Equipment",178.64,336.52,311.07,310.24,302.79,315.71,342.83,234.53,222.8,217.81,225.54
Goodwill,-,553.35,553.35,550.54,534.27,533.4,-,530.6,530.59,530.59,530.59
Other Intangible Assets,618.36,82.11,7.34,10.29,3.79,3.26,535.3,0.96,0.96,0.96,0.96
Loans Held for Sale,19.88,25.62,15.16,7.26,35.77,83.89,37.83,27.1,31.53,28.7,16.89
Accrued Interest Receivable,114,117.03,107.97,91.58,57.45,72.94,60.9,58.88,52.91,46.29,42.77
Restricted Cash,27.3,4,17.4,13.9,202.8,408.1,-,201.9,138.4,113.3,91.1
Long-Term Deferred Tax Assets,-,147.41,140.71,164.56,43.77,45.78,31.08,47.95,26.26,53.58,55.67
Other Real Estate Owned & Foreclosed,2.31,2.62,0.9,5.79,1.82,4.18,6.83,10.52,9.82,12.82,11.1
Other Long-Term Assets,"1,407",868.21,797.62,741.67,568.73,485.33,448.9,327.77,297.11,379.53,335.45
Total Assets,"31,995","32,072","27,572","26,932","25,796","25,907","21,886","20,682","20,037","18,944","17,915"
Interest Bearing Deposits,"20,096","18,130","14,724","12,952","13,457","13,308","11,541","10,866","10,160","9,437","8,984"
Institutional Deposits,"1,100","2,500","1,500",691.4,745.5,"1,000","1,400","1,200","1,200","1,200","1,200"
Non-Interest Bearing Deposits,"5,136","5,500","5,314","7,006","7,371","6,531","4,453","4,310","4,437","4,376","3,948"
Total Deposits,"26,332","26,129","21,538","20,650","21,573","20,839","17,394","16,376","15,798","15,013","14,132"
Short-Term Borrowings,178.6,818.25,"1,098","1,377",503.17,797.85,959.89,803.34,656.91,583.72,531
Current Portion of Leases,-,27.12,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,22.58,31.62,35.08,10.19,7,10.37,8.83,10.53,9.32,9.63,10.72
Long-Term Debt,"1,022",368.22,536.22,540.81,604.85,743.79,374.25,373.81,369.74,345.67,345.29
"Federal Home Loan Bank Debt, Long-Term",450,850,"1,100","1,250",-,535.97,491.02,601.98,652.11,567.24,587.76
